MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       293.09,       288.20,       297.00,       285.60,       296.20,                   265124.05,897,20,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       294.99,       298.00,       298.00,       283.20,       296.09,                    95765.45,324,20,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       294.69,       287.60,       298.29,       287.60,       298.29,                   494784.78,1673,50,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.56,        42.49,        42.67,        41.51,        42.19,                  4404836.56,104339,2124,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       134.24,       134.25,       135.00,       132.79,       134.65,                   562161.68,4189,167,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       297.06,       299.70,       300.38,       293.00,       299.43,                265161257.60,888026,6595,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4499.90,      4489.00,      4489.00,      4415.00,      4440.00,                  1607140.25,362,129,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       143.21,       143.21,       144.48,       143.21,       144.40,                    28669.13,199,10,       147.99,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        18.79,        18.65,        19.06,        17.70,        19.03,                207099040.09,10890938,2433,        23.88,        11.54,NIFTY CPSE
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1109.09,      1105.00,      1110.49,      1105.00,      1109.12,                  4643438.73,4187,77,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1023.91,      1020.00,      1023.00,      1015.10,      1022.49,                 23847454.09,23335,158,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1131.86,      1131.00,      1133.38,      1129.50,      1131.69,                 29675999.42,26251,115,      1190.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1017.76,      1014.15,      1017.00,      1014.10,      1016.91,                  8705448.14,8567,83,      1029.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       377.19,       377.19,       386.00,       353.00,       386.00,                   121919.19,319,51,       386.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        42.84,        44.27,        44.27,        41.95,        42.29,                252502381.70,5968664,22540,      3414.90,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4420.95,      4400.00,      4421.00,      4370.00,      4377.60,                 15213481.90,3469,886,      5374.80,      3333.60,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       295.28,       299.80,       299.80,       294.22,       297.02,                  2820979.87,9514,174,       300.00,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4370.00,      4369.95,      4379.95,      4303.00,      4310.90,                 95459137.10,22109,2707,      5338.50,      3385.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1365.38,      1367.99,      1381.63,      1357.01,      1379.27,                  1019836.71,741,163,      1485.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      4687.74,      4700.00,      4725.00,      4625.00,      4725.00,                   978743.58,208,78,      5000.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       346.30,       350.00,       360.00,       346.50,       346.50,                   347909.64,989,57,      3349.00,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       126.88,       129.00,       130.95,       127.51,       128.63,                    56902.02,439,47,       141.00,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       174.65,       174.65,       176.99,       171.60,       176.87,                   246339.86,1397,176,       179.00,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       129.48,       129.70,       130.00,       128.60,       130.00,                   302384.69,2339,52,       140.00,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        29.19,        29.20,        29.65,        29.07,        29.53,                 13138089.81,445997,5354,        35.25,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       294.22,       307.70,       307.70,       293.24,       296.19,                  2083099.83,7034,325,       374.20,       164.32,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       161.97,       163.95,       164.00,       162.17,       163.22,                  1193718.77,7308,145,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        43.83,        50.40,        50.40,        42.80,        43.18,                  7267901.15,167993,2113,        54.10,        32.10,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.00,       998.65,       999.99,                  9060853.11,9061,32,      1050.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       105.44,       109.70,       109.70,       104.00,       106.29,                 17208279.14,161933,391,       121.00,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        74.70,        75.00,        77.25,        73.73,        75.95,                  1058460.88,14026,91,        77.25,        45.10,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        73.67,        74.90,        75.00,        72.56,        74.46,                   959779.37,12894,192,        81.90,        37.60,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       140.84,       141.00,       142.89,       140.60,       142.06,                   353779.96,2500,238,       150.00,        90.10,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       137.63,       155.50,       155.50,       129.40,       139.25,                 21277602.03,153170,8687,       158.20,        81.31,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        64.72,        65.65,        68.25,        63.50,        65.43,                   330199.17,5057,455,        70.00,        32.89,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        30.80,        31.77,        31.80,        30.22,        31.10,                   544596.50,17499,267,        32.77,        17.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       473.91,       479.97,       481.48,       470.01,       479.60,                   234873.28,490,92,       515.00,       290.00,SENSEX
N,EQ,ICICITECH,ICICIPRAMC - ICICITECH,       219.43,       219.50,       222.99,       219.50,       222.91,                  1262612.95,5720,148,       256.98,       158.95,NIFTY IT INDEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      4522.70,      4722.70,      4722.70,      4400.00,      4462.75,                  1802020.55,404,133,      5899.00,      3470.00,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,       146.27,       149.27,       154.00,       146.50,       147.50,                    91002.51,615,91,       158.40,        86.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       353.46,       367.60,       367.60,       356.27,       360.17,                    78797.76,219,34,       376.80,       210.00,NIFTY INFRA
