SECURITY,NEW,PREVIOUS,NEW_STATUS
ADANI GAS LIMITED,371.8,365.75,H
EDEL ETF NIFTY 100 QUAL30,386,383,H
ICICI LOMBARD GIC LIMITED,1499.9,1474,H
SEC RED NCD 10.20 % SR.IV,1104,1100,H
INVESCO INDIA NIFTY ETF,1670,1648,H
KIRLOSKAR FERROUS IND LTD,130,123.4,H
MAJESCO LIMITED,972,971.4,H
MOLD TEK PACKAGING LTD,66.2,55.2,H
INFO EDGE (I) LTD,4426.5,4375.75,H
ONE POINT ONE SOL LTD,15.15,15,H
ORCHID PHARMA LIMITED,44.6,42.5,H
PROCTER & GAMBLE HEALTH L,7049,6976,H
SBIAMC - SBIETFPB,167.97,167.88,H
SHREE CEMENT LIMITED,25655.5,25355,H
HUHTAMAKI INDIA LIMITED,315,314,H
MINDSPACE BUSINESS P REIT,317.34,317,H
NIP IND ETF CONSUMPTION,68,63,H
ORIENTAL AROMATICS LTD,615.6,526.9,H
THE RAMCO CEMENTS LIMITED,900,897.7,H
SUBEX LTD,27.3,23.5,H
TOTAL TRANSPORT SYS LTD,66.15,63,H
VIDEOCON INDUSTRIES LIMIT,6.3,6,H
APL APOLLO TUBES LTD,3498,3489.6,H
DEV INFO TECHNOLOGY LTD,135.5,134.5,H
DHANI RS.1.10 PPD UP,147.8,138.65,H
EDELAMC - EMOFSR1RGG,10.65,10.61,H
ICE MAKE REFRIGERAT LTD,89.95,89,H
MOLDTEK RS.1.25 PPD UP,205.1,179.8,H
NITIN SPINNERS LIMITED,62,60.5,H
S&S POWER SWITCHGEARS LTD,11.55,11,H
SHAKTI PUMPS (I) LTD,249.95,240,H
DIXON TECHNO (INDIA) LTD,11990,11988,H
JSW ISPAT SPE PRO LTD,20.05,19.7,H
PARIN FURNITURE LIMITED,75,74.15,H
CANTABIL RETAIL LTD,395,357.95,H
SOFTTECH ENGINEER LIMITED,87.8,86.95,H
AARTI SURFACTANTS LIMITED,1099.9,1047.55,H
BIOFIL CHEM & PHARMA LTD.,229.65,218.75,H
HOUSING DVPT FIN CORP LTD,578,576.9,H
BOND 8.63% PA TF TII-SIIA,1603,1595,H
ABB POWER PRO N SYS IND L,1295,1179.85,H
SATIN RS.2.50 PPD UP,37.5,37.45,H
STERLITE TECHNOLOGIES LTD,164.7,163.35,H
VAIBHAV GLOBAL LIMITED,2180,2155,H
AFFLE (INDIA) LIMITED,3589.4,3468.45,H
BOROSIL LIMITED,166.3,161.7,H
DIGISPICE TECHNOLOGIES LT,10.75,10.25,H
GODREJ PROPERTIES LTD,1210,1189.25,H
ICICIPRAMC - ICICIM150,77.25,75,H
EDELWEISS ETF - NIFTY 50,16900,16758,H
RAJ OIL MILLS LIMITED,17.65,16.85,H
SYNCOM HEALTHCARE LTD,1.7,1.65,H
APOLLO HOSPITALS ENTER. L,2508.85,2423.4,H
APOLLO PIPES LIMITED,701,693,H
DHANI SERVICES LIMITED,299,286.8,H
EDELAMC - EMOFSR1RDP,10.75,10.56,H
SEC RED NCD 9.85 % SR. IV,1070,1064.85,H
JK CEMENT LIMITED,2085,2067.95,H
TATASTEEL RS.2.50 PPD UP,143.95,141,H
SHOPPERS STOP RE,29,31.1,L
JUMP NETWORKS LIMITED,19.5,20.05,L
KEERTI KNOW & SKILL LTD.,23.55,23.75,L
JAIN STUDIOS LIMITED,1.35,1.4,L
LIBAS CONSU PRODUCTS LTD,27.25,28,L
SEC RED NCD 9.00% SR. VII,550,560.54,L
VASA RETAIL & OVERSEA LTD,5,5.25,L
ATLAS CYCLE (HARYANA) LTD,37.1,45.35,L
SANGINITA CHEMICALS LTD,27.15,28.1,L
JAKHARIA FABRIC LIMITED,146.35,148.25,L
ATAL REALTECH LIMITED,44.6,45,L
SOMA TEXTILEI NDUSTRIES L,2.6,2.7,L
GRAND FOUNDRY LTD,2.2,2.25,L
VISHAL FABRICS LIMITED,110.2,112.4,L

