MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     12968.95,     13062.20,     13128.40,     12962.80,     13109.05,631585462178.57,3292449378,Y, ,18875961,     13145.85,      7511.10
Y,NIFTY50 EQL Wgt,     13522.20,     13663.70,     13705.50,     13549.50,     13692.80,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     14426.00,     14572.45,     14629.05,     14482.15,     14615.45,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     10147.40,     10237.45,     10238.15,     10146.85,     10223.20,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     19075.85,     19255.70,     19259.05,     19037.75,     19159.55,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,      7455.60,      7524.25,      7529.55,      7481.10,      7521.30,0,0,Y, ,0,      7529.55,      4088.05
Y,NIFTY SMLCAP 50,      3253.10,      3283.30,      3303.20,      3265.50,      3290.40,0,0,Y, ,0,      3303.20,      1545.45
Y,NIFTY SMLCAP 250,      5604.30,      5648.10,      5683.10,      5632.00,      5669.50,0,0,Y, ,0,      5683.10,      2867.40
Y,NIFTY MIDSML 400,      6792.25,      6851.85,      6867.60,      6818.65,      6857.90,0,0,Y, ,0,      6867.60,      3650.20
Y,NIFTY200 QUALTY30,     11172.20,     11296.10,     11297.80,     11192.40,     11259.00,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     13809.45,     13880.95,     13924.05,     13748.25,     13869.95,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     12835.50,     13000.65,     13000.65,     12834.80,     12899.95,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     12700.75,     12912.40,     12912.40,     12693.25,     12739.20,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      2241.60,      2257.60,      2269.70,      2239.30,      2266.50,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     21764.90,     21921.10,     22216.45,     21814.40,     22170.85,0,0,Y, ,0,     22619.00,     10991.25
Y,Nifty Next 50,     30334.40,     30656.05,     30766.90,     30481.35,     30734.70,0,0,Y, ,0,     30766.90,     18384.05
Y,Nifty Bank,     29609.05,     29844.80,     29919.75,     29511.00,     29817.85,0,0,Y, ,0,     32613.10,     16116.25
Y,NIFTY MIDCAP 100,     19715.10,     19912.10,     19923.80,     19775.15,     19903.90,0,0,Y, ,0,     19923.80,     10749.95
Y,Nifty 500,     10719.05,     10803.25,     10850.15,     10734.30,     10835.15,0,0,Y, ,0,     10850.15,      6151.60
