GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,GAIL (INDIA) LTD,       110.70,       102.65,7.84
G,SUN PHARMACEUTICAL IND L,       539.35,       511.65,5.41
G,INDUSIND BANK LIMITED,       895.50,       857.65,4.41
G,OIL AND NATURAL GAS CORP.,        81.55,        78.50,3.89
G,UPL LIMITED,       433.05,       417.70,3.67
G,GRASIM INDUSTRIES LTD,       907.80,       875.75,3.66
G,BHARTI AIRTEL LIMITED,       479.45,       463.25,3.5
G,TECH MAHINDRA LIMITED,       907.30,       876.85,3.47
G,INFOSYS LIMITED,      1137.85,      1100.00,3.44
G,ADANI PORT & SEZ LTD,       423.80,       411.55,2.98
G,ICICI BANK LTD.,       485.10,       473.35,2.48
G,SHREE CEMENT LIMITED,     24908.40,     24306.35,2.48
G,JSW STEEL LIMITED,       358.15,       350.20,2.27
G,ULTRATECH CEMENT LIMITED,      4910.50,      4802.00,2.26
G,HDFC LTD,      2306.95,      2256.25,2.25
G,BAJAJ AUTO LIMITED,      3243.65,      3173.55,2.21
G,TATA CONSULTANCY SERV LT,      2726.80,      2679.65,1.76
G,MAHINDRA & MAHINDRA LTD,       734.55,       722.00,1.74
G,BHARAT PETROLEUM CORP  LT,       379.30,       373.00,1.69
G,STATE BANK OF INDIA,       248.05,       244.25,1.56
G,INDIAN OIL CORP LTD,        85.85,        84.60,1.48
G,TATA STEEL LIMITED,       585.80,       577.35,1.46
G,HCL TECHNOLOGIES LTD,       834.10,       822.10,1.46
G,CIPLA LTD,       755.60,       745.60,1.34
G,HINDALCO  INDUSTRIES  LTD,       229.30,       226.35,1.3
G,RELIANCE INDUSTRIES LTD,      1954.90,      1929.80,1.3
G,MARUTI SUZUKI INDIA LTD.,      7101.70,      7035.80,.94
G,COAL INDIA LTD,       126.40,       125.55,.68
G,WIPRO LTD,       352.85,       350.50,.67
G,ASIAN PAINTS LIMITED,      2230.05,      2215.30,.67
 , , , , 
L,NESTLE INDIA LIMITED,     17418.15,     17888.95,-2.63
L,KOTAK MAHINDRA BANK LTD,      1875.85,      1907.10,-1.64
L,TITAN COMPANY LIMITED,      1341.10,      1361.20,-1.48
L,NTPC LTD,        93.75,        94.70,-1
L,BAJAJ FINANCE LIMITED,      4861.10,      4908.80,-0.97
L,HDFC LIFE INS CO LTD,       641.90,       646.80,-0.76
L,LARSEN & TOUBRO LTD.,      1115.95,      1122.40,-0.57
L,HDFC BANK LTD,      1433.30,      1440.85,-0.52
L,TATA MOTORS LIMITED,       179.75,       180.35,-0.33
L,HINDUSTAN UNILEVER LTD.,      2133.05,      2138.20,-0.24
L,BRITANNIA INDUSTRIES LTD,      3629.35,      3637.95,-0.24
L,BAJAJ FINSERV LTD.,      8746.55,      8758.80,-0.14
L,EICHER MOTORS LTD,      2532.70,      2534.65,-0.08
L,POWER GRID CORP. LTD.,       192.35,       192.40,-0.03
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,MOTHERSON SUMI SYSTEMS LT,       157.20,       148.05,6.18
G,AVENUE SUPERMARTS LIMITED,      2426.70,      2289.20,6.01
G,L&T INFOTECH LIMITED,      3353.45,      3200.45,4.78
G,UNITED BREWERIES LTD,      1088.40,      1038.95,4.76
G,BANK OF BARODA,        53.75,        51.35,4.67
G,DLF LIMITED,       195.10,       187.20,4.22
G,ICICI PRU LIFE INS CO LTD,       457.35,       441.70,3.54
G,BOSCH LIMITED,     13255.95,     12816.10,3.43
G,UNITED SPIRITS LIMITED,       566.95,       548.40,3.38
G,AUROBINDO PHARMA LTD,       897.15,       868.55,3.29
G,INTERGLOBE AVIATION LTD,      1559.75,      1514.15,3.01
G,PUNJAB NATIONAL BANK,        34.45,        33.45,2.99
G,NMDC LTD.,        99.25,        96.40,2.96
G,BANDHAN BANK LIMITED,       377.20,       367.00,2.78
G,HAVELLS INDIA LIMITED,       823.40,       801.40,2.75
G,ACC LIMITED,      1747.90,      1705.05,2.51
G,LUPIN LIMITED,       909.80,       891.80,2.02
G,PIRAMAL ENTERPRISES LTD,      1414.45,      1388.10,1.9
G,MARICO LIMITED,       373.80,       367.70,1.66
G,TORRENT PHARMACEUTICALS L,      2653.60,      2615.10,1.47
G,ICICI LOMBARD GIC LIMITED,      1471.15,      1451.40,1.36
G,P&G HYGIENE & HEALTH CARE,     10659.95,     10519.90,1.33
G,DABUR INDIA LTD,       506.00,       499.80,1.24
G,BERGER PAINTS (I) LTD,       655.50,       647.75,1.2
G,PETRONET LNG LIMITED,       254.25,       251.25,1.19
G,HINDUSTAN PETROLEUM CORP,       211.60,       209.35,1.07
