SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BAJAJ FINANCE LIMITED,      4908.80,      4861.10,4017427,              19618340024.45
RELIANCE INDUSTRIES LTD,      1929.80,      1954.90,9114939,              17774977230.85
HDFC LTD,      2256.25,      2306.95,7031670,              16053479118.90
KOTAK MAHINDRA BANK LTD,      1907.10,      1875.85,7955798,              15012468288.05
SUN PHARMACEUTICAL IND L,       511.65,       539.35,25388623,              13560327148.60
INDUSIND BANK LIMITED,       857.65,       895.50,14690547,              12949391326.95
AXIS BANK LIMITED,       601.60,       603.65,21285697,              12822756534.90
HDFC BANK LTD,      1440.85,      1433.30,8573787,              12339584610.70
INFOSYS LIMITED,      1100.00,      1137.85,8933802,              10087463062.05
TATA CONSULTANCY SERV LT,      2679.65,      2726.80,3605017,               9717083002.65
ICICI BANK LTD.,       473.35,       485.10,20120049,               9705403161.65
GAIL (INDIA) LTD,       102.65,       110.70,85684453,               9370657238.70
STATE BANK OF INDIA,       244.25,       248.05,37003272,               9124277406.45
TATA MOTORS LIMITED,       180.35,       179.75,48881250,               8795551167.40
BHARTI AIRTEL LIMITED,       463.25,       479.45,18193356,               8627059181.60
TATA STEEL LIMITED,       577.35,       585.80,14739109,               8605778187.80
MARUTI SUZUKI INDIA LTD.,      7035.80,      7101.70,1076695,               7610088466.30
DIVI'S LABORATORIES LTD,      3605.10,      3620.75,2077864,               7576121171.05
HCL TECHNOLOGIES LTD,       822.10,       834.10,8078785,               6672227499.75
UPL LIMITED,       417.70,       433.05,14928450,               6402695864.45
BAJAJ FINSERV LTD.,      8758.80,      8746.55,694283,               6085873372.05
YES BANK LIMITED,        14.70,        15.40,384256021,               5908085250.85
ACC LIMITED,      1705.05,      1747.90,3242401,               5684827994.10
DR. REDDY'S LABORATORIES,      4828.95,      4830.40,1117190,               5402426138.20
TECH MAHINDRA LIMITED,       876.85,       907.30,5821698,               5198458977.75

