GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,MARUTI SUZUKI INDIA LTD.,      7739.10,      7206.50,7.39
G,OIL AND NATURAL GAS CORP.,        88.70,        84.85,4.54
G,HINDALCO  INDUSTRIES  LTD,       242.00,       231.85,4.38
G,ASIAN PAINTS LIMITED,      2411.40,      2315.85,4.13
G,NTPC LTD,        98.55,        94.80,3.96
G,STATE BANK OF INDIA,       256.30,       246.95,3.79
G,BAJAJ FINSERV LTD.,      9114.05,      8802.20,3.54
G,UPL LIMITED,       454.75,       441.95,2.9
G,COAL INDIA LTD,       133.45,       129.75,2.85
G,TATA STEEL LIMITED,       620.90,       604.35,2.74
G,BHARAT PETROLEUM CORP  LT,       393.90,       384.50,2.44
G,HCL TECHNOLOGIES LTD,       862.20,       843.15,2.26
G,TITAN COMPANY LIMITED,      1418.50,      1389.00,2.12
G,HDFC LIFE INS CO LTD,       647.95,       636.50,1.8
G,INDIAN OIL CORP LTD,        89.90,        88.40,1.7
G,DR. REDDY'S LABORATORIES,      4923.05,      4850.25,1.5
G,DIVI'S LABORATORIES LTD,      3692.35,      3639.55,1.45
G,GAIL (INDIA) LTD,       118.25,       116.70,1.33
G,NESTLE INDIA LIMITED,     17492.15,     17266.45,1.31
G,SHREE CEMENT LIMITED,     24905.15,     24635.70,1.09
G,BRITANNIA INDUSTRIES LTD,      3635.95,      3597.00,1.08
G,LARSEN & TOUBRO LTD.,      1125.15,      1113.75,1.02
G,BAJAJ FINANCE LIMITED,      4867.45,      4823.90,.9
G,TECH MAHINDRA LIMITED,       915.15,       908.70,.71
G,TATA MOTORS LIMITED,       184.85,       183.60,.68
G,EICHER MOTORS LTD,      2549.50,      2532.50,.67
G,JSW STEEL LIMITED,       370.85,       368.40,.67
G,SUN PHARMACEUTICAL IND L,       548.25,       544.65,.66
G,CIPLA LTD,       762.15,       758.35,.5
G,HERO MOTOCORP LIMITED,      3139.85,      3126.20,.44
 , , , , 
L,HDFC BANK LTD,      1377.20,      1406.95,-2.11
L,SBI LIFE INSURANCE CO LTD,       858.15,       875.55,-1.99
L,TATA CONSULTANCY SERV LT,      2709.45,      2749.55,-1.46
L,BAJAJ AUTO LIMITED,      3294.40,      3338.15,-1.31
L,INFOSYS LIMITED,      1126.45,      1140.90,-1.27
L,BHARTI AIRTEL LIMITED,       479.90,       484.90,-1.03
L,MAHINDRA & MAHINDRA LTD,       745.85,       753.60,-1.03
L,HDFC LTD,      2253.95,      2276.35,-0.98
L,AXIS BANK LIMITED,       602.70,       608.10,-0.89
L,ULTRATECH CEMENT LIMITED,      4893.50,      4933.10,-0.8
L,GRASIM INDUSTRIES LTD,       910.05,       915.50,-0.6
L,ADANI PORT & SEZ LTD,       435.80,       438.20,-0.55
L,HINDUSTAN UNILEVER LTD.,      2127.75,      2139.30,-0.54
L,POWER GRID CORP. LTD.,       193.45,       194.15,-0.36
L,INDUSIND BANK LIMITED,       896.25,       897.30,-0.12
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,BANK OF BARODA,        58.30,        54.10,7.76
G,BHARTI INFRATEL LTD.,       239.55,       224.80,6.56
G,PUNJAB NATIONAL BANK,        35.80,        33.95,5.45
G,SBI CARDS & PAY SER LTD,       838.65,       796.95,5.23
G,PIRAMAL ENTERPRISES LTD,      1492.65,      1422.25,4.95
G,POWER FIN CORP LTD.,       114.45,       109.70,4.33
G,P&G HYGIENE & HEALTH CARE,     10949.10,     10560.10,3.68
G,INTERGLOBE AVIATION LTD,      1644.05,      1593.10,3.2
G,MARICO LIMITED,       389.65,       378.65,2.91
G,CADILA HEALTHCARE LIMITED,       462.95,       450.80,2.7
G,HINDUSTAN PETROLEUM CORP,       220.25,       214.70,2.59
G,HINDUSTAN ZINC LIMITED,       238.10,       232.25,2.52
G,NMDC LTD.,       105.75,       103.20,2.47
G,MOTHERSON SUMI SYSTEMS LT,       156.50,       153.20,2.15
G,ICICI PRU LIFE INS CO LTD,       477.45,       467.60,2.11
G,TATA CONSUMER PRODUCT LTD,       550.40,       539.25,2.07
G,ADANI TRANSMISSION LTD,       427.80,       419.20,2.05
G,MUTHOOT FINANCE LIMITED,      1179.10,      1155.65,2.03
G,CONTAINER CORP OF IND LTD,       417.60,       409.80,1.9
G,ALKEM LABORATORIES LTD.,      2847.85,      2795.00,1.89
G,SIEMENS LTD,      1534.25,      1506.90,1.81
G,PETRONET LNG LIMITED,       256.05,       252.35,1.47
G,COLGATE PALMOLIVE LTD.,      1538.65,      1519.90,1.23
G,BAJAJ HOLDINGS & INVS LTD,      3142.65,      3104.55,1.23
