SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
MARUTI SUZUKI INDIA LTD.,      7206.50,      7739.10,3846792,              29136125689.65
HDFC BANK LTD,      1406.95,      1377.20,18966611,              26494094892.80
RELIANCE INDUSTRIES LTD,      1958.15,      1964.05,12822945,              25260374206.80
STATE BANK OF INDIA,       246.95,       256.30,79266442,              20224723033.40
INFOSYS LIMITED,      1140.90,      1126.45,16212632,              18298022227.75
HDFC LIFE INS CO LTD,       636.50,       647.95,26754679,              17169730491.65
TATA STEEL LIMITED,       604.35,       620.90,24775652,              15348475402.15
BAJAJ FINANCE LIMITED,      4823.90,      4867.45,2876844,              13976260689.75
BAJAJ FINSERV LTD.,      8802.20,      9114.05,1437048,              12948559450.00
ICICI BANK LTD.,       480.45,       481.85,22701738,              10940364970.25
TATA CHEMICALS LTD,       427.35,       455.40,23888385,              10853422752.75
AXIS BANK LIMITED,       608.10,       602.70,17746316,              10741214118.60
ASIAN PAINTS LIMITED,      2315.85,      2411.40,4334658,              10298620541.45
HDFC LTD,      2276.35,      2253.95,4528707,              10221611674.00
BHARTI INFRATEL LTD.,       224.80,       239.55,41809808,               9863343084.30
BHARTI AIRTEL LIMITED,       484.90,       479.90,19723853,               9471694661.30
INDUSIND BANK LIMITED,       897.30,       896.25,9724314,               8755309107.65
HCL TECHNOLOGIES LTD,       843.15,       862.20,9633229,               8261241361.20
KOTAK MAHINDRA BANK LTD,      1814.20,      1821.00,4462528,               8154477109.45
TATA CONSULTANCY SERV LT,      2749.55,      2709.45,2852548,               7783810980.40
HINDUSTAN UNILEVER LTD.,      2139.30,      2127.75,3469163,               7388106994.35
BHARAT PETROLEUM CORP  LT,       384.50,       393.90,18673749,               7311297113.20
GAIL (INDIA) LTD,       116.70,       118.25,60765138,               7236655195.95
HINDALCO  INDUSTRIES  LTD,       231.85,       242.00,28072333,               6706423738.80
TATA MOTORS LIMITED,       183.60,       184.85,33332481,               6159303793.85

