SECURITY,NEW,PREVIOUS,NEW_STATUS
ADANI GAS LIMITED,382.65,377.95,H
BALLARPUR INDUSTRIES LTD,1.3,1.25,H
BERGER PAINTS (I) LTD,673.65,670,H
EDEL ETF NIFTY 100 QUAL30,390,388,H
BOND 0% 2022 TR-2 SR-II,10500,10420,H
KIRLOSKAR FERROUS IND LTD,140.9,135,H
MAJESCO LIMITED,976.25,972,H
MOLD TEK PACKAGING LTD,95.25,79.4,H
ORCHID PHARMA LIMITED,49.1,46.8,H
SBI-ETF NIFTY 50,143.9,143.6,H
GOI LOAN 7.72% 2049,120.25,120,H
GOI LOAN 7.72% 2055,120,119,H
GLAND PHARMA LIMITED,2239,2222,H
GVK POW. & INFRA LTD.,2.9,2.8,H
HUHTAMAKI INDIA LIMITED,320,315,H
MENON BEARINGS LIMITED,49.7,49.55,H
MINDSPACE BUSINESS P REIT,335,332.17,H
VIDEOCON INDUSTRIES LIMIT,6.9,6.6,H
ADANI TRANSMISSION LTD,438.35,433.9,H
APL APOLLO TUBES LTD,3575.05,3525,H
ICE MAKE REFRIGERAT LTD,93.5,91,H
MADHAV COPPER LIMITED,85.7,81.7,H
SHAKTI PUMPS (I) LTD,264.4,254.8,H
TECHNOFAB ENG LTD,9.7,9.6,H
SEC RED NCD 8.75% SR. II,1055.95,1050,H
BOND 0% 2021 TR-3 SR-II,10705,10700,H
JSW ISPAT SPE PRO LTD,24.25,22.05,H
8.92% SEC RED BOND S3B,1475,1474.99,H
UTIAMC - UTINEXT50,349.89,335.9,H
CENTRAL DEPO SER (I) LTD,528.95,514.85,H
SEC RED NCD SR. III,1131.1,1128.9,H
PRAKASH PIPES LIMITED,98.85,90.9,H
SBIAMC - SBIETFQLTY,117.49,116.9,H
AARTI SURFACTANTS LIMITED,1209.6,1154.85,H
BIOFIL CHEM & PHARMA LTD.,253.15,241.1,H
CROMPT GREA CON ELEC LTD,336.8,333,H
MARINE ELECTRICAL (I) LTD,201.05,200.05,H
NIRAJ CEMENT STRUC LTD,51.05,50.6,H
ABB POWER PRO N SYS IND L,1370,1295,H
TANTIA CONST LTD,1.4,1.35,H
ADF FOODS LIMITED,501.2,487.3,H
AFFLE (INDIA) LIMITED,3957.25,3768.85,H
BOROSIL LIMITED,175.8,174.6,H
DIGISPICE TECHNOLOGIES LT,11.8,11.25,H
HEMISPHERE PROP IND LTD,80.5,73.9,H
ICICIPRAMC - ICICIM150,77.27,77.25,H
EDELWEISS ETF - NIFTY 50,16912,16900,H
RAJ OIL MILLS LIMITED,19.4,18.5,H
ROSSARI BIOTECH LIMITED,867,859,H
SEC RED NCD SR. VI,1231,1227,H
SYNCOM HEALTHCARE LTD,1.8,1.75,H
ASSO ALCOHOLS & BREW LTD,304.75,302.8,H
BIGBLOC CONSTRUCTION LTD,103.85,99,H
EDELAMC - EMOFSR1RDP,11.5,10.75,H
JK CEMENT LIMITED,2110,2106.95,H
MOST SHARES M50 ETF,131,129.5,H
REFEX INDUSTRIES LIMITED,111.3,105.45,H
TATASTEEL RS.2.50 PPD UP,168.8,154.75,H
SEC RED NCD SR. V,1090,1100,L
JUMP NETWORKS LIMITED,18.8,19.15,L
UNS RED NCD 8.79% SR.VIII,701,820,L
DEEP ENE RESOURCES LTD,40.5,41.6,L
JAKHARIA FABRIC LIMITED,140.65,146.35,L
GI ENGINEERING SOLNS LTD,1.7,1.75,L
VISHAL FABRICS LIMITED,105.85,108,L

