MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       295.38,       290.20,       299.90,       288.31,       292.05,                   109617.70,374,18,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       296.30,       295.00,       300.00,       295.00,       295.00,                    31161.30,105,7,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       293.42,       293.90,       297.60,       293.90,       293.97,                   709945.84,2403,38,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.70,        43.45,        43.45,        42.80,        42.89,                  2704772.42,63010,1180,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       134.85,       136.07,       136.21,       134.78,       135.54,                   366973.70,2706,138,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       296.68,       299.09,       299.70,       295.50,       296.19,                153422042.03,515936,5720,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4469.00,      4475.00,      4529.00,      4475.00,      4501.55,                  2157166.85,480,89,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       143.90,       142.00,       145.00,       142.00,       144.00,                   111546.20,770,20,       147.99,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        19.39,        19.39,        19.90,        19.27,        19.83,                219134072.98,11084406,3882,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3286.32,      3152.03,      3299.00,      3152.03,      3161.05,                    12772.09,4,4,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1108.79,      1107.25,      1108.75,      1107.25,      1108.41,                  6984755.79,6307,77,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1023.60,      1021.40,      1022.20,      1021.01,      1021.49,                 16518644.69,16168,84,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1129.46,      1130.95,      1130.95,      1127.75,      1130.29,                 11992236.95,10615,53,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1016.48,      1016.50,      1017.24,      1012.80,      1016.47,                 29178657.32,28738,324,      1029.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       387.00,       390.00,       390.00,       372.13,       389.00,                    55684.15,146,17,       390.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        42.83,        43.49,        43.49,        42.91,        43.07,                153966033.44,3578183,10478,      3414.90,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4420.70,      4426.05,      4472.95,      4426.05,      4454.20,                  4486063.20,1007,295,      5374.80,      3333.60,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       294.90,       294.20,       297.59,       293.50,       295.51,                   904456.09,3060,204,       300.00,       200.10,NIFTY BANK INDEX
