SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ATLANTA,Atlanta  Limited, ,16/12/2020,23/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,WEBELSOLAR,Websol Energy System Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ANANTRAJ,Anant Raj Industries Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,AGM/DIV - RE 0.08 PER SH 
EQ,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
GS,833GS2026,GOI LOAN 8.33% 2026,08/01/2021, , ,07/01/2021, , ,INTEREST PAYMENT         
GS,83GS2040,GOI LOAN 8.30% 2040,01/01/2021, , ,31/12/2020, , ,INTEREST PAYMENT         
GS,83GS2042,GOI LOAN 8.30% 2042,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
GS,84GS2024,GOI LOAN 8.40% 2024,27/01/2021, , ,25/01/2021, , ,INTEREST PAYMENT         
GS,726GS2029,GOI LOAN 7.26% 2029,13/01/2021, , ,12/01/2021, , ,INTEREST PAYMENT         
GS,116GS2020,GOI LOAN 11.60% 2020,24/12/2020, , , , , ,INTEREST PAYMENT/REDEMPTI
GS,732GS2024,GOVERNMENT OF INDIA,27/01/2021, , ,25/01/2021, , ,INTEREST PAYMENT         
GS,683GS2039,GOI 6.83% 2039,18/01/2021, , ,15/01/2021, , ,INTEREST PAYMENT         
GS,717GS2028,GOI LOAN 7.17% 2028,07/01/2021, , ,06/01/2021, , ,INTEREST PAYMENT         
GS,759GS2026,GOI LOAN 7.59% 2026,08/01/2021, , ,07/01/2021, , ,INTEREST PAYMENT         
GS,700GS2021,GOI LOAN 7.00% 2021,20/01/2021, , ,19/01/2021, , ,INTEREST PAYMENT/REDEMPTI
GS,617GS2021,GOI LOAN 6.17% 2021,14/01/2021, , ,13/01/2021, , ,INTEREST PAYMENT         
GS,679GS2029,GOI LOAN 6.79% 2029,24/12/2020, , ,23/12/2020, , ,INTEREST PAYMENT         
M1,SREIBNPNCD,Sec Red NCD 9.12% Sr. VI,23/12/2020, , ,16/12/2020,16/12/2020,22/12/2020,INTEREST PAYMENT         
M4,SREIBNPNCD,Sec Red NCD 8.43% Sr. III,28/12/2020, , ,18/12/2020,18/12/2020,24/12/2020,INTEREST PAYMENT         
M7,SREIBNPNCD,Sec Red NCD 8.65% Sr. VI,28/12/2020, , ,18/12/2020,18/12/2020,24/12/2020,INTEREST PAYMENT         
MA,SREIBNPNCD,Uns Red NCD 9.12% Sr. IX,28/12/2020, , ,18/12/2020,18/12/2020,24/12/2020,INTEREST PAYMENT         
MF,UTFIMIPRPI,UTI-FIIF - MIP - I - RDP,23/12/2020, , , , , ,DIV/STP                  
MF,UTFIMIPRRI,UTI-FIIF - MIP - I - RDR,23/12/2020, , , , , ,DIV/STP                  
MF,UTFIMIPRGI,UTI-FIIF - MIP - I - RG,23/12/2020, , , , , ,STP                      
MF,UTFDMIPIGI,UTIAMC - UTFDMIPIGI,23/12/2020, , , , , ,STP                      
MF,UTFDMIPIRI,UTIAMC - UTFDMIPIRI,23/12/2020, , , , , ,DIV/STP                  
MF,UTFDMIPIPI,UTIAMC - UTFDMIPIPI,23/12/2020, , , , , ,DIV/STP                  
MF,MXIRG,SUNDARMAMC - MXIRG,28/12/2020, , , , , ,REDEMPTION               
