SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BAJAJ FINANCE LIMITED,      5041.85,      5011.40,5473521,              27132656142.85
RELIANCE INDUSTRIES LTD,      1939.70,      1936.70,12986606,              24957654770.30
INDUSIND BANK LIMITED,       842.70,       840.70,21961153,              18293199667.05
TATA MOTORS LIMITED,       164.55,       164.95,110009846,              17761321437.50
ICICI BANK LTD.,       494.50,       500.30,32328041,              16027888554.50
HDFC BANK LTD,      1372.65,      1373.10,11425779,              15598730164.20
INFOSYS LIMITED,      1177.30,      1220.50,10901851,              13085219235.00
STATE BANK OF INDIA,       254.70,       257.45,51189571,              13012282126.80
HDFC LTD,      2414.80,      2403.65,4832004,              11582915570.20
AXIS BANK LIMITED,       582.50,       589.75,19896386,              11547455535.20
TATA STEEL LIMITED,       595.85,       601.35,18846879,              11266604876.10
BHARTI AIRTEL LIMITED,       490.90,       500.30,21233811,              10579573245.25
LARSEN & TOUBRO LTD.,      1234.85,      1262.70,7998730,               9938074861.00
KOTAK MAHINDRA BANK LTD,      1920.85,      1902.95,5073744,               9685356091.90
INTERGLOBE AVIATION LTD,      1507.00,      1570.95,6290730,               9402657403.70
HCL TECHNOLOGIES LTD,       870.45,       913.80,10251896,               9154186077.65
MARUTI SUZUKI INDIA LTD.,      7376.10,      7395.40,1138240,               8336178647.50
ITC LTD,       202.95,       203.40,40986353,               8247088507.50
TATA CONSULTANCY SERV LT,      2820.15,      2872.50,2881737,               8207569106.95
DR. REDDY'S LABORATORIES,      5068.55,      5161.80,1552824,               7895713795.60
BAJAJ FINSERV LTD.,      8846.75,      8938.85,783296,               6893652466.60
CANARA BANK,       109.15,       115.20,58065426,               6594386074.65
BANDHAN BANK LIMITED,       374.30,       396.70,15004322,               5779829200.35
VEDANTA LIMITED,       133.65,       139.10,42061951,               5687883411.65
DIVI'S LABORATORIES LTD,      3634.15,      3720.95,1501765,               5529053828.80

