MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NX,SREIBNPNCD,SEC RED NCD 9.60% SR. V,       740.00,       740.00,       740.00,       740.00,       740.00,                     5920.00,8,XI,1,       955.99,       689.00
N,NY,DHFL,SEC RED NCD 8.56% SR. V,       335.20,       335.00,       335.00,       335.00,       335.00,                    13400.00,40, ,1,       350.00,       173.01
N,NY,L&TFINANCE,SE RE NCD 8.45% SR.I OPT2,      1040.05,      1035.00,      1035.00,      1035.00,      1035.00,                   103500.00,100, ,1,      1120.00,       812.40
N,NY,SREIBNPNCD,SEC RED NCD 10.00% SR. VI,       740.00,       745.00,       764.00,       740.00,       764.00,                    55990.00,75, ,4,       999.00,       666.00
N,Y3,SREIBNPNCD,SEC RED NCD SR. VIII,       795.00,       700.00,       945.00,       700.00,       945.00,                    11445.00,16, ,2,      1269.90,       700.00
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1070.11,      1070.00,      1070.00,      1070.00,      1070.00,                    10700.00,10, ,1,      1175.00,       900.00
N,Y5,SREIBNPNCD,SEC RED NCD 8.75% SR. IV,       830.00,       802.00,       802.00,       801.10,       801.10,                     8816.60,11, ,3,      1049.00,       641.00
N,Y6,L&TFINANCE,SE RE NCD 8.15% SR.V O9,      1025.00,      1000.00,      1000.00,      1000.00,      1000.00,                    47000.00,47, ,2,      1035.00,       995.00
N,Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,      1063.52,      1066.00,      1066.00,      1066.00,      1066.00,                    10660.00,10, ,1,      1172.90,       911.00
N,YH,SRTRANSFIN,SEC RED NCD 8.93% SR. I,      1016.00,      1016.00,      1020.00,      1016.00,      1016.50,                   353015.70,347, ,9,      1090.90,       830.00
N,YJ,SRTRANSFIN,SEC RED NCD 9.10% SR. III,      1037.01,      1040.00,      1040.00,      1040.00,      1040.00,                   254800.00,245, ,3,      1080.19,       900.00
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,      1045.48,      1045.00,      1046.00,      1040.00,      1040.00,                   249620.00,239, ,7,      1050.00,       756.26
N,YL,SRTRANSFIN,SEC RED NCD 9.40% SR. V,      1039.30,      1039.30,      1039.30,      1039.30,      1039.30,                     3117.90,3, ,1,      1072.00,       775.20
N,YM,SRTRANSFIN,SEC RED NCD SR. VI,      1239.05,      1237.00,      1237.00,      1231.02,      1235.00,                   185279.37,150, ,6,      1245.00,       841.05
