GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,WIPRO LTD,       385.55,       364.20,5.86
G,CIPLA LTD,       824.65,       795.00,3.73
G,TATA STEEL LIMITED,       621.40,       601.35,3.33
G,INFOSYS LIMITED,      1253.05,      1220.50,2.67
G,TATA MOTORS LIMITED,       169.20,       164.95,2.58
G,HINDUSTAN UNILEVER LTD.,      2370.35,      2311.00,2.57
G,MAHINDRA & MAHINDRA LTD,       711.50,       695.05,2.37
G,STATE BANK OF INDIA,       263.00,       257.45,2.16
G,ITC LTD,       207.75,       203.40,2.14
G,GRASIM INDUSTRIES LTD,       902.00,       885.20,1.9
G,HINDALCO  INDUSTRIES  LTD,       236.20,       231.90,1.85
G,INDUSIND BANK LIMITED,       855.35,       840.70,1.74
G,UPL LIMITED,       451.95,       444.65,1.64
G,ASIAN PAINTS LIMITED,      2642.55,      2600.80,1.61
G,BAJAJ FINANCE LIMITED,      5088.90,      5011.40,1.55
G,BHARTI AIRTEL LIMITED,       507.20,       500.30,1.38
G,BAJAJ AUTO LIMITED,      3309.65,      3265.30,1.36
G,JSW STEEL LIMITED,       366.85,       361.95,1.35
G,TATA CONSULTANCY SERV LT,      2908.75,      2872.50,1.26
G,DR. REDDY'S LABORATORIES,      5224.10,      5161.80,1.21
G,HDFC LIFE INS CO LTD,       648.60,       641.25,1.15
G,SUN PHARMACEUTICAL IND L,       574.60,       568.30,1.11
G,NESTLE INDIA LIMITED,     18732.70,     18553.55,.97
G,HCL TECHNOLOGIES LTD,       922.60,       913.80,.96
G,KOTAK MAHINDRA BANK LTD,      1920.75,      1902.95,.94
G,BAJAJ FINSERV LTD.,      9013.25,      8938.85,.83
G,MARUTI SUZUKI INDIA LTD.,      7449.95,      7395.40,.74
G,ICICI BANK LTD.,       503.60,       500.30,.66
G,BHARAT PETROLEUM CORP  LT,       374.40,       372.50,.51
G,AXIS BANK LIMITED,       592.45,       589.75,.46
 , , , , 
L,DIVI'S LABORATORIES LTD,      3688.60,      3720.95,-0.87
L,TITAN COMPANY LIMITED,      1490.85,      1498.80,-0.53
L,NTPC LTD,        98.55,        98.90,-0.35
L,COAL INDIA LTD,       135.05,       135.50,-0.33
L,HERO MOTOCORP LIMITED,      3040.05,      3049.10,-0.3
L,GAIL (INDIA) LTD,       118.25,       118.50,-0.21
L,POWER GRID CORP. LTD.,       189.95,       190.30,-0.18
L,BRITANNIA INDUSTRIES LTD,      3625.35,      3630.40,-0.14
L,SHREE CEMENT LIMITED,     23894.40,     23916.70,-0.09
L,HDFC LTD,      2403.05,      2403.65,-0.02
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,PIRAMAL ENTERPRISES LTD,      1424.40,      1335.45,6.66
G,TATA CONSUMER PRODUCT LTD,       605.30,       576.00,5.09
G,INTERGLOBE AVIATION LTD,      1649.25,      1570.95,4.98
G,ADANI TRANSMISSION LTD,       427.95,       408.30,4.81
G,BIOCON LIMITED.,       483.60,       462.15,4.64
G,DLF LIMITED,       228.85,       219.35,4.33
G,AUROBINDO PHARMA LTD,       889.30,       857.05,3.76
G,UNITED BREWERIES LTD,      1131.35,      1095.30,3.29
G,HINDUSTAN ZINC LIMITED,       240.00,       232.40,3.27
G,GENERAL INS CORP OF INDIA,       141.25,       137.00,3.1
G,BANK OF BARODA,        60.55,        58.80,2.98
G,BERGER PAINTS (I) LTD,       733.90,       712.85,2.95
G,L&T INFOTECH LIMITED,      3674.95,      3573.00,2.85
G,SIEMENS LTD,      1548.60,      1508.05,2.69
G,POWER FIN CORP LTD.,       113.55,       111.10,2.21
G,TORRENT PHARMACEUTICALS L,      2799.65,      2743.60,2.04
G,HDFC AMC LIMITED,      2938.95,      2881.05,2.01
G,BAJAJ HOLDINGS & INVS LTD,      3068.40,      3015.90,1.74
G,ABBOTT INDIA LIMITED,     15777.35,     15510.10,1.72
G,MOTHERSON SUMI SYSTEMS LT,       151.45,       148.90,1.71
G,MARICO LIMITED,       405.35,       398.90,1.62
G,ADANI GREEN ENERGY LTD,      1044.95,      1029.90,1.46
G,HAVELLS INDIA LIMITED,       893.35,       880.55,1.45
G,CONTAINER CORP OF IND LTD,       391.85,       386.30,1.44
G,AVENUE SUPERMARTS LIMITED,      2661.85,      2625.75,1.37
G,COLGATE PALMOLIVE LTD.,      1567.35,      1546.80,1.33
G,CADILA HEALTHCARE LIMITED,       475.00,       469.05,1.27
G,P&G HYGIENE & HEALTH CARE,     11033.25,     10903.85,1.19
G,DABUR INDIA LTD,       510.15,       504.25,1.17
G,ORACLE FIN SERV SOFT LTD.,      3144.10,      3112.80,1.01
 , , , , 
