SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
INFOSYS LIMITED,      1220.50,      1253.05,15878346,              19780713238.45
BAJAJ FINANCE LIMITED,      5011.40,      5088.90,3431457,              17498618462.20
RELIANCE INDUSTRIES LTD,      1936.70,      1943.85,8999898,              17443231403.30
WIPRO LTD,       364.20,       385.55,44874433,              17047325999.95
VEDANTA LIMITED,       139.10,       150.45,73258033,              10720997937.05
HDFC BANK LTD,      1373.10,      1375.65,7733697,              10606644402.05
INDUSIND BANK LIMITED,       840.70,       855.35,12353093,              10516690244.35
HCL TECHNOLOGIES LTD,       913.80,       922.60,10723068,               9921735580.65
ICICI BANK LTD.,       500.30,       503.60,19205951,               9630775716.20
TATA MOTORS LIMITED,       164.95,       169.20,56930071,               9503742280.20
TATA CONSULTANCY SERV LT,      2872.50,      2908.75,2790988,               8106911741.25
INDIABULLS HSG FIN LTD,       186.45,       203.10,39642850,               7889805435.90
STATE BANK OF INDIA,       257.45,       263.00,29056404,               7587914568.90
TATA STEEL LIMITED,       601.35,       621.40,12238343,               7462308885.90
AXIS BANK LIMITED,       589.75,       592.45,12247401,               7233277557.55
MARUTI SUZUKI INDIA LTD.,      7395.40,      7449.95,951805,               7114645570.30
CIPLA LTD,       795.00,       824.65,8520251,               6934873099.95
BHARTI AIRTEL LIMITED,       500.30,       507.20,13081361,               6592634496.20
VODAFONE IDEA LIMITED,         9.50,        10.55,611362315,               6241826272.70
HDFC LTD,      2403.65,      2403.05,2605828,               6236006741.60
PUNJAB NATIONAL BANK,        33.40,        31.80,178237037,               5721214471.40
MINDTREE LIMITED,      1525.05,      1596.10,3323625,               5238987813.10
BAJAJ FINSERV LTD.,      8938.85,      9013.25,575454,               5195901412.15
TECH MAHINDRA LIMITED,       944.65,       948.15,5456681,               5186258102.10
BURGER KING INDIA LIMITED,       173.35,       189.45,27824176,               5124338361.65

