SECURITY,NEW,PREVIOUS,NEW_STATUS
BERGER PAINTS (I) LTD,736.25,719.95,H
SEC RED NCD SR. V,1150,1100,H
MPHASIS LIMITED,1629.2,1464.8,H
ONE POINT ONE SOL LTD,16.8,16.7,H
ORCHID PHARMA LIMITED,96.7,92.1,H
PROCTER & GAMBLE HEALTH L,7225,7049,H
DHANI LOANS & SERV LTD,1045,1029,H
SEC RED NCD SR. II,1150,1101,H
AAKASH EXPLORATION SER L,67.85,65.7,H
AGC NETWORKS LIMITED,777.3,741.8,H
DHANI RS.1.10 PPD UP,153.3,153,H
HDFCAMC - HDFCSENETF,5100,5099.99,H
L&T INFOTECH LIMITED,3698.5,3618,H
SEC RED NCD SR. VII,1210,1206,H
TATA CONSUMER PRODUCT LTD,606.85,593.4,H
ASTRAL POLY TECH LTD,1604.9,1593.3,H
BKM INDUSTRIES LIMITED,1.4,1.35,H
PENTA GOLD LIMITED,53.5,52.7,H
BOROSIL RENEWABLES LTD,222.9,219.4,H
INDIA GRID TRUST,121,118.99,H
PAISALO DIGITAL LIMITED,535,530,H
BIRLASOFT LIMITED,267,236.9,H
TAX FREE  7.32% SR. 102 A,1367,1259.99,H
L&T TECHNOLOGY SER. LTD.,2348.2,2348,H
RKEC PROJECTS LIMITED,68,57.35,H
TANTIA CONST LTD,1.75,1.7,H
LINDE INDIA LIMITED,999,969,H
PIDILITE INDUSTRIES LTD,1778,1742.95,H
RAJ OIL MILLS LIMITED,37.95,36.15,H
ROSSARI BIOTECH LIMITED,976.4,877,H
DIGISPICE TECHNOLOGIES LT,18.2,17.35,H
NESTLE INDIA LIMITED,18812,18734.95,H
PARABOLIC DRUGS LTD,4.05,3.9,H
SEC RED NCD 9.03% SR. II,1099,1050,H
FRANTEMAMC - FILDF2GPD,0.4,0.41,L
MAJESCO LIMITED,12.2,167.95,L
SHEMAROO ENTER. LTD.,67,70,L
UNS RED NCD 9.55% SR.VIII,520,525,L
A B INFRABUILD LIMITED,5.7,5.9,L
JUMP NETWORKS LIMITED,15.55,15.85,L
LOVABLE LINGERIE LTD,91.6,96.4,L
MENON BEARINGS LIMITED,44.5,44.55,L
SIGMA SOLVE LIMITED,43,43.75,L
TIRUPATI FORGE LIMITED,24,24.1,L
GOI LOAN 8.08% 2022,52.45,55.16,L
SEC RED NCD 9.60% SR. V,592,689,L
SPML INFRA LIMITED,11.2,11.75,L
SUPREME ENGINEERING LTD,22.1,22.25,L
NILA SPACES LIMITED,1.4,1.45,L
TRANS & RECTI. LTD,18.35,19.3,L
B.C. POWER CONTROLS LTD,6,6.25,L
RAVINDER HEIGHTS LIMITED,25.4,26.7,L
THE BYKE HOSPITALITY LTD,17.95,18.05,L

