MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,MAN50ETF,MIRAEAMC - MAN50ETF,       137.69,       137.66,       138.65,       137.35,       138.41,                  4529559.20,32725,356,       150.27,        75.10,NIFTY 50
N,EQ,MANXT50,MIRAEAMC - MANXT50,       311.22,       312.22,       317.40,       312.22,       317.11,                  1765523.15,5576,73,       339.00,       151.00,NIFTY NEXT 50
N,EQ,N100,MOST SHARES N100 ETF,       919.46,       929.85,       930.95,       917.11,       927.04,                140930020.80,151585,1001,      1010.50,       499.20,NASDAQ100
N,EQ,NETF,TATAAML - NETF,       168.00,       163.59,       163.59,       163.59,       163.59,                     8506.68,52,9,       168.87,        77.81,NIFTY 50
N,EQ,NETFCONSUM,NIP IND ETF CONSUMPTION,        64.37,        66.30,        66.50,        61.60,        62.37,                  1732504.91,27339,255,        68.00,        42.50,NIFTY CONSUMPTION INDEX
N,EQ,NETFDIVOPP,NIP IND ETF DIV OPP,        34.82,        38.00,        38.00,        32.50,        34.71,                    49147.99,1428,107,        39.65,        17.12,NIFTY DIV OPPS 50
N,EQ,NETFIT,NIP IND ETF IT,        23.83,        24.10,        24.50,        23.84,        24.36,                 13923906.93,574239,2510,        26.20,        14.00,NIFTYIT
N,EQ,NETFLTGILT,NIP IND ETF LONGTERM GILT,        22.38,        22.90,        22.90,        22.33,        22.35,                   369724.91,16546,90,        25.50,        17.00,NIFTY GS 8 13YR
N,EQ,NETFMID150,NIP IND ETF MIDCAP 150,        76.29,        76.30,        77.77,        73.80,        77.42,                 15481119.32,202670,727,        79.96,        40.05,NIFTY MIDCAP 150
N,EQ,NETFNIF100,NIP IND ETF NIFTY 100,       138.12,       141.10,       145.00,       138.00,       142.00,                    75555.37,539,62,       159.90,        70.90,NIFTY 100
N,EQ,NETFNV20,NIP IND ETF ETF NV20,        71.49,        69.35,        73.34,        69.35,        73.05,                   125475.88,1723,54,        85.00,        41.00,NIFTY50 VALUE 20
N,EQ,NIFTYBEES,NIP IND ETF NIFTY BEES,       143.82,       143.95,       145.31,       143.28,       145.12,                184945491.04,1280315,8722,       159.00,        81.00,NIFTY 50
N,EQ,NPBET,TATAAML - NPBET,       156.00,       160.68,       161.80,       152.80,       155.10,                    51672.21,332,51,       182.00,        88.11,NIFTY PRIVATE BANK INDEX
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        18.17,        18.33,        18.58,        18.15,        18.53,                  3100763.54,168355,583,        28.44,         9.88,NIFTY PSU BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,      2169.00,      2169.00,      2169.00,      2155.00,      2166.95,                  1236288.55,571,92,      2522.40,      1666.00,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY ETF,      1387.00,      1380.00,      1401.00,      1380.00,      1401.00,                    11160.23,8,8,      1419.00,       771.31,NIFTY 50
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       236.56,       240.00,       244.00,       239.00,       243.54,                   910834.10,3767,100,       250.00,       201.20,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       167.97,       167.97,       169.00,       162.90,       164.85,                   327768.06,1981,71,       174.90,       130.60,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       121.43,       123.50,       123.50,       120.58,       123.06,                   547948.26,4464,85,       127.68,        73.20,NIFTY 200 QUALITY 30 INDEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       202.00,       200.00,       205.50,       199.05,       203.00,                     6515.74,32,7,       241.70,       154.27,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,      4480.80,      4499.95,      4499.95,      4456.00,      4475.20,                 45990480.35,10297,1342,      5135.75,      3425.00,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       139.46,       139.35,       141.13,       138.98,       141.00,                 16574647.61,118133,950,       150.90,        79.00,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       294.89,       295.24,       298.67,       293.08,       297.92,                  7026228.59,23731,538,       335.00,       169.00,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       325.05,       323.99,       331.40,       323.99,       331.30,                  9279176.49,28176,226,       343.10,       190.00,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       345.50,       346.00,       350.88,       345.53,       350.00,                    56769.91,163,26,       357.00,       157.95,SHARIAH INDEX
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,       296.99,       296.85,       299.60,       294.95,       298.53,                    40633.68,137,11,       320.96,       202.50,NIFTY BANK INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,       325.48,       329.00,       332.39,       327.22,       330.00,                   140887.49,429,17,       375.00,       202.10,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,      1434.28,      1443.00,      1454.37,      1443.00,      1454.23,                   494676.81,342,32,      1480.00,       840.00,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       491.70,       491.71,       495.00,       491.70,       493.43,                   321003.97,652,40,       505.00,       301.00,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,       365.48,       357.21,       379.99,       352.20,       372.50,                    25067.64,68,30,       395.00,       190.67,BSE SENSEX NEXT 50
