SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.55,1.5,H
BERGER PAINTS (I) LTD,682.5,681,H
MOLD TEK PACKAGING LTD,160,159,H
INFO EDGE (I) LTD,4624,4437,H
ORCHID PHARMA LIMITED,62.55,59.6,H
RELIANCE POWER LTD.,3.95,3.8,H
SBIAMC - SBIETFPB,171.99,170,H
SEC RED NCD SR.VIII,1075,1040,H
V2 RETAIL LIMITED,102,99,H
EDELAMC - EBBETF0431,1036,1029,H
GLOBE TEXTILES (I) LTD.,64.5,63.85,H
GVK POW. & INFRA LTD.,3.3,3.2,H
MENON BEARINGS LIMITED,51.6,51.5,H
PRIVI SPECIALITY CHE LTD,577,574.9,H
SIGMA SOLVE LIMITED,53.9,46.5,H
UNSERENCD8.85%SRIVCIII&IV,1290,1200.8,H
VIDEOCON INDUSTRIES LIMIT,8.65,8.25,H
AAKASH EXPLORATION SER L,56,55.8,H
DEV INFO TECHNOLOGY LTD,139.45,137.05,H
ICE MAKE REFRIGERAT LTD,118.9,113.25,H
IMAGICAAWORLD ENT LTD,6.75,6.45,H
NITIN SPINNERS LIMITED,73.9,70.4,H
SEC RED NCD SR. VI,1200.01,1200,H
TECHNOFAB ENG LTD,10.7,10.6,H
TUBE INVEST OF INDIA LTD,882,857.95,H
TREJHARA SOLUTIONS LTD,49.05,47.65,H
DIXON TECHNO (INDIA) LTD,12397,11990,H
HOUSING DEV & INFRA LTD,7.6,7.25,H
BOND 0% 2021 TR-3 SR-II,10810,10782,H
JSW ISPAT SPE PRO LTD,30.85,29.4,H
THE ANUP ENGINEERING LTD,715,698,H
CHAMBAL FERTILIZERS LTD,234.85,214,H
EDELAMC - EMOFSR1DGG,9.9,9.15,H
GREENPANEL INDUSTRIES LTD,113.6,108.2,H
SHARE IND. SECURITIES LTD,132,131,H
SHRADHA INFRAPROJECTS LTD,62.7,62,H
YAARII DIG INTEGR SER LTD,79.25,75.5,H
BIOFIL CHEM & PHARMA LTD.,323,307.65,H
COMPUTER AGE MNGT SER LTD,1524.65,1498.7,H
DHANI LOANS & SERV LTD,1000,998.54,H
BOND 0% 2021 TR-2 SR-II,10640,10626,H
JET AIRWAYS (INDIA) LTD.,82.65,79.2,H
L&T TECHNOLOGY SER. LTD.,1890,1879.4,H
MOHIT INDUSTRIES LTD,6,5.75,H
NIRAJ CEMENT STRUC LTD,51.95,51.45,H
SILLY MONKS ENTERTAIN LTD,25.2,24,H
DHANI LOANS & SERV LTD,995,990,H
SEC RED NCD SR. IV,1197,1184,H
GODREJ PROPERTIES LTD,1295,1277.85,H
ICICIPRAMC - ICICI500,200,183.9,H
TATAAML - NETF,164.36,163.9,H
RAJ OIL MILLS LIMITED,24.65,23.5,H
SUPREME INDUSTRIES LTD,1772,1736,H
SYNCOM HEALTHCARE LTD,2.1,2,H
TANLA PLATFORMS LIMITED,904.9,861.85,H
WELSPUN INV & COMM LTD,466.05,423.7,H
ARCHIDPLY DECOR LIMITED,26.15,25.25,H
BIGBLOC CONSTRUCTION LTD,132.45,126.15,H
GLOBAL EDUCATION LIMITED,58,55.25,H
HDFCAMC - HHOF1140RD,9.15,9,H
HINDUSTAN FOODS LIMITED,1198,1109,H
UNSEC RED NCD 10.5% SR.VI,1080.05,1080,H
MOST SHARES M50 ETF,134.7,134.3,H
NESTLE INDIA LIMITED,18404,18369.95,H
JUMP NETWORKS LIMITED,17.1,17.4,L
AYM SYNTEX LIMITED,41.75,42.5,L
OSIA HYPER RETAIL LTD,185.05,188.05,L
ATAL REALTECH LIMITED,38.7,41,L
VISHAL FABRICS LIMITED,95.8,97.75,L

