MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1052.00,      1052.00,      1052.00,      1040.00,      1040.00,                   209351.36,201, ,8,      1078.65,       721.00
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       991.00,       952.00,      1010.00,       952.00,       990.23,                   194370.00,196, ,5,      1134.00,       701.05
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1062.00,      1064.95,      1069.99,      1063.00,      1063.00,                    38432.71,36, ,5,      1194.00,      1025.00
N,N1,JNPT,BOND 6.82% PA TAX FREE S1,      1294.99,      1094.90,      1293.99,      1094.90,      1293.99,                     3483.79,3, ,2,      1529.99,      1000.10
N,N1,MAGMA,SEC RED NCD 10.25% SR. I,      1042.00,      1042.00,      1042.00,      1042.00,      1042.00,                     5210.00,5, ,1,      1139.00,       950.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1061.00,      1061.00,      1062.00,      1059.90,      1061.88,                  1901802.03,1792, ,21,      1178.00,      1045.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.03,        31.85,        32.05,        31.85,        32.01,                   229105.86,7158, ,54,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1172.07,      1166.00,      1166.00,      1166.00,      1166.00,                    23320.00,20, ,1,      1180.65,       732.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1284.40,      1284.40,      1287.00,      1280.01,      1285.00,                  1025203.72,798, ,14,      1369.90,      1051.60
N,N2,IIFCL,8.66% TAX FREE NCD,      1181.10,      1339.79,      1339.79,      1183.99,      1184.00,                   202836.50,170, ,3,      1390.00,      1078.50
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1225.00,      1225.00,      1230.00,      1225.00,      1229.99,                   919998.50,750, ,9,      1298.90,      1132.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1291.26,      1298.00,      1298.00,      1291.01,      1291.80,                  3029686.70,2345, ,32,      1298.00,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1243.92,      1249.90,      1249.90,      1247.50,      1247.92,                  1141988.91,915, ,25,      1300.00,      1029.85
N,N2,PFC,7.36% TAX FREE NCD,      1238.00,      1226.05,      1226.05,      1226.05,      1226.05,                    98084.00,80, ,1,      1238.50,      1060.00
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1180.00,      1181.00,      1185.00,      1165.41,      1165.41,                   253501.00,216, ,8,      1254.90,      1043.10
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       980.00,       990.00,       995.00,       990.00,       990.00,                   523975.00,529, ,15,       999.00,       705.00
N,N3,EHFLNCD,SEC RED NCD 9.75% SR. III,      1035.00,      1046.90,      1046.90,      1036.00,      1036.00,                    62170.90,60, ,4,      1048.99,       810.10
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1110.15,      1117.98,      1118.00,      1117.70,      1117.95,                   693140.05,620, ,16,      1277.50,      1010.00
