SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
UPL LIMITED,       492.60,       438.45,87279054,              37739652855.35
INDIAN RAIL TOUR CORP LTD,      1617.75,      1452.75,17186934,              25353896423.70
RELIANCE INDUSTRIES LTD,      2026.95,      2007.00,7414229,              14903949695.80
HDFC BANK LTD,      1407.20,      1385.85,9863983,              13671853428.50
ITC LTD,       205.40,       212.70,65227495,              13618257111.20
YES BANK LIMITED,        19.00,        20.45,662896680,              13277156820.35
TATA STEEL LIMITED,       609.35,       610.10,19829328,              11967589060.65
INFOSYS LIMITED,      1175.20,      1167.75,9488782,              11046635082.65
STATE BANK OF INDIA,       270.35,       269.55,38676657,              10362014086.65
ICICI BANK LTD.,       511.50,       506.95,20419020,              10328333170.80
AXIS BANK LIMITED,       634.20,       627.05,16126862,              10111337751.00
BAJAJ FINANCE LIMITED,      4844.15,      4794.80,1925963,               9274105158.05
MARUTI SUZUKI INDIA LTD.,      7709.25,      7736.00,1186739,               9228330393.20
KOTAK MAHINDRA BANK LTD,      1883.55,      1903.30,4695216,               8872093056.70
INDUSIND BANK LIMITED,       928.50,       915.85,9145597,               8353776743.00
HINDUSTAN UNILEVER LTD.,      2292.20,      2350.45,3041370,               7070241197.70
TATA MOTORS LIMITED,       182.70,       177.60,38368777,               6842370815.25
ULTRATECH CEMENT LIMITED,      5144.80,      4964.30,1333296,               6674922941.90
BHARTI AIRTEL LIMITED,       503.05,       505.15,13194186,               6619376248.80
CANARA BANK,       128.15,       122.50,50690580,               6223339943.25
ASIAN PAINTS LIMITED,      2522.30,      2526.05,2372909,               5991012482.35
TATA CONSULTANCY SERV LT,      2810.80,      2784.30,2127801,               5945438936.55
BANDHAN BANK LIMITED,       399.95,       414.90,14568462,               5932116436.20
VEDANTA LIMITED,       143.55,       144.10,40886623,               5837943317.80
LARSEN & TOUBRO LTD.,      1181.00,      1190.35,4921373,               5815223621.45

