MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13529.10,     13488.50,     13503.55,     13399.30,     13478.30,610035277166.90,3585363931,Y, ,18087423,     13548.90,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14241.60,     14212.45,     14212.45,     14071.15,     14181.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15202.30,     15176.70,     15192.05,     15020.25,     15181.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10524.20,     10501.50,     10562.60,     10449.50,     10547.40,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19230.50,     19217.20,     19237.65,     18986.80,     19211.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7745.05,      7747.00,      7747.40,      7628.15,      7688.15,0,0,Y, ,0,      7779.35,      4088.05
Y, , ,NIFTY SMLCAP 50,      3378.85,      3380.70,      3380.75,      3320.85,      3362.90,0,0,Y, ,0,      3389.30,      1545.45
Y, , ,NIFTY SMLCAP 250,      5872.95,      5876.10,      5876.25,      5760.65,      5835.55,0,0,Y, ,0,      5897.35,      2867.40
Y, , ,NIFTY MIDSML 400,      7074.75,      7077.15,      7077.15,      6959.55,      7024.90,0,0,Y, ,0,      7103.65,      3650.20
Y, , ,NIFTY200 QUALTY30,     11723.20,     11714.80,     11810.20,     11668.65,     11791.60,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14162.25,     14115.15,     14115.60,     13959.20,     14062.55,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13277.35,     13276.20,     13327.20,     13202.80,     13317.15,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13161.40,     13153.15,     13282.80,     13116.40,     13272.80,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2324.25,      2316.25,      2320.60,      2302.90,      2316.70,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     22803.45,     22693.95,     22809.55,     22606.60,     22755.75,0,0,Y, ,0,     22895.50,     10991.25
Y, , ,Nifty Next 50,     31722.20,     31680.80,     31877.45,     31423.15,     31850.65,0,0,Y, ,0,     31960.05,     18384.05
Y, , ,Nifty Bank,     30709.40,     30545.35,     30610.00,     30202.10,     30510.35,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     20563.45,     20562.75,     20563.60,     20230.05,     20392.70,0,0,Y, ,0,     20649.25,     10749.95
Y, , ,Nifty 500,     11181.20,     11156.90,     11156.90,     11060.20,     11141.35,0,0,Y, ,0,     11201.75,      6151.60
Y, , ,Nifty 100,     13649.60,     13611.70,     13632.85,     13519.35,     13612.35,0,0,Y, ,0,     13673.10,      7624.85
Y, , ,Nifty Midcap 50,      5783.80,      5776.30,      5776.30,      5672.15,      5724.45,0,0,Y, ,0,      5816.30,      2855.35
