SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.65,1.6,H
BERGER PAINTS (I) LTD,686.7,682.5,H
LTAMC - LTMFEOF2R,11.35,11.3,H
MAJESCO LIMITED,1001,995,H
MIRAEAMC - MAN50ETF,143.8,140,H
ONE POINT ONE SOL LTD,15.8,15.4,H
ORCHID PHARMA LIMITED,68.9,65.65,H
RELIANCE POWER LTD.,4.1,3.95,H
SBIAMC - SBIETFPB,174.9,171.99,H
SEC RED NCD 8.75% SR.III,1049.95,1047.99,H
VERTOZ ADVERTISING LTD,216,214.3,H
GVK POW. & INFRA LTD.,3.4,3.3,H
BOND 0% 2021 TR-1 SR-II,10930,10910.01,H
AAKASH EXPLORATION SER L,58.95,58.5,H
ACCURACY SHIPPING LIMITED,32.8,31.25,H
UNSEC RED NCD 10.0% SR. V,1085,1075,H
IMAGICAAWORLD ENT LTD,7.45,7.3,H
KSK ENERGY VENTURES LTD,0.55,0.5,H
UTI ASSET MNGMT CO LTD,579.8,574.2,H
BKM INDUSTRIES LIMITED,1.05,1,H
DCM NOUVELLE LIMITED,42.15,39.55,H
DIXON TECHNO (INDIA) LTD,13395.8,12780,H
ESAB INDIA LTD,1780.25,1727.95,H
GOLDIAM INTERNATIONAL LTD,199.2,184.8,H
HOUSING DEV & INFRA LTD,8.3,7.95,H
NIP IND ETF DIV OPP,34.6,34.48,H
URJA GLOBAL LIMITED,5.35,5.1,H
UTIAMC - UTIBANKETF,308.48,308.2,H
THE ANUP ENGINEERING LTD,839.2,819.7,H
BIL ENERGY SYSTEMS LTD,0.9,0.85,H
ADITYBIRLA SL NIF ETF-GR,149.34,148.8,H
CHAMBAL FERTILIZERS LTD,242.8,239,H
INDIA GRID TRUST,114,113.75,H
SBIAMC - SBIETFQLTY,122.7,122,H
SHARE IND. SECURITIES LTD,151.05,132,H
YAARII DIG INTEGR SER LTD,87.35,83.2,H
BIOFIL CHEM & PHARMA LTD.,356.1,339.15,H
COMPUTER AGE MNGT SER LTD,1533,1524.65,H
HDFCAMC - HBANKETF,306.4,306.15,H
HINDUJA GLOBAL SOLS. LTD.,1249.9,1148,H
JET AIRWAYS (INDIA) LTD.,91.05,86.75,H
MAHESHWARI LOGISTICS LTD.,99.7,95.9,H
MARINE ELECTRICAL (I) LTD,224.95,221.05,H
MOHIT INDUSTRIES LTD,6.6,6.3,H
ABB POWER PRO N SYS IND L,1371,1370,H
SATIN RS.2.50 PPD UP,40.25,39.75,H
SILLY MONKS ENTERTAIN LTD,26,25.45,H
TEMBO GLOBAL IND LTD,208,204,H
BOROSIL LIMITED,185.8,181,H
GODREJ PROPERTIES LTD,1315,1310,H
ICICIPRAMC - ICICI500,216.9,200,H
JSW HOLDINGS LIMITED,4038.5,3560,H
LINDE INDIA LIMITED,969,942,H
PROLIFE INDUSTRIES LTD,55.8,55,H
RAJ OIL MILLS LIMITED,27.1,25.85,H
SYNCOM HEALTHCARE LTD,2.3,2.2,H
ARCHIDPLY DECOR LIMITED,28.5,27.15,H
BANKA BIOLOO LIMITED,49.15,45.95,H
BIGBLOC CONSTRUCTION LTD,146,139.05,H
DIGISPICE TECHNOLOGIES LT,13.3,12.7,H
GLOBAL EDUCATION LIMITED,63.9,60.9,H
ICICI PRUD NIFTY 100 ETF,160.2,154.8,H
MOST SHARES M50 ETF,135,134.7,H
MIRAEAMC - MAESGETF,27.5,23.97,H
NESTLE INDIA LIMITED,18679,18460,H
TATASTEEL RS.2.50 PPD UP,182.9,175.65,H
SHRENIK LIMITED,5,5.05,L
EUROTEX INDUSTRIES LTD,7.7,7.8,L
NIPPON INDIA- NIMFXX,99.91,102.22,L
SILVER TOUCH TECHNO LTD,81,89,L
AYM SYNTEX LIMITED,41.5,41.75,L
D. P. ABHUSHAN LIMITED,81.25,82,L
STI INDIA LTD,3.15,3.3,L
WONDER FIBROMATS LIMITED,42.7,43.3,L
GOI LOAN  3.96% 2022,90.32,95.04,L
VISHAL FABRICS LIMITED,92.05,93.9,L

