GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,OIL AND NATURAL GAS CORP.,       101.50,        96.80,4.86
G,LARSEN & TOUBRO LTD.,      1249.65,      1194.30,4.63
G,CIPLA LTD,       789.30,       755.85,4.43
G,COAL INDIA LTD,       143.35,       138.25,3.69
G,INDIAN OIL CORP LTD,        96.20,        93.85,2.5
G,NTPC LTD,       104.60,       102.40,2.15
G,BHARAT PETROLEUM CORP  LT,       405.45,       397.40,2.03
G,ICICI BANK LTD.,       525.80,       515.45,2.01
G,UPL LIMITED,       442.15,       435.00,1.64
G,TITAN COMPANY LIMITED,      1463.45,      1442.40,1.46
G,SUN PHARMACEUTICAL IND L,       576.25,       568.10,1.43
G,HCL TECHNOLOGIES LTD,       873.00,       862.25,1.25
G,BRITANNIA INDUSTRIES LTD,      3776.95,      3732.75,1.18
G,ULTRATECH CEMENT LIMITED,      5073.75,      5015.00,1.17
G,BAJAJ FINANCE LIMITED,      4898.65,      4843.85,1.13
G,HINDALCO  INDUSTRIES  LTD,       246.35,       243.65,1.11
G,ASIAN PAINTS LIMITED,      2548.15,      2520.95,1.08
G,NESTLE INDIA LIMITED,     18591.80,     18401.10,1.04
G,GRASIM INDUSTRIES LTD,       911.45,       902.25,1.02
G,KOTAK MAHINDRA BANK LTD,      1939.35,      1920.40,.99
G,TATA STEEL LIMITED,       626.75,       621.70,.81
G,STATE BANK OF INDIA,       274.20,       272.45,.64
G,POWER GRID CORP. LTD.,       194.30,       193.10,.62
G,TATA CONSULTANCY SERV LT,      2797.70,      2783.60,.51
G,AXIS BANK LIMITED,       615.90,       613.25,.43
G,HDFC LTD,      2302.65,      2295.90,.29
G,ADANI PORT & SEZ LTD,       467.00,       466.30,.15
G,DR. REDDY'S LABORATORIES,      5022.80,      5016.95,.12
G,INFOSYS LIMITED,      1164.55,      1163.20,.12
G,SBI LIFE INSURANCE CO LTD,       850.20,       849.70,.06
 , , , , 
L,EICHER MOTORS LTD,      2400.45,      2470.80,-2.85
L,HERO MOTOCORP LIMITED,      3113.65,      3185.30,-2.25
L,MAHINDRA & MAHINDRA LTD,       711.70,       727.55,-2.18
L,HDFC LIFE INS CO LTD,       655.75,       664.50,-1.32
L,WIPRO LTD,       349.35,       353.50,-1.17
L,BAJAJ AUTO LIMITED,      3289.00,      3327.65,-1.16
L,DIVI'S LABORATORIES LTD,      3599.80,      3642.10,-1.16
L,TECH MAHINDRA LIMITED,       909.40,       919.40,-1.09
L,HDFC BANK LTD,      1372.15,      1382.80,-0.77
L,RELIANCE INDUSTRIES LTD,      1991.30,      2005.80,-0.72
L,BAJAJ FINSERV LTD.,      8933.50,      8995.05,-0.68
L,TATA MOTORS LIMITED,       177.65,       178.85,-0.67
L,JSW STEEL LIMITED,       357.50,       359.65,-0.6
L,MARUTI SUZUKI INDIA LTD.,      7696.80,      7733.55,-0.48
L,SHREE CEMENT LIMITED,     23722.20,     23805.00,-0.35
L,GAIL (INDIA) LTD,       125.45,       125.85,-0.32
L,INDUSIND BANK LIMITED,       921.25,       923.75,-0.27
L,BHARTI AIRTEL LIMITED,       503.05,       504.40,-0.27
L,ITC LTD,       215.90,       216.30,-0.18
L,HINDUSTAN UNILEVER LTD.,      2370.75,      2374.75,-0.17
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,NMDC LTD.,       116.65,       110.85,5.23
G,HINDUSTAN PETROLEUM CORP,       228.70,       217.35,5.22
G,POWER FIN CORP LTD.,       121.35,       117.35,3.41
G,INFO EDGE (I) LTD,      4672.55,      4521.35,3.34
G,COLGATE PALMOLIVE LTD.,      1625.45,      1574.30,3.25
G,INDRAPRASTHA GAS LTD,       495.45,       482.25,2.74
G,ABBOTT INDIA LIMITED,     16504.90,     16087.55,2.59
G,BANK OF BARODA,        67.00,        65.45,2.37
G,TORRENT PHARMACEUTICALS L,      2703.80,      2646.70,2.16
G,PETRONET LNG LIMITED,       266.75,       261.60,1.97
G,PUNJAB NATIONAL BANK,        41.25,        40.50,1.85
G,ICICI LOMBARD GIC LIMITED,      1489.75,      1466.55,1.58
G,MUTHOOT FINANCE LIMITED,      1191.30,      1173.00,1.56
G,MOTHERSON SUMI SYSTEMS LT,       156.50,       154.30,1.43
G,ALKEM LABORATORIES LTD.,      2929.25,      2896.15,1.14
G,CONTAINER CORP OF IND LTD,       404.00,       400.85,0.79
G,CADILA HEALTHCARE LIMITED,       469.85,       466.65,0.69
G,P&G HYGIENE & HEALTH CARE,     11403.45,     11333.90,0.61
G,BHARTI INFRATEL LTD.,       246.35,       244.90,0.59
