SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BURGER KING INDIA LIMITED,        60.00,       135.00,186792834,              22858239893.00
RELIANCE INDUSTRIES LTD,      2005.80,      1991.30,7989830,              15959361790.30
CIPLA LTD,       755.85,       789.30,19785595,              15552565167.60
INDIAN RAIL TOUR CORP LTD,      1421.00,      1479.00,9444600,              13938348800.95
ICICI BANK LTD.,       515.45,       525.80,26369591,              13804658926.05
LARSEN & TOUBRO LTD.,      1194.30,      1249.65,9723233,              12004950379.20
HDFC BANK LTD,      1382.80,      1372.15,8611025,              11850694443.90
TATA STEEL LIMITED,       621.70,       626.75,17722715,              11195951655.25
AXIS BANK LIMITED,       613.25,       615.90,14567480,               9003529246.50
STATE BANK OF INDIA,       272.45,       274.20,31946501,               8775317446.60
BAJAJ FINANCE LIMITED,      4843.85,      4898.65,1786348,               8711223027.80
MARUTI SUZUKI INDIA LTD.,      7733.55,      7696.80,1038032,               8007211706.10
INFOSYS LIMITED,      1163.20,      1164.55,6728187,               7802805823.50
OIL AND NATURAL GAS CORP.,        96.80,       101.50,75021883,               7507622944.10
HDFC LTD,      2295.90,      2302.65,3160235,               7245930582.55
BHARTI AIRTEL LIMITED,       504.40,       503.05,13886923,               7009944011.75
TATA CONSULTANCY SERV LT,      2783.60,      2797.70,2483658,               6922952988.10
KOTAK MAHINDRA BANK LTD,      1920.40,      1939.35,3456971,               6649589694.40
UPL LIMITED,       435.00,       442.15,14595495,               6427913945.50
EICHER MOTORS LTD,      2470.80,      2400.45,2480823,               6001898689.55
DR. REDDY'S LABORATORIES,      5016.95,      5022.80,1183625,               5941239317.55
TATA MOTORS LIMITED,       178.85,       177.65,33186273,               5911041528.75
ITC LTD,       216.30,       215.90,26990063,               5846025796.05
INDUSIND BANK LIMITED,       923.75,       921.25,5936096,               5507285269.60
COAL INDIA LTD,       138.25,       143.35,35605748,               5084788192.85

