SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
VEDANTA LIMITED,       150.45,       162.85,270968028,              43741481032.40
MRS BECTORS FOOD SPE LTD,       288.00,       594.20,37066792,              21269572940.25
RELIANCE INDUSTRIES LTD,      1943.85,      1994.15,9588577,              18948962895.70
BAJAJ FINANCE LIMITED,      5088.90,      5184.90,2625559,              13551847028.55
TATA MOTORS LIMITED,       169.20,       175.95,73831319,              12963747737.15
BHARTI AIRTEL LIMITED,       507.20,       517.30,20849597,              10796115991.00
HDFC BANK LTD,      1375.65,      1397.10,7476094,              10415823397.40
AXIS BANK LIMITED,       592.45,       610.20,15488083,               9422774985.75
INFOSYS LIMITED,      1253.05,      1236.05,7313885,               9042415622.95
ICICI BANK LTD.,       503.60,       513.55,17576807,               9008152086.30
INDUSIND BANK LIMITED,       855.35,       852.80,10293688,               8845552999.00
STATE BANK OF INDIA,       263.00,       266.85,28585509,               7632821262.60
TATA STEEL LIMITED,       621.40,       622.30,12090740,               7578159934.40
HDFC LTD,      2403.05,      2455.15,2723426,               6648298919.40
SHRIRAM TRANSPORT FIN CO.,       961.65,       996.60,6604181,               6633078501.45
KOTAK MAHINDRA BANK LTD,      1920.75,      1960.60,3337164,               6519935111.85
AMBUJA CEMENTS LTD,       237.20,       246.70,24151514,               6054282174.25
CIPLA LTD,       824.65,       833.20,7294578,               6022224914.00
HINDUSTAN UNILEVER LTD.,      2370.35,      2402.25,2489444,               5946476943.05
ACC LIMITED,      1578.85,      1614.65,3608554,               5916993876.65
STEEL AUTHORITY OF INDIA,        59.05,        60.25,89470214,               5463830149.75
BAJAJ AUTO LIMITED,      3309.65,      3374.75,1567636,               5309136293.90
TATA CONSULTANCY SERV LT,      2908.75,      2909.35,1807144,               5245886550.40
INDIABULLS HSG FIN LTD,       203.10,       204.60,23594132,               4857223845.10
BURGER KING INDIA LIMITED,       189.45,       180.90,25703631,               4791288801.80

