SECURITY,NEW,PREVIOUS,NEW_STATUS
GOI LOAN 7.19% 2060,120,117.42,H
BERGER PAINTS (I) LTD,738.45,736.25,H
SEC RED NCD SR. V,1160,1150,H
ORCHID PHARMA LIMITED,101.5,96.7,H
PROCTER & GAMBLE HEALTH L,7350,7225,H
RUDRABHISHEK ENTERP LTD,119.75,115.9,H
WHIRLPOOL OF INDIA LTD,2579.9,2555,H
GLOBE TEXTILES (I) LTD.,64.65,64.5,H
PRINCE PIPES FITTINGS LTD,283.85,283.5,H
AGC NETWORKS LIMITED,814.4,777.3,H
DHANI RS.1.10 PPD UP,182.25,153.3,H
TATA COMMUNICATIONS LTD,1144.95,1104.75,H
TATA CONSUMER PRODUCT LTD,616.1,606.85,H
ASTRAL POLY TECH LTD,1634.55,1604.9,H
BKM INDUSTRIES LIMITED,1.45,1.4,H
FIRSTSOURCE SOLU. LTD.,94.2,93.2,H
KOTAKMAMC - KTKNV20ETF,73.44,72.5,H
KSOLVES INDIA LIMITED,445,438,H
MAX FINANCIAL SERV LTD,697.5,689.7,H
PENTA GOLD LIMITED,55.8,53.5,H
SRF LTD,5643.75,5614.65,H
BOROSIL RENEWABLES LTD,245.15,222.9,H
QUANTUM NIFTY ETF,1423,1419,H
BIRLASLAMC - ABSLBANETF,353,334.2,H
BIRLASOFT LIMITED,276,267,H
HOUSING DVPT FIN CORP LTD,685,680,H
BOND 0% 2021 TR-2 SR-II,10665.05,10648.05,H
KOTAK MAHINDRA BANK LTD,1978,1969,H
L&T TECHNOLOGY SER. LTD.,2390,2348.2,H
VAIBHAV GLOBAL LIMITED,2237,2195,H
BOROSIL LIMITED,214.65,204.35,H
MOTILALAMC - G5,47.78,47.77,H
MANGALAM GLOBAL ENT LTD,56.95,50.4,H
RAJ OIL MILLS LIMITED,39.8,37.95,H
ROSSARI BIOTECH LIMITED,980,976.4,H
ADANI PORT & SEZ LTD,482.9,480.45,H
DIGISPICE TECHNOLOGIES LT,19.1,18.2,H
HINDUSTAN FOODS LIMITED,1312.3,1214.95,H
JASH ENGINEERING LIMITED,234,233.5,H
NAHAR POLY FILMS LIMITED,103,94.8,H
NESTLE INDIA LIMITED,18830,18812,H
PARABOLIC DRUGS LTD,4.25,4.05,H
UNS RED NCD 9.12% SR. IX,592,640,L
A B INFRABUILD LIMITED,5.45,5.7,L
JUMP NETWORKS LIMITED,15.25,15.55,L
DILIGENT MEDIA CORP LTD.,0.55,0.6,L
ARTEMIS MED SERVICE LTD,214,215,L
ATAL REALTECH LIMITED,38.25,38.7,L
RAVINDER HEIGHTS LIMITED,24.15,25.4,L
VALIANT ORGANICS LIMITED,1605.5,2875.05,L
GRAND FOUNDRY LTD,2.1,2.2,L

