MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       295.42,       285.60,       353.00,       285.60,       303.00,                    40624.61,134,10,       353.00,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       317.52,       318.80,       327.04,       317.00,       317.19,                    16968.37,53,14,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       298.97,       300.00,       304.00,       300.00,       302.90,                   321818.42,1064,34,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        43.45,        43.80,        43.80,        43.44,        43.63,                  1518789.73,34856,1031,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       140.52,       140.70,       142.48,       140.70,       142.29,                   746172.97,5268,104,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       300.05,       301.80,       306.46,       301.00,       305.28,                191731905.72,629002,7348,       332.95,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4573.00,      4629.80,      4629.80,      4575.10,      4589.70,                  1017372.25,221,64,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       149.81,       150.00,       152.79,       147.11,       148.74,                   224098.57,1506,44,       152.90,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        20.06,        20.49,        20.56,        19.76,        20.27,                 57351158.95,2813673,1951,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3255.00,      3280.00,      3286.00,      3280.00,      3285.99,                    39425.98,12,4,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1109.48,      1109.00,      1110.49,      1109.00,      1110.30,                 21133693.22,19043,83,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1026.41,      1026.50,      1026.99,      1025.65,      1025.65,                 47344683.13,46140,51,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1133.48,      1132.05,      1133.93,      1131.00,      1133.05,                  7866965.26,6944,61,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1014.99,      1016.05,      1016.89,      1014.25,      1015.38,                  8749603.52,8617,80,      1036.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       415.40,       409.32,       409.32,       391.01,       409.00,                    66202.11,164,56,       415.40,       238.00,NIFTY QUALITY 30
N,EQ,G5,MOTILALAMC - G5,        47.73,        47.76,        47.78,        47.70,        47.74,                   326220.30,6830,10,        47.78,        47.66,NIFTY 5 YR BENCHMARK G - SEC INDEX TRI
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        43.58,        48.98,        48.98,        43.58,        43.73,                161766492.93,3703880,8713,        51.50,        33.55,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4492.80,      4511.85,      4511.85,      4470.00,      4488.20,                  3005331.30,670,241,      5374.80,      3363.05,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       297.56,       306.48,       306.48,       288.33,       303.39,                  1174901.91,3881,125,       308.00,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4470.70,      4481.00,      4488.45,      4467.00,      4472.60,                 36098866.05,8074,489,      5338.50,      3431.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1431.77,      1440.00,      1453.39,      1440.00,      1452.04,                  1130026.85,782,85,      1650.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      5003.00,      5025.00,      5030.99,      4955.00,      5003.79,                  1198410.70,239,56,      5100.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       329.81,       334.00,       337.00,       325.01,       334.00,                   257243.07,775,60,       391.60,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       132.05,       135.60,       137.98,       132.25,       134.00,                   108841.71,810,58,       144.87,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       183.21,       186.05,       186.05,       183.60,       184.36,                   270405.22,1465,94,       216.90,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       136.80,       138.00,       138.00,       135.82,       137.29,                   350805.30,2563,48,       147.25,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        30.98,        31.49,        31.59,        30.45,        31.26,                 11572155.78,368973,6466,        35.05,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       297.00,       297.99,       302.99,       297.99,       301.05,                  1512250.34,5020,204,       360.00,       164.32,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       162.30,       163.40,       166.00,       163.40,       164.96,                   631815.20,3822,122,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        44.52,        44.52,        44.80,        44.46,        44.61,                 21449708.71,479999,878,        54.10,        32.10,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.00,       999.00,       999.77,                 38923324.77,38927,111,      1050.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       112.10,       114.70,       114.70,       108.16,       112.07,                 15523372.95,138344,313,       122.00,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        77.59,        78.00,        78.90,        77.70,        77.81,                   421964.70,5408,50,        79.70,        45.10,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        77.07,        78.23,        78.40,        77.00,        77.16,                  1372295.55,17719,155,        84.40,        37.60,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       147.69,       147.50,       149.77,       147.50,       148.93,                   295439.47,1983,135,       160.40,        90.10,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       144.04,       162.80,       162.80,       141.25,       145.59,                 11048177.72,76069,3346,       168.00,        81.31,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        70.68,        71.00,        71.90,        69.50,        70.83,                   221885.62,3133,318,        72.70,        32.89,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        32.26,        31.72,        32.79,        31.72,        32.55,                   376492.57,11539,157,        33.70,        17.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       501.25,       504.60,       507.00,       499.72,       505.79,                   466943.51,928,87,       509.00,       290.00,SENSEX
N,EQ,ICICITECH,ICICIPRAMC - ICICITECH,       246.56,       254.70,       254.70,       239.45,       241.70,                 76559815.10,316256,324,       256.98,       158.95,NIFTY IT INDEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      4616.25,      4601.00,      4646.70,      4600.00,      4600.55,                   650140.15,141,43,      5899.00,      3512.15,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,       140.81,       140.70,       145.00,       140.01,       144.13,                    30556.66,213,40,       158.40,        86.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       370.21,       373.95,       384.00,       369.01,       375.19,                   524132.25,1389,54,       389.00,       210.00,NIFTY INFRA
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      4540.00,      4540.00,      4590.00,      4510.00,      4580.25,                   290069.00,64,16,      5599.90,      3411.00,GOLD
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       334.46,       343.00,       343.00,       321.00,       334.94,                 26826097.05,79936,6183,       370.00,       180.40,NIFTY NEXT 50
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       300.98,       302.50,       307.75,       302.50,       306.91,                  6968410.39,22804,468,       365.70,       167.00,NIFTY BANK
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,       437.60,       437.60,       439.90,       437.15,       438.20,                 15427072.00,35206,809,       508.10,       285.00,GOLD
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,       141.83,       142.00,       143.66,       142.00,       143.42,                  3870420.55,27106,525,       149.30,        81.01,NIFTY 50
N,EQ,KOTAKNV20,KOTAKMAMC - KTKNV20ETF,        71.42,        71.60,        73.44,        71.35,        72.10,                   268171.87,3728,85,        73.44,        38.50,NIFTY50 VALUE 20
N,EQ,KOTAKPSUBK,KOTAK PSU BANK,       164.82,       168.00,       172.00,       166.00,       168.56,                  2804903.86,16649,321,       255.00,       105.50,NIFTY PSU BANK INDEX
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        22.07,        22.73,        22.73,        21.80,        21.82,                  2734946.38,124945,142,        25.50,        17.60,GSEC 10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       137.88,       137.01,       139.00,       136.31,       137.05,                   234696.15,1711,78,       152.00,        86.10,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       485.66,       488.40,       495.00,       480.20,       480.20,                    51776.02,107,36,       588.00,       305.02,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       135.38,       133.30,       137.99,       133.30,       136.38,                    20733.83,153,27,       164.95,        77.00,LIC MF EXCHANGE TRADED FUND- NIFTY 100
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,       999.99,      1000.93,      1000.93,       999.13,      1000.00,                921303422.78,921299,3867,      1009.90,       991.11,CALL MONEY SHORT TERM G-SECS & MONEY MARKET INSTR
N,EQ,LIQUIDETF,DSP LIQUID ETF,      1000.00,      1000.04,      1000.04,       999.99,      1000.00,                 19414064.63,19414,87,      1096.00,       810.90,NIFTY1D RATE INDEX
N,EQ,M100,MOST SHARES M100 ETF,        21.60,        22.00,        23.00,        21.43,        21.62,                  1857537.80,86013,514,        23.00,        11.80,NIFTY MIDCAP 100
N,EQ,M50,MOST SHARES M50 ETF,       132.57,       134.35,       134.49,       132.88,       133.87,                   455546.21,3422,40,       135.50,        75.30,NIFTY 50
N,EQ,MAESGETF,MIRAEAMC - MAESGETF,        23.47,        23.52,        24.63,        22.77,        23.67,                  1808417.43,76417,802,        27.50,        22.00,NIFTY100 ESG SECTOR LEADERS TRI INDEX
N,EQ,MAN50ETF,MIRAEAMC - MAN50ETF,       138.41,       139.26,       140.50,       139.26,       140.47,                  2941588.20,20943,250,       150.27,        75.10,NIFTY 50
N,EQ,MANXT50,MIRAEAMC - MANXT50,       317.11,       319.35,       321.43,       317.53,       319.06,                   879224.63,2756,79,       339.00,       151.00,NIFTY NEXT 50
N,EQ,N100,MOST SHARES N100 ETF,       927.04,       941.00,       941.00,       917.11,       920.15,                 19748987.23,21456,1048,      1010.50,       499.20,NASDAQ100
N,EQ,NCPSESDL24,NIPPON INDIA- NIMFXX,       102.88,       102.95,       102.98,       102.95,       102.95,                  1441608.88,14003,6,       123.26,        99.91,NIFTY CPSE BOND PLUS SDL SEP 2024 50:50 INDEX
N,EQ,NETF,TATAAML - NETF,       163.59,       165.28,       165.28,       165.28,       165.28,                    25122.56,152,29,       168.87,        77.81,NIFTY 50
N,EQ,NETFCONSUM,NIP IND ETF CONSUMPTION,        62.37,        62.60,        65.00,        62.37,        62.75,                   779895.06,12390,65,        68.00,        42.50,NIFTY CONSUMPTION INDEX
N,EQ,NETFDIVOPP,NIP IND ETF DIV OPP,        34.71,        31.60,        35.70,        31.11,        33.89,                    35121.66,1035,67,        39.65,        17.12,NIFTY DIV OPPS 50
N,EQ,NETFIT,NIP IND ETF IT,        24.36,        24.89,        24.89,        24.05,        24.23,                 15605752.89,644095,2137,        26.20,        14.00,NIFTYIT
N,EQ,NETFLTGILT,NIP IND ETF LONGTERM GILT,        22.35,        22.35,        22.37,        22.31,        22.36,                   923367.74,41361,82,        25.50,        17.00,NIFTY GS 8 13YR
N,EQ,NETFMID150,NIP IND ETF MIDCAP 150,        77.42,        77.60,        78.50,        76.56,        78.00,                 12755153.21,163924,594,        79.96,        40.05,NIFTY MIDCAP 150
N,EQ,NETFNIF100,NIP IND ETF NIFTY 100,       142.00,       144.10,       150.00,       139.00,       139.44,                   136287.65,944,107,       159.90,        70.90,NIFTY 100
N,EQ,NETFNV20,NIP IND ETF ETF NV20,        73.05,        70.86,        74.00,        70.86,        72.73,                   754892.35,10396,68,        85.00,        41.00,NIFTY50 VALUE 20
N,EQ,NIFTYBEES,NIP IND ETF NIFTY BEES,       145.12,       154.70,       154.70,       144.45,       146.52,                268575860.78,1837640,15633,       159.00,        81.00,NIFTY 50
N,EQ,NIFTYEES,EDELWEISS ETF - NIFTY 50,     17910.00,     17500.00,     17500.00,     17500.00,     17500.00,                    17500.00,1,1,     17910.00,      7500.90,NIFTY 50
N,EQ,NPBET,TATAAML - NPBET,       155.10,       159.75,       162.47,       155.20,       161.49,                    19133.65,120,14,       182.00,        88.11,NIFTY PRIVATE BANK INDEX
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        18.53,        18.67,        19.33,        18.51,        18.80,                  5467923.66,291001,801,        28.44,         9.88,NIFTY PSU BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,      2166.95,      2184.80,      2185.05,      2165.00,      2171.90,                  1591768.90,733,73,      2522.40,      1666.00,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY ETF,      1401.00,      1406.00,      1423.00,      1406.00,      1420.85,                    12768.00,9,4,      1423.00,       771.31,NIFTY 50
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       243.54,       248.00,       249.80,       240.20,       242.89,                   602210.87,2478,117,       250.00,       201.20,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       164.85,       166.50,       168.49,       164.11,       168.26,                   264925.66,1586,33,       174.90,       130.60,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       123.06,       124.90,       124.97,       122.51,       123.60,                   708958.32,5738,109,       127.68,        73.20,NIFTY 200 QUALITY 30 INDEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       203.00,       201.60,       204.45,       201.25,       203.40,                   268692.63,1324,22,       241.70,       154.27,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,      4475.20,      4494.50,      4494.50,      4461.65,      4473.80,                 18267101.60,4086,514,      5135.75,      3425.00,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       141.00,       141.25,       143.00,       141.00,       142.90,                 52010171.73,365974,1105,       150.90,        79.00,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       297.92,       297.92,       303.98,       297.92,       302.86,                  9667306.46,31970,640,       335.00,       169.00,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       331.30,       329.00,       333.99,       329.00,       332.19,                  3527806.59,10627,217,       343.10,       190.00,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       350.00,       357.00,       357.00,       347.93,       349.15,                   331992.94,948,33,       357.00,       157.95,SHARIAH INDEX
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,       298.53,       299.25,       305.52,       299.25,       304.95,                    61419.92,202,31,       320.96,       202.50,NIFTY BANK INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,       330.00,       333.00,       335.00,       328.38,       331.37,                   250176.72,754,47,       375.00,       202.10,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,      1454.23,      1462.08,      1467.30,      1455.40,      1462.56,                  1634164.60,1119,52,      1480.00,       840.00,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       493.43,       495.00,       500.00,       495.00,       500.00,                   249801.97,502,50,       505.00,       301.00,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,       372.50,       367.20,       375.00,       364.50,       364.50,                    31471.70,86,14,       395.00,       190.67,BSE SENSEX NEXT 50
