MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GEOJITFSL,GEOJIT FINANCIAL SER L,        54.80,        55.75,        58.00,        54.00,        56.90,                 75969251.80,1342525,N, ,6787,        62.40,        14.90
N,EQ,GEPIL,GE POWER INDIA LIMITED,       282.30,       283.90,       291.00,       280.65,       284.35,                 21102251.15,73682,N, ,2745,       827.00,       177.10
N,EQ,GESHIP,THE GE SHPG.LTD,       257.65,       260.00,       262.45,       254.55,       257.25,                 33786147.15,130905,N, ,4639,       369.40,       162.00
N,EQ,GET&D,GE T&D INDIA LIMITED,       113.85,       113.85,       118.40,       113.85,       116.30,                 12937033.90,111619,N, ,2583,       179.50,        58.00
N,EQ,GFLLIMITED,GFL LIMITED,        86.75,        87.90,        90.05,        86.00,        86.85,                  4637329.75,52975,N, ,507,       163.50,        67.75
G,EQ,GFSTEELS,GRAND FOUNDRY LTD,         2.20,         2.20,         2.20,         2.10,         2.10,                     3559.90,1619,N, ,5,         3.50,         1.25
N,EQ,GHCL,GHCL LIMITED,       194.65,       195.05,       201.20,       193.65,       199.60,                 41723608.70,210712,N, ,4308,       216.90,        69.05
N,EQ,GICHSGFIN,GIC HOUSING FINANCE LTD,       118.35,       119.05,       120.60,       116.10,       116.70,                117265204.60,994561,N, ,9087,       179.80,        51.10
N,EQ,GILLANDERS,GILLANDERS ARBUTHNOT LTD,        43.10,        45.10,        45.25,        45.10,        45.25,                   149102.85,3298,N, ,20,        51.10,        15.95
N,EQ,GILLETTE,GILLETTE INDIA LTD,      5829.90,      5898.00,      5919.95,      5795.00,      5823.90,                 34042685.50,5825,N, ,1648,      6691.00,      4450.00
N,EQ,GINNIFILA,GINNI FILAMENTS LTD,        20.20,        20.90,        21.20,        20.60,        21.20,                  2060314.95,97589,N, ,284,        23.25,         5.05
N,EQ,GIPCL,GUJ IND POW CO. LTD,        86.20,        87.55,        87.55,        84.70,        85.20,                 18847500.45,218797,N, ,2172,        94.70,        44.25
N,EQ,GISOLUTION,GI ENGINEERING SOLNS LTD,         2.50,         2.60,         2.60,         2.50,         2.60,                     8675.20,3337,N, ,15,         2.95,         1.60
N,EQ,GLAND,GLAND PHARMA LIMITED,      2353.05,      2360.00,      2429.00,      2339.00,      2408.35,               1372995531.80,575779,N, ,37157,      2440.00,      1700.00
N,EQ,GLAXO,GLAXOSMITHKLINE PHARMA LT,      1527.70,      1540.00,      1549.85,      1526.00,      1532.50,                 34396350.60,22344,N, ,2562,      1807.50,       962.65
N,EQ,GLENMARK,GLENMARK PHARMACEUTICALS,       495.20,       497.50,       504.90,       489.60,       496.20,                964673274.60,1940686,N, ,29362,       573.05,       161.65
N,EQ,GLFL,GUJARAT LEASE FINANCING L,         2.35,         2.35,         2.40,         2.25,         2.30,                    30264.40,13178,N, ,37,         3.00,         1.40
N,EQ,GLOBAL,GLOBAL EDUCATION LIMITED,        66.60,        64.05,        69.80,        64.00,        66.75,                 11061095.80,165509,N, ,86,        77.50,        50.15
N,EQ,GLOBALVECT,GLOBAL VEC HELICORP LTD,        60.55,        58.25,        61.75,        57.20,        57.90,                  1861700.25,31474,N, ,557,        69.60,        28.95
N,EQ,GLOBE,GLOBE TEXTILES (I) LTD.,        58.80,        61.35,        64.65,        55.00,        63.30,                  6826641.25,109881,N, ,295,        64.65,        50.80
N,EQ,GLOBOFFS,GLOBAL OFFSHORE SERV LTD,         9.95,        10.40,        10.40,         9.50,        10.20,                   383639.35,38403,N, ,192,        10.85,         2.65
