MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       296.20,       295.08,       296.99,       291.41,       295.38,                   107466.56,365,26,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       296.09,       298.97,       298.97,       290.00,       296.30,                     9219.63,31,8,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       298.29,       297.60,       297.97,       291.28,       293.42,                  1570629.11,5355,46,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.19,        42.50,        42.90,        42.30,        42.70,                  3377798.92,79382,2570,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       134.65,       135.44,       138.50,       133.80,       134.85,                   356230.03,2638,119,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       299.43,       299.79,       299.90,       293.26,       296.68,                217199726.74,732057,8445,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4440.00,      4499.80,      4500.00,      4425.05,      4469.00,                  1962465.00,438,96,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       144.40,       145.00,       145.00,       143.90,       143.90,                     4044.10,28,8,       147.99,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        19.03,        19.03,        19.40,        18.95,        19.39,                286609441.72,14905525,2744,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3240.49,      2916.01,      3286.32,      2916.01,      3286.32,                    78716.78,25,15,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1109.12,      1109.75,      1109.75,      1108.02,      1108.79,                  2669481.33,2407,41,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1022.49,      1021.15,      1023.99,      1020.50,      1023.60,                 68524654.55,67004,260,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1131.69,      1200.00,      1200.00,      1125.00,      1129.46,                 35411031.79,31403,247,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1016.91,      1017.40,      1017.40,      1014.00,      1016.48,                 29342351.82,28895,131,      1029.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       386.00,       375.00,       388.00,       365.00,       387.00,                    22653.05,60,18,       388.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        42.29,        44.80,        44.80,        42.39,        42.83,                207996899.47,4879683,8546,      3414.90,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4377.60,      4381.55,      4451.90,      4381.50,      4420.70,                  9355065.55,2123,404,      5374.80,      3333.60,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       297.02,       296.43,       297.39,       291.00,       294.90,                  1302904.44,4418,206,       300.00,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4310.90,      4348.50,      4390.90,      4335.00,      4374.30,                 40879833.30,9387,1084,      5338.50,      3385.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1379.27,      1379.29,      1380.85,      1370.00,      1374.74,                  2762279.98,2010,87,      1485.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      4725.00,      4724.99,      4725.00,      4685.07,      4724.34,                   453339.92,96,41,      5000.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       346.50,       356.95,       356.95,       345.00,       352.68,                   193986.84,550,31,      3349.00,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       128.63,       144.87,       144.87,       125.10,       130.37,                    93289.37,719,79,       144.87,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       176.87,       182.00,       182.00,       176.26,       177.47,                   709039.75,4003,93,       182.00,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       130.00,       130.00,       130.81,       129.15,       130.81,                    60074.75,464,16,       140.00,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        29.53,        29.45,        30.05,        29.33,        29.90,                121260816.97,4066161,7943,        35.25,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       296.19,       302.00,       302.00,       290.70,       293.56,                 74148841.53,253333,356,       374.20,       164.32,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       163.22,       164.00,       164.50,       160.00,       161.57,                   909185.86,5629,181,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        43.18,        42.50,        45.90,        42.50,        43.71,                 40657674.78,926665,957,        54.10,        32.10,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.00,       999.99,       999.99,                 11084996.10,11085,26,      1050.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       106.29,       107.70,       109.70,       105.86,       107.34,                  3696448.48,34448,275,       121.00,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        75.95,        75.70,        76.30,        75.70,        76.00,                   968089.53,12758,54,        77.25,        45.10,NIFTY MIDCAP 150
