SECURITY,NEW,PREVIOUS,NEW_STATUS
ADANI GAS LIMITED,377.95,371.8,H
BALLARPUR INDUSTRIES LTD,1.25,1.2,H
EDEL ETF NIFTY 100 QUAL30,388,386,H
ICICI LOMBARD GIC LIMITED,1530,1499.9,H
SEC RED NCD 10.20 % SR.IV,1105,1104,H
KIRLOSKAR FERROUS IND LTD,135,130,H
MOLD TEK PACKAGING LTD,79.4,66.2,H
ONE POINT ONE SOL LTD,15.4,15.15,H
ORCHID PHARMA LIMITED,46.8,44.6,H
RATNAMANI MET & TUB LTD.,1797.1,1775,H
SBIAMC - SBIETFPB,167.99,167.97,H
GOI LOAN 7.72% 2055,119,116.91,H
MINDSPACE BUSINESS P REIT,332.17,317.34,H
ORIENTAL AROMATICS LTD,617.95,615.6,H
SIGMA SOLVE LIMITED,46.5,45.45,H
SUBEX LTD,32.75,27.3,H
TOTAL TRANSPORT SYS LTD,69.3,66.15,H
VIDEOCON INDUSTRIES LIMIT,6.6,6.3,H
ADANI TRANSMISSION LTD,433.9,407.7,H
ALKYL AMINES CHEM. LTD,4172.1,4089.9,H
APL APOLLO TUBES LTD,3525,3498,H
EDELAMC - EMOFSR1RGG,11,10.65,H
ICE MAKE REFRIGERAT LTD,91,89.95,H
UNSEC RED NCD SR. VI,1025,952,H
S&S POWER SWITCHGEARS LTD,12.1,11.55,H
SHAKTI PUMPS (I) LTD,254.8,249.95,H
EDELAMC - EBBETF0430,1200,1190,H
JSW ISPAT SPE PRO LTD,22.05,20.05,H
NIP IND ETF JUNIOR BEES,370,369.25,H
AIA ENGINEERING LIMITED,2184.25,2048.9,H
GREENPANEL INDUSTRIES LTD,93.8,90.5,H
7.36% TAX FREE NCD,1238.5,1230,H
PRAKASH PIPES LIMITED,90.9,86,H
SOFTTECH ENGINEER LIMITED,88,87.8,H
TATA STEEL LONG PRO LTD,578.65,531.95,H
ULTRATECH CEMENT LIMITED,4997.25,4979,H
AARTI SURFACTANTS LIMITED,1154.85,1099.9,H
BIOFIL CHEM & PHARMA LTD.,241.1,229.65,H
CROMPT GREA CON ELEC LTD,333,329,H
SATIN RS.2.50 PPD UP,38.5,37.5,H
TANTIA CONST LTD,1.35,1.3,H
ADF FOODS LIMITED,487.3,479.75,H
AFFLE (INDIA) LIMITED,3768.85,3589.4,H
BOROSIL LIMITED,174.6,166.3,H
DIGISPICE TECHNOLOGIES LT,11.25,10.75,H
HEMISPHERE PROP IND LTD,73.9,71.6,H
IBULLSAMC - IBMFNIFTY,144.87,141,H
ICICIPRAMC - ICICI500,182,181.6,H
TATAAML - NETF,159.15,146.7,H
RAJ OIL MILLS LIMITED,18.5,17.65,H
SYNCOM HEALTHCARE LTD,1.75,1.7,H
APOLLO PIPES LIMITED,701.75,701,H
ASSO ALCOHOLS & BREW LTD,302.8,298,H
ICICI PRUD NIFTY 100 ETF,154.8,150,H
JK CEMENT LIMITED,2106.95,2085,H
MOST SHARES M50 ETF,129.5,129,H
REFEX INDUSTRIES LIMITED,105.45,101.9,H
ROUTE MOBILE LIMITED,1162.25,1151.7,H
TATASTEEL RS.2.50 PPD UP,154.75,143.95,H
JUMP NETWORKS LIMITED,19.15,19.5,L
UNS RED NCD 8.79% SR.VIII,820,837,L
TECHNOFAB ENG LTD,8.65,8.75,L
ZICOM ELECT SEC SYS LTD,1.95,2.05,L
ATLAS CYCLE (HARYANA) LTD,37,37.1,L
BIL ENERGY SYSTEMS LTD,0.7,0.75,L
DEEP ENE RESOURCES LTD,41.6,42.2,L
SANGINITA CHEMICALS LTD,25.8,27.15,L
ATAL REALTECH LIMITED,41,44.6,L
SOMA TEXTILEI NDUSTRIES L,2.5,2.6,L
GI ENGINEERING SOLNS LTD,1.75,1.8,L
VISHAL FABRICS LIMITED,108,110.2,L

