SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BHARTI INFRATEL LTD.,       216.00,       224.80,129639408,              28127299640.00
RELIANCE INDUSTRIES LTD,      1954.90,      1958.15,10240168,              19945469659.25
BAJAJ FINANCE LIMITED,      4861.10,      4823.90,3654970,              17640290496.35
TATA MOTORS LIMITED,       179.75,       183.60,88107889,              16242924919.00
TATA STEEL LIMITED,       585.80,       604.35,24997085,              14993731974.05
STATE BANK OF INDIA,       248.05,       246.95,56723083,              14052937533.80
KOTAK MAHINDRA BANK LTD,      1875.85,      1814.20,7458011,              13678926933.90
INDUSIND BANK LIMITED,       895.50,       897.30,14965085,              13387182765.55
HDFC BANK LTD,      1433.30,      1406.95,8946075,              12616027252.00
AXIS BANK LIMITED,       603.65,       608.10,19070722,              11573354316.15
GAIL (INDIA) LTD,       110.70,       116.70,97500422,              11348152320.05
ICICI BANK LTD.,       485.10,       480.45,21244707,              10170623642.95
BHARTI AIRTEL LIMITED,       479.45,       484.90,20562558,               9899563137.50
MARUTI SUZUKI INDIA LTD.,      7101.70,      7206.50,1106734,               7947928581.40
BAJAJ FINSERV LTD.,      8746.55,      8802.20,884969,               7758481201.00
SUN PHARMACEUTICAL IND L,       539.35,       544.65,14234038,               7714595896.30
INFOSYS LIMITED,      1137.85,      1140.90,6741637,               7620426542.50
ASIAN PAINTS LIMITED,      2230.05,      2315.85,3305952,               7568697101.45
ADANI ENTERPRISES LIMITED,       421.90,       453.75,16821595,               7492597540.35
HDFC LTD,      2306.95,      2276.35,3191550,               7265961073.45
TATA CONSULTANCY SERV LT,      2726.80,      2749.55,2509032,               6843351199.50
UPL LIMITED,       433.05,       441.95,14187495,               6276693415.75
DR. REDDY'S LABORATORIES,      4830.40,      4850.25,1223452,               5930422510.15
HCL TECHNOLOGIES LTD,       834.10,       843.15,7062229,               5927067927.40
JINDAL STEEL & POWER LTD,       253.15,       259.10,22314238,               5812189509.75

