MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13109.05,     13121.40,     13128.50,     12983.55,     13113.75,670697479217.31,3424380893,Y, ,18637167,     13145.85,      7511.10
Y, , ,NIFTY50 EQL Wgt,     13692.80,     13719.80,     13838.40,     13672.65,     13822.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     14615.45,     14656.80,     14761.60,     14593.80,     14747.95,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10223.20,     10240.40,     10283.05,     10175.35,     10275.95,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19159.55,     19198.55,     19233.40,     19039.85,     19205.30,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7521.30,      7553.90,      7572.90,      7497.25,      7566.80,0,0,Y, ,0,      7572.90,      4088.05
Y, , ,NIFTY SMLCAP 50,      3290.40,      3307.20,      3307.60,      3270.40,      3295.50,0,0,Y, ,0,      3307.60,      1545.45
Y, , ,NIFTY SMLCAP 250,      5669.50,      5698.60,      5702.95,      5647.75,      5686.30,0,0,Y, ,0,      5702.95,      2867.40
Y, , ,NIFTY MIDSML 400,      6857.90,      6889.30,      6898.10,      6836.50,      6892.95,0,0,Y, ,0,      6898.10,      3650.20
Y, , ,NIFTY200 QUALTY30,     11259.00,     11276.35,     11376.45,     11237.90,     11367.75,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     13869.95,     13887.85,     13896.25,     13664.85,     13801.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     12899.95,     12928.00,     12996.45,     12865.00,     12984.80,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     12739.20,     12767.30,     12826.10,     12692.90,     12813.15,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2266.50,      2267.80,      2269.55,      2244.15,      2266.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     22170.85,     22149.35,     22371.55,     21961.45,     22319.00,0,0,Y, ,0,     22619.00,     10991.25
Y, , ,Nifty Next 50,     30734.70,     30849.55,     31017.90,     30671.25,     30992.55,0,0,Y, ,0,     31017.90,     18384.05
Y, , ,Nifty Bank,     29817.85,     29876.70,     29886.25,     29149.90,     29463.15,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     19903.90,     19986.85,     20026.65,     19796.20,     20001.70,0,0,Y, ,0,     20026.65,     10749.95
