GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,GAIL (INDIA) LTD,       116.70,       110.70,5.42
G,OIL AND NATURAL GAS CORP.,        84.85,        81.55,4.05
G,ASIAN PAINTS LIMITED,      2315.85,      2230.05,3.85
G,TITAN COMPANY LIMITED,      1389.00,      1341.10,3.57
G,ADANI PORT & SEZ LTD,       438.20,       423.80,3.4
G,TATA STEEL LIMITED,       604.35,       585.80,3.17
G,INDIAN OIL CORP LTD,        88.40,        85.85,2.97
G,BAJAJ AUTO LIMITED,      3338.15,      3243.65,2.91
G,JSW STEEL LIMITED,       368.40,       358.15,2.86
G,SBI LIFE INSURANCE CO LTD,       875.55,       851.35,2.84
G,COAL INDIA LTD,       129.75,       126.40,2.65
G,MAHINDRA & MAHINDRA LTD,       753.60,       734.55,2.59
G,TATA MOTORS LIMITED,       183.60,       179.75,2.14
G,UPL LIMITED,       441.95,       433.05,2.06
G,WIPRO LTD,       358.90,       352.85,1.71
G,MARUTI SUZUKI INDIA LTD.,      7206.50,      7101.70,1.48
G,BHARAT PETROLEUM CORP  LT,       384.50,       379.30,1.37
G,BHARTI AIRTEL LIMITED,       484.90,       479.45,1.14
G,NTPC LTD,        94.80,        93.75,1.12
G,HINDALCO  INDUSTRIES  LTD,       231.85,       229.30,1.11
G,HCL TECHNOLOGIES LTD,       843.15,       834.10,1.09
G,SUN PHARMACEUTICAL IND L,       544.65,       539.35,.98
G,POWER GRID CORP. LTD.,       194.15,       192.35,.94
G,GRASIM INDUSTRIES LTD,       915.50,       907.80,.85
G,TATA CONSULTANCY SERV LT,      2749.55,      2726.80,.83
G,ITC LTD,       195.95,       194.40,.8
G,AXIS BANK LIMITED,       608.10,       603.65,.74
G,BAJAJ FINSERV LTD.,      8802.20,      8746.55,.64
G,DIVI'S LABORATORIES LTD,      3639.55,      3620.75,.52
G,HERO MOTOCORP LIMITED,      3126.20,      3110.25,.51
 , , , , 
L,KOTAK MAHINDRA BANK LTD,      1814.20,      1875.85,-3.29
L,HDFC BANK LTD,      1406.95,      1433.30,-1.84
L,HDFC LTD,      2276.35,      2306.95,-1.33
L,SHREE CEMENT LIMITED,     24635.70,     24908.40,-1.09
L,ICICI BANK LTD.,       480.45,       485.10,-0.96
L,BRITANNIA INDUSTRIES LTD,      3597.00,      3629.35,-0.89
L,NESTLE INDIA LIMITED,     17266.45,     17418.15,-0.87
L,HDFC LIFE INS CO LTD,       636.50,       641.90,-0.84
L,BAJAJ FINANCE LIMITED,      4823.90,      4861.10,-0.77
L,STATE BANK OF INDIA,       246.95,       248.05,-0.44
L,LARSEN & TOUBRO LTD.,      1113.75,      1115.95,-0.2
L,EICHER MOTORS LTD,      2532.50,      2532.70,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,ADANI TRANSMISSION LTD,       419.20,       378.95,10.62
G,BHARTI INFRATEL LTD.,       224.80,       216.00,4.07
G,NMDC LTD.,       103.20,        99.25,3.98
G,ICICI LOMBARD GIC LIMITED,      1521.55,      1471.15,3.43
G,PIDILITE INDUSTRIES LTD,      1599.75,      1551.05,3.14
G,DLF LIMITED,       200.85,       195.10,2.95
G,ICICI PRU LIFE INS CO LTD,       467.60,       457.35,2.24
G,INTERGLOBE AVIATION LTD,      1593.10,      1559.75,2.14
G,HINDUSTAN ZINC LIMITED,       232.25,       227.60,2.04
G,TATA CONSUMER PRODUCT LTD,       539.25,       529.30,1.88
G,GODREJ CONSUMER PRODUCTS,       717.90,       705.60,1.74
G,HDFC AMC LIMITED,      2555.05,      2511.45,1.74
G,HAVELLS INDIA LIMITED,       836.35,       823.40,1.57
G,BERGER PAINTS (I) LTD,       665.20,       655.50,1.48
G,HINDUSTAN PETROLEUM CORP,       214.70,       211.60,1.47
G,TORRENT PHARMACEUTICALS L,      2690.05,      2653.60,1.37
G,MARICO LIMITED,       378.65,       373.80,1.3
G,AVENUE SUPERMARTS LIMITED,      2456.00,      2426.70,1.21
G,L&T INFOTECH LIMITED,      3393.75,      3353.45,1.2
G,COLGATE PALMOLIVE LTD.,      1519.90,      1504.00,1.06
G,ADANI GREEN ENERGY LTD,      1146.00,      1134.70,1
G,POWER FIN CORP LTD.,       109.70,       108.85,0.78
G,BANK OF BARODA,        54.10,        53.75,0.65
G,PIRAMAL ENTERPRISES LTD,      1422.25,      1414.45,0.55
G,LUPIN LIMITED,       914.30,       909.80,0.49
G,UNITED SPIRITS LIMITED,       569.40,       566.95,0.43
G,BOSCH LIMITED,     13300.90,     13255.95,0.34
G,BAJAJ HOLDINGS & INVS LTD,      3104.55,      3094.30,0.33
