SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      2007.00,      2005.80,12434745,              25062187257.95
UPL LIMITED,       438.45,       435.00,50283569,              22342344963.90
HDFC BANK LTD,      1385.85,      1382.80,10678192,              14766730477.75
OIL AND NATURAL GAS CORP.,        91.65,        96.80,146821189,              14443238660.40
INDIAN RAIL TOUR CORP LTD,      1452.75,      1421.00,9772926,              13937814644.90
STATE BANK OF INDIA,       269.55,       272.45,50255223,              13720952520.25
ITC LTD,       212.70,       216.30,60322445,              13028507132.30
ICICI BANK LTD.,       506.95,       515.45,25335765,              12956197490.90
BAJAJ FINANCE LIMITED,      4794.80,      4843.85,2670019,              12954714234.65
INFOSYS LIMITED,      1167.75,      1163.20,10574009,              12306503429.55
AXIS BANK LIMITED,       627.05,       613.25,17950692,              11124862045.10
HDFC LTD,      2289.10,      2295.90,4577813,              10508944240.65
KOTAK MAHINDRA BANK LTD,      1903.30,      1920.40,5466598,              10469543705.95
TATA STEEL LIMITED,       610.10,       621.70,16395698,              10177073836.20
YES BANK LIMITED,        20.45,        19.45,444459632,               8822742425.70
BANDHAN BANK LIMITED,       414.90,       423.20,19865737,               8426977152.85
LARSEN & TOUBRO LTD.,      1190.35,      1194.30,6689415,               8028082288.80
INDUSIND BANK LIMITED,       915.85,       923.75,8417189,               7789082191.30
TATA MOTORS LIMITED,       177.60,       178.85,43065542,               7721727569.50
BHARTI AIRTEL LIMITED,       505.15,       504.40,13760737,               6938611857.75
GAIL (INDIA) LTD,       120.05,       125.85,52797382,               6646778367.75
NTPC LTD,        97.15,       102.40,63463638,               6404821615.80
HINDUSTAN UNILEVER LTD.,      2350.45,      2374.75,2611218,               6178712668.20
BHARAT PETROLEUM CORP  LT,       399.30,       397.40,14585114,               5866933074.45
MARUTI SUZUKI INDIA LTD.,      7736.00,      7733.55,706875,               5470294540.80

