SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.6,1.55,H
KIRLOSKAR FERROUS IND LTD,149.75,145.15,H
MAJESCO LIMITED,995,986.2,H
INFO EDGE (I) LTD,4739.9,4624,H
ORCHID PHARMA LIMITED,65.65,62.55,H
TANLA PLATFORMS LIMITED,880,46.45,H
V2 RETAIL LIMITED,104.4,102,H
VERTOZ ADVERTISING LTD,214.3,211.9,H
SE RE NCD SR.IICIII&IV,1175.55,1150,H
BOND 0% 2021 TR-1 SR-II,10910.01,10902,H
AAKASH EXPLORATION SER L,58.5,56,H
IMAGICAAWORLD ENT LTD,7.3,6.75,H
KSK ENERGY VENTURES LTD,0.5,0.45,H
SEC RED NCD SR. VI,1201.25,1200.01,H
SEC RED NCD SR. VII,1200,1196,H
TREJHARA SOLUTIONS LTD,51.5,49.05,H
BKM INDUSTRIES LIMITED,1,0.95,H
DIXON TECHNO (INDIA) LTD,12780,12397,H
HOUSING DEV & INFRA LTD,7.95,7.6,H
ICICI PRUDENTIAL NV20 ETF,70.7,70,H
NIP IND ETF DIV OPP,34.48,34,H
URJA GLOBAL LIMITED,5.1,4.95,H
THE ANUP ENGINEERING LTD,819.7,715,H
CHAMBAL FERTILIZERS LTD,239,234.85,H
GREENPANEL INDUSTRIES LTD,119.2,113.6,H
SEC RED NCD SR. III,1133.35,1132.25,H
INDIA GRID TRUST,113.75,113,H
SBIAMC - SBIETFQLTY,122,120.95,H
SHRADHA INFRAPROJECTS LTD,64.5,62.7,H
YAARII DIG INTEGR SER LTD,83.2,79.25,H
BIOFIL CHEM & PHARMA LTD.,339.15,323,H
HINDUJA GLOBAL SOLS. LTD.,1148,1037.8,H
JET AIRWAYS (INDIA) LTD.,86.75,82.65,H
MAHESHWARI LOGISTICS LTD.,95.9,95.7,H
MOHIT INDUSTRIES LTD,6.3,6,H
NOVARTIS INDIA LIMITED,708.95,706.75,H
SILLY MONKS ENTERTAIN LTD,25.45,25.2,H
SEC RED NCD 9.40% SR. III,1088,1084,H
SUUMAYA LIFESTYLE LIMITED,112.4,112.2,H
GODREJ PROPERTIES LTD,1310,1295,H
TATAAML - NETF,166.02,164.36,H
EDELWEISS ETF - NIFTY 50,17601.66,17350,H
RAJ OIL MILLS LIMITED,25.85,24.65,H
SYNCOM HEALTHCARE LTD,2.2,2.1,H
WELSPUN INV & COMM LTD,512.65,466.05,H
ADANI PORT & SEZ LTD,475,474.9,H
ARCHIDPLY DECOR LIMITED,27.15,26.15,H
BIGBLOC CONSTRUCTION LTD,139.05,132.45,H
DIGISPICE TECHNOLOGIES LT,12.7,12.35,H
GLOBAL EDUCATION LIMITED,60.9,58,H
HINDUSTAN FOODS LIMITED,1214.95,1198,H
JASH ENGINEERING LIMITED,233.5,231.9,H
MACPOWER CNC MACHINES LTD,105.4,100.6,H
NESTLE INDIA LIMITED,18460,18404,H
JET KNITWEARS LTD.,19.05,19.65,L
JUMP NETWORKS LIMITED,16.8,17.1,L
PRICOL RE,13.3,13.5,L
INFIBEAM AVENUES LIMITED,82.15,83.6,L
SURANI STEEL TUBES LTD.,18.05,18.1,L
VISHAL FABRICS LIMITED,93.9,95.8,L

