SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.5,1.45,H
BERGER PAINTS (I) LTD,681,679.8,H
EDEL ETF NIFTY 100 QUAL30,402,400,H
GOODYEAR INDIA LIMITED,1208,1178.8,H
SERENCD9.00%SRVCIII&IV,999,988.95,H
MIRAEAMC - MAN50ETF,140,137.19,H
INFO EDGE (I) LTD,4437,4426.5,H
ORCHID PHARMA LIMITED,59.6,56.8,H
RELIANCE POWER LTD.,3.8,3.65,H
VERTOZ ADVERTISING LTD,211.9,192,H
EQUITAS SMALL FIN BNK LTD,39.55,39,H
GLOBE TEXTILES (I) LTD.,63.85,63.05,H
GVK POW. & INFRA LTD.,3.2,3.15,H
BOND 0% 2021 TR-1 SR-II,10902,10895,H
UNSEC RED NCD 10.00% SR.V,1050,1020,H
PRINCE PIPES FITTINGS LTD,283.5,283,H
VIDEOCON INDUSTRIES LIMIT,8.25,7.9,H
ICE MAKE REFRIGERAT LTD,113.25,107.9,H
KSK ENERGY VENTURES LTD,0.45,0.4,H
NITIN SPINNERS LIMITED,70.4,67.7,H
UTI ASSET MNGMT CO LTD,574.2,561.05,H
HOUSING DEV & INFRA LTD,7.25,6.95,H
BOND 0% 2021 TR-3 SR-II,10782,10705,H
JSW ISPAT SPE PRO LTD,29.4,28,H
SRF LTD,5447.95,5427.95,H
UTIAMC - UTIBANKETF,308.2,304.44,H
ADITYBIRLA SL NIF ETF-GR,148.8,148.12,H
AVENUE SUPERMARTS LIMITED,2755,2689,H
GREENPANEL INDUSTRIES LTD,108.2,103.05,H
BOND 9.01%PA TF TR-I S 3B,7630,7605,H
SBIAMC - SBIETFQLTY,120.95,119.99,H
TATA TELESERV(MAHARASTRA),8.65,8.25,H
ULTRATECH CEMENT LIMITED,5259,5237,H
YAARII DIG INTEGR SER LTD,75.5,71.95,H
BIOFIL CHEM & PHARMA LTD.,307.65,293,H
CROMPT GREA CON ELEC LTD,341.8,336.8,H
HDFCAMC - HBANKETF,306.15,302.52,H
MARINE ELECTRICAL (I) LTD,221.05,207,H
MOHIT INDUSTRIES LTD,5.75,5.5,H
NIRAJ CEMENT STRUC LTD,51.45,51.05,H
SILLY MONKS ENTERTAIN LTD,24,23.15,H
STERLITE TECHNOLOGIES LTD,174.4,169,H
GODREJ PROPERTIES LTD,1277.85,1262,H
ICICIPRAMC - ICICI500,183.9,182.05,H
TATAAML - NETF,163.9,162.72,H
EDELWEISS ETF - NIFTY 50,17350,17150,H
PROLIFE INDUSTRIES LTD,55,52.6,H
RAJ OIL MILLS LIMITED,23.5,22.4,H
SYNCOM HEALTHCARE LTD,2,1.95,H
TANLA PLATFORMS LIMITED,861.85,850,H
WELSPUN INV & COMM LTD,423.7,353.1,H
APOLLO HOSPITALS ENTER. L,2520,2508.85,H
BANKA BIOLOO LIMITED,45.95,44.65,H
BIGBLOC CONSTRUCTION LTD,126.15,120.15,H
GLOBAL EDUCATION LIMITED,55.25,52.65,H
HINDUSTAN FOODS LIMITED,1109,990,H
SRNCD SR V,1800,1780,H
MUSIC BROADCAST LIMITED,24.65,23.95,H
UTIAMC - UTISENSETF,501,492.5,H
XELPMOC DESIGN & TECH LTD,315,294,H
SHRENIK LIMITED,5.05,5.15,L
JUMP NETWORKS LIMITED,17.4,17.75,L
AYM SYNTEX LIMITED,42.5,42.75,L
CKP LEISURE LIMITED,2.75,2.8,L
VISHAL FABRICS LIMITED,97.75,99.7,L

