MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1053.85,      1053.85,      1053.85,      1049.81,      1052.00,                    21022.14,20, ,3,      1078.65,       721.00
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       991.40,       991.00,       991.00,       991.00,       991.00,                      991.00,1, ,1,      1134.00,       701.05
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1060.00,      1060.00,      1062.00,      1059.00,      1062.00,                  1477947.00,1395, ,9,      1194.00,      1025.00
N,N1,M&MFIN,8.72% UNSECURED NCD,      1370.80,      1097.00,      1155.00,      1097.00,      1139.51,                   209000.40,184, ,20,      1370.80,       850.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1061.00,      1061.00,      1061.85,      1060.01,      1061.00,                  3911330.49,3688, ,53,      1178.00,      1045.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1061.00,      1061.00,      1065.99,      1061.00,      1065.99,                  7427049.90,7000, ,5,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.98,        31.92,        32.20,        31.92,        32.03,                  1720313.02,53736, ,69,        36.00,        29.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1282.37,      1284.40,      1284.40,      1284.40,      1284.40,                     2568.80,2, ,2,      1369.90,      1051.60
N,N2,IIFCL,8.66% TAX FREE NCD,      1213.00,      1181.10,      1181.10,      1181.10,      1181.10,                   118110.00,100, ,1,      1390.00,      1078.50
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1081.50,      1052.00,      1081.80,      1052.00,      1081.80,                    53345.00,50, ,2,      1178.65,       970.00
N,N2,IREDA,IREDA 8.55NCDTR I SR II A,      1489.00,      1488.00,      1488.00,      1488.00,      1488.00,                    14880.00,10, ,1,      1859.95,      1200.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1130.00,      1127.00,      1130.00,      1127.00,      1127.07,                   281907.50,250, ,6,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1297.49,      1290.01,      1294.99,      1290.00,      1291.26,                 19586758.35,15174, ,114,      1297.99,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1251.40,      1246.40,      1246.40,      1240.00,      1243.92,                  4652259.56,3745, ,72,      1300.00,      1029.85
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1189.29,      1184.00,      1184.00,      1166.00,      1180.00,                   123834.00,106, ,10,      1254.90,      1043.10
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1083.00,      1083.05,      1094.00,      1083.05,      1090.00,                    74898.50,69, ,4,      1169.00,       850.40
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       930.00,       975.00,       980.00,       975.00,       980.00,                    36125.00,37, ,2,       999.00,       705.00
N,N3,EHFLNCD,SEC RED NCD 9.75% SR. III,      1020.00,      1034.99,      1035.00,      1034.99,      1035.00,                    37259.90,36, ,2,      1048.99,       810.10
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1110.05,      1111.50,      1111.50,      1110.15,      1110.15,                    94368.85,85, ,4,      1277.50,      1010.00
N,N3,IRFC,7.18 NCD 19FEB23 TR1 SR1,      1062.00,      1061.60,      1065.00,      1050.00,      1059.37,                    95451.00,90, ,4,      1150.00,      1040.00
N,N4,DHANILOANS,DHANI LOANS & SERV LTD,      1001.00,       999.80,       999.80,       999.80,       999.80,                    59988.00,60, ,3,      1022.00,       701.00
N,N4,ERFLNCDI,SEC RED NCD 9.00% SR. IV,       990.00,       950.00,       990.00,       950.00,       985.04,                   391115.00,401, ,9,      1049.00,       685.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1494.00,      1482.00,      1482.00,      1482.00,      1482.00,                    22230.00,15, ,3,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1030.50,      1028.50,      1031.00,      1028.35,      1031.00,                  1010068.15,981, ,13,      1057.80,       980.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1212.00,      1184.20,      1199.00,      1171.40,      1199.00,                  1777601.80,1500, ,9,      1349.90,      1095.00
N,N4,NHBTF2014,BOND 8.51%PA TF TR-I S1B,      5820.00,      5850.00,      6016.00,      5845.00,      6016.00,                  1719040.00,290, ,16,      6490.00,      5105.00
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1152.00,      1154.00,      1174.00,      1153.00,      1160.00,                   489098.00,420, ,4,      1512.00,      1090.00
N,N4,PFC,8.20% TAX FREE NCD,      1056.01,      1057.06,      1061.00,      1057.06,      1060.50,                   601891.30,568, ,10,      1148.99,      1015.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       190.00,       170.10,       170.10,       170.10,       170.10,                      340.20,2, ,2,       517.20,       112.00
