MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13392.95,     13458.10,     13548.90,     13449.60,     13529.10,626252551225.11,4179517136,Y, ,19030314,     13548.90,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14169.45,     14241.30,     14277.90,     14214.15,     14241.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15155.20,     15243.10,     15261.20,     15176.55,     15202.30,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10464.60,     10520.60,     10547.65,     10501.30,     10524.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19214.10,     19279.50,     19321.05,     19176.40,     19230.50,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7701.55,      7757.15,      7775.90,      7731.45,      7745.05,0,0,Y, ,0,      7779.35,      4088.05
Y, , ,NIFTY SMLCAP 50,      3349.75,      3365.10,      3389.30,      3363.90,      3378.85,0,0,Y, ,0,      3389.30,      1545.45
Y, , ,NIFTY SMLCAP 250,      5828.60,      5861.60,      5886.40,      5855.30,      5872.95,0,0,Y, ,0,      5897.35,      2867.40
Y, , ,NIFTY MIDSML 400,      7030.85,      7078.25,      7095.80,      7065.20,      7074.75,0,0,Y, ,0,      7103.65,      3650.20
Y, , ,NIFTY200 QUALTY30,     11646.55,     11707.25,     11735.70,     11689.70,     11723.20,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14045.65,     14091.15,     14182.00,     14076.25,     14162.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13228.90,     13295.05,     13318.15,     13260.75,     13277.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13088.40,     13147.10,     13187.60,     13119.20,     13161.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2302.35,      2313.30,      2328.00,      2311.80,      2324.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     22617.35,     22799.95,     22895.50,     22720.50,     22803.45,0,0,Y, ,0,     22895.50,     10991.25
Y, , ,Nifty Next 50,     31714.40,     31893.20,     31960.05,     31662.85,     31722.20,0,0,Y, ,0,     31960.05,     18384.05
Y, , ,Nifty Bank,     30261.90,     30335.05,     30807.25,     30326.70,     30709.40,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     20439.20,     20582.40,     20640.90,     20516.90,     20563.45,0,0,Y, ,0,     20649.25,     10749.95
Y, , ,Nifty 500,     11088.65,     11147.55,     11201.75,     11143.45,     11181.20,0,0,Y, ,0,     11201.75,      6151.60
Y, , ,Nifty 100,     13529.85,     13597.05,     13673.10,     13589.85,     13649.60,0,0,Y, ,0,     13673.10,      7624.85
Y, , ,Nifty Midcap 50,      5758.30,      5798.20,      5816.30,      5770.20,      5783.80,0,0,Y, ,0,      5816.30,      2855.35
Y, , ,Nifty Realty,       284.80,       286.30,       290.60,       286.05,       289.00,0,0,Y, ,0,       336.35,       160.85
Y, , ,Nifty Infra,      3607.20,      3628.75,      3634.35,      3616.20,      3623.45,0,0,Y, ,0,      3636.15,      2072.60
Y, , ,Nifty Energy,     16967.55,     17088.25,     17166.90,     17026.80,     17087.75,0,0,Y, ,0,     17176.90,      9750.00
Y, , ,Nifty FMCG,     32849.85,     33019.65,     33182.35,     32954.40,     33125.50,0,0,Y, ,0,     33182.35,     22699.05
Y, , ,Nifty MNC,     15304.80,     15357.85,     15381.45,     15319.95,     15349.35,0,0,Y, ,0,     15417.10,      9648.20
Y, , ,Nifty Pharma,     12407.30,     12463.55,     12568.95,     12408.05,     12443.90,0,0,Y, ,0,     12636.90,      6242.85
Y, , ,Nifty PSE,      2759.50,      2781.80,      2812.60,      2768.90,      2787.65,0,0,Y, ,0,      3286.05,      1952.20
Y, , ,Nifty PSU Bank,      1857.55,      1897.40,      1902.40,      1831.55,      1838.55,0,0,Y, ,0,      2596.10,      1078.45
Y, , ,Nifty Serv Sector,     18605.95,     18693.10,     18838.95,     18686.50,     18802.15,0,0,Y, ,0,     18838.95,     10401.30
Y, , ,India VIX,18.6175,18.6175,19.6300,16.2200,18.9200,0,0,Y, ,0,86.6350,9.6175
Y, , ,Nifty Auto,      9297.85,      9331.70,      9345.05,      9283.15,      9293.30,0,0,Y, ,0,      9456.65,      4452.20
Y, , ,Nifty Metal,      3122.35,      3146.90,      3152.95,      3101.85,      3105.90,0,0,Y, ,0,      3202.35,      1480.70
Y, , ,Nifty Media,      1612.50,      1627.30,      1679.85,      1627.05,      1673.35,0,0,Y, ,0,      1918.50,       972.95
