MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       293.13,       293.00,       303.07,       293.00,       301.37,                    28117.50,94,37,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       303.01,       295.00,       308.90,       287.06,       304.41,                    52400.80,177,46,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       299.97,       306.00,       306.00,       298.85,       302.01,                   270311.27,897,64,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.96,        43.19,        43.19,        42.60,        42.78,                  3266863.89,76225,1722,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       136.28,       136.98,       137.99,       136.25,       137.02,                   538263.08,3924,268,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       301.92,       304.10,       304.54,       299.20,       303.13,                239404393.83,791376,6950,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4535.30,      4565.00,      4565.00,      4501.00,      4520.70,                   754812.10,167,72,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       145.88,       145.50,       147.10,       145.50,       146.13,                   102670.13,701,22,       147.99,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        19.99,        19.99,        20.33,        19.83,        20.21,                355730933.46,17586443,4097,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3269.30,      3267.22,      3267.22,      3023.17,      3267.22,                     9557.61,3,3,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1107.79,      1107.79,      1109.00,      1107.79,      1108.77,                 13951775.62,12591,82,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1021.63,      1020.00,      1024.50,      1020.00,      1023.91,                 16212823.37,15844,115,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1131.55,      1130.00,      1132.99,      1130.00,      1132.55,                 20168575.36,17820,80,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1016.64,      1017.95,      1017.98,      1017.00,      1017.97,                  6552561.85,6438,55,      1029.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       390.00,       370.00,       397.00,       364.00,       397.00,                    85594.27,222,94,       397.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        43.06,        43.08,        43.14,        42.64,        42.76,                203118830.16,4737949,13036,      3370.10,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4459.15,      4478.00,      4478.00,      4440.00,      4446.25,                  6013512.20,1351,344,      5374.80,      3333.60,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       299.42,       299.80,       302.00,       298.00,       298.57,                  2977012.31,9913,177,       302.00,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4416.60,      4423.00,      4423.50,      4371.05,      4380.55,                 77600624.60,17665,1281,      5338.50,      3385.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1397.03,      1650.00,      1650.00,      1392.15,      1404.26,                  1388249.67,991,131,      1650.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      4732.90,      4787.97,      4838.00,      4750.00,      4837.92,                   589741.12,123,52,      5000.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       357.50,       366.99,       366.99,       342.30,       348.41,                   406428.65,1169,149,      3284.00,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       132.95,       136.93,       138.00,       131.10,       136.20,                    56048.80,416,80,       144.87,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       178.73,       178.73,       181.20,       176.94,       181.11,                   168587.87,933,151,       182.00,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       131.80,       147.25,       147.25,       130.00,       133.40,                   207740.60,1564,32,       147.25,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        30.49,        30.02,        31.20,        30.02,        31.10,                 23170506.14,750678,7496,        35.05,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       299.00,       309.70,       309.70,       290.00,       299.85,                  3291929.11,10988,387,       374.20,       164.32,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       165.01,       165.90,       167.26,       162.60,       164.72,                  2828841.16,17184,171,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        43.91,        44.39,        44.39,        43.61,        43.76,                 25664934.58,585604,2591,        54.10,        32.10,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.03,       999.98,       999.99,                 20392944.56,20393,48,      1050.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       107.92,       109.70,       113.70,       107.00,       109.14,                  5230139.98,48016,394,       121.00,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        76.94,        78.77,        78.77,        76.94,        77.80,                   215398.13,2780,46,        78.77,        45.10,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        75.37,        76.30,        76.98,        74.50,        76.05,                  1407120.83,18436,251,        81.90,        37.60,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       143.68,       144.00,       145.45,       141.10,       144.91,                   260524.52,1797,213,       154.80,        90.10,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       140.36,       158.00,       158.00,       140.00,       141.47,                 17576949.65,124601,7840,       158.20,        81.31,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        67.08,        68.47,        68.47,        65.00,        67.78,                   393240.44,5830,459,        70.00,        32.89,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        31.99,        32.97,        32.97,        29.27,        32.18,                  2467420.42,77064,336,        32.97,        17.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       483.24,       483.23,       490.50,       483.23,       490.28,                   497983.29,1021,124,       491.10,       290.00,SENSEX
N,EQ,ICICITECH,ICICIPRAMC - ICICITECH,       224.98,       227.00,       228.00,       224.30,       225.27,                  2929572.66,13029,70,       256.98,       158.95,NIFTY IT INDEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      4526.20,      4588.00,      4588.00,      4500.10,      4506.00,                   760611.05,168,62,      5899.00,      3470.00,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,       144.75,       145.00,       145.00,       142.60,       145.00,                    11584.24,80,13,       158.40,        86.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       368.33,       370.00,       375.00,       365.50,       373.39,                   988917.57,2672,80,       378.00,       210.00,NIFTY INFRA
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      4450.00,      4520.00,      4520.00,      4440.00,      4499.30,                    67556.30,15,7,      5599.90,      3404.30,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      1419.45,      1462.03,      1500.00,      1430.42,      1430.42,                   103591.78,71,20,      1670.00,       778.00,NIFTY
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       327.54,       336.00,       336.00,       325.56,       330.59,                 35125539.04,106272,3762,       370.00,       180.40,NIFTY NEXT 50
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       303.44,       303.29,       306.34,       301.80,       304.78,                 33027672.40,108442,1001,       365.70,       167.00,NIFTY BANK
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,       432.65,       436.00,       436.00,       428.00,       430.05,                 59883545.85,139446,1737,       508.10,       285.00,GOLD
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,       137.98,       138.44,       139.20,       137.93,       139.04,                  6574052.98,47383,582,       149.30,        81.01,NIFTY 50
N,EQ,KOTAKNV20,KOTAKMAMC - KTKNV20ETF,        68.46,        69.40,        70.00,        68.00,        69.94,                   540164.86,7795,203,        72.45,        38.50,NIFTY50 VALUE 20
N,EQ,KOTAKPSUBK,KOTAK PSU BANK,       167.22,       169.98,       171.99,       166.49,       170.73,                  6731045.71,39563,617,       256.23,       105.50,NIFTY PSU BANK INDEX
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        21.87,        22.00,        23.34,        21.76,        22.49,                  5035354.42,220114,169,        25.50,        17.60,GSEC 10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       132.87,       136.85,       138.00,       132.60,       133.48,                    56218.37,416,67,       152.00,        86.10,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       465.10,       465.25,       474.05,       465.15,       470.00,                   483716.67,1030,17,       588.00,       305.02,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       131.78,       135.73,       139.00,       131.10,       135.48,                    20290.24,151,37,       164.95,        77.00,LIC MF EXCHANGE TRADED FUND- NIFTY 100
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,      1000.00,      1002.65,      1002.65,       999.50,      1000.00,                844269087.33,844269,4727,      1009.90,       991.11,CALL MONEY SHORT TERM G-SECS & MONEY MARKET INSTR
N,EQ,LIQUIDETF,DSP LIQUID ETF,      1000.00,      1000.00,      1000.01,      1000.00,      1000.00,                  7400004.20,7400,44,      1096.00,       810.90,NIFTY1D RATE INDEX
N,EQ,M100,MOST SHARES M100 ETF,        21.11,        22.25,        22.25,        21.01,        21.54,                  2326268.86,109139,599,        22.25,        11.80,NIFTY MIDCAP 100
N,EQ,M50,MOST SHARES M50 ETF,       129.89,       133.78,       134.30,       129.50,       131.76,                   165781.94,1263,75,       134.30,        75.30,NIFTY 50
N,EQ,MAESGETF,MIRAEAMC - MAESGETF,        22.61,        23.28,        23.97,        22.68,        22.81,                   143895.98,6321,55,        23.97,        22.00,NIFTY100 ESG SECTOR LEADERS TRI INDEX
N,EQ,MAN50ETF,MIRAEAMC - MAN50ETF,       135.00,       135.28,       136.46,       135.18,       136.45,                 27677903.63,203612,397,       136.46,        75.10,NIFTY 50
N,EQ,MANXT50,MIRAEAMC - MANXT50,       312.16,       312.69,       316.10,       312.69,       315.86,                   698173.55,2218,148,       339.00,       151.00,NIFTY NEXT 50
N,EQ,N100,MOST SHARES N100 ETF,       911.63,       920.00,       920.00,       900.84,       910.93,                 21925951.31,24129,1524,      1010.50,       499.20,NASDAQ100
N,EQ,NCPSESDL24,NIPPON INDIA- NIMFXX,       102.82,       103.05,       103.05,       102.88,       102.99,                 12211560.79,118565,28,       123.26,       102.22,NIFTY CPSE BOND PLUS SDL SEP 2024 50:50 INDEX
N,EQ,NETF,TATAAML - NETF,       156.31,       160.99,       161.19,       160.99,       161.19,                    32398.59,201,20,       161.19,        77.81,NIFTY 50
N,EQ,NETFCONSUM,NIP IND ETF CONSUMPTION,        59.86,        60.70,        60.70,        58.50,        60.38,                   178610.12,2955,81,        68.00,        42.50,NIFTY CONSUMPTION INDEX
N,EQ,NETFDIVOPP,NIP IND ETF DIV OPP,        31.95,        31.70,        32.99,        31.16,        32.56,                    32891.81,1013,42,        34.00,        17.12,NIFTY DIV OPPS 50
N,EQ,NETFIT,NIP IND ETF IT,        22.44,        22.88,        22.88,        22.38,        22.65,                  5204966.23,230351,1107,        26.20,        14.00,NIFTYIT
N,EQ,NETFLTGILT,NIP IND ETF LONGTERM GILT,        22.32,        22.37,        22.43,        22.33,        22.39,                  3665105.06,163601,1254,        25.50,        17.00,NIFTY GS 8 13YR
N,EQ,NETFMID150,NIP IND ETF MIDCAP 150,        76.97,        76.97,        77.91,        76.97,        77.64,                  7588688.83,97704,2121,        79.30,        40.05,NIFTY MIDCAP 150
N,EQ,NETFNIF100,NIP IND ETF NIFTY 100,       134.94,       131.00,       144.00,       131.00,       136.14,                  1327041.41,9949,162,       144.00,        70.90,NIFTY 100
N,EQ,NETFNV20,NIP IND ETF ETF NV20,        69.15,        70.00,        70.00,        69.15,        69.99,                   605855.64,8702,80,       583.49,        41.00,NIFTY50 VALUE 20
