MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1059.54,      1056.50,      1061.00,      1056.50,      1060.00,                   665854.50,629, ,13,      1194.00,      1025.00
N,N1,JNPT,BOND 6.82% PA TAX FREE S1,      1080.00,      1000.10,      1294.99,      1000.10,      1294.99,                   202395.49,202, ,4,      1529.99,      1000.10
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1060.92,      1060.90,      1060.90,      1060.00,      1060.00,                   599132.25,565, ,17,      1178.00,      1045.00
N,N1,NTPC,8.41%S-R-NCD SERIES 1A,      1143.01,      1200.00,      1200.00,      1160.00,      1160.00,                     3520.00,3, ,2,      1340.00,       921.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1059.70,      1063.00,      1063.00,      1060.00,      1061.00,                   928902.50,875, ,8,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.03,        32.03,        32.03,        31.87,        32.00,                    82173.56,2570, ,57,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1165.10,      1167.10,      1170.00,      1167.10,      1170.00,                    17521.00,15, ,2,      1180.65,       732.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1280.01,      1280.00,      1280.00,      1275.01,      1278.23,                  2315674.52,1812, ,51,      1369.90,      1051.60
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1079.90,      1052.00,      1081.25,      1052.00,      1081.25,                   181326.25,170, ,2,      1178.65,       970.00
N,N2,IREDA,IREDA 8.55NCDTR I SR II A,      1485.00,      1489.00,      1489.00,      1489.00,      1489.00,                     2978.00,2, ,1,      1859.95,      1200.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1204.01,      1223.99,      1229.70,      1223.97,      1229.70,                   996650.61,814, ,13,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1114.15,      1136.00,      1136.00,      1112.03,      1134.45,                   455108.18,403, ,12,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1293.30,      1294.90,      1295.00,      1290.00,      1293.00,                   786133.00,608, ,27,      1297.99,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1241.00,      1240.00,      1257.70,      1240.00,      1254.99,                  1810604.30,1451, ,35,      1300.00,      1029.85
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1172.64,      1170.10,      1199.39,      1160.00,      1189.29,                   378276.81,324, ,11,      1254.90,      1043.10
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1081.00,      1081.70,      1089.00,      1081.00,      1085.00,                   220963.00,204, ,12,      1169.00,       850.40
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1111.11,      1115.00,      1115.00,      1115.00,      1115.00,                   111500.00,100, ,1,      1277.50,      1010.00
N,N4,DHANILOANS,DHANI LOANS & SERV LTD,       999.10,       989.60,      1003.60,       989.20,      1001.35,                    89274.60,90, ,4,      1022.00,       701.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1490.00,      1490.00,      1494.00,      1490.00,      1494.00,                   300290.00,201, ,6,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1027.00,      1030.00,      1036.00,      1029.00,      1035.00,                   757458.00,734, ,16,      1057.80,       980.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1219.95,      1212.00,      1212.00,      1212.00,      1212.00,                    96960.00,80, ,1,      1349.90,      1095.00
N,N4,NHPC,8.43% SEC RED BOND S1B,      1175.00,      1139.10,      1199.99,      1139.10,      1199.99,                   268475.50,225, ,3,      1320.00,      1032.40
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1167.50,      1174.00,      1180.00,      1174.00,      1178.00,                   498746.00,424, ,5,      1512.00,      1090.00
N,N4,PFC,8.20% TAX FREE NCD,      1057.00,      1056.01,      1056.01,      1056.01,      1056.01,                    10560.10,10, ,1,      1148.99,      1015.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       180.01,       185.00,       185.00,       180.00,       180.00,                    18015.00,100, ,3,       517.20,       112.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1061.00,      1079.00,      1079.00,      1079.00,      1079.00,                    10790.00,10, ,1,      1225.00,       925.30
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1101.50,      1103.00,      1110.00,      1103.00,      1107.03,                    32100.00,29, ,5,      1110.00,       720.08
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       865.00,       865.00,       865.00,       865.00,       865.00,                     4325.00,5, ,1,       900.75,       650.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1263.99,      1263.99,      1263.99,      1241.00,      1241.00,                   255280.00,202, ,7,      1269.00,       905.15
N,N5,IDFCFIRSTB,BOND 8% 2021 TR-2 SR-I,      5295.00,      5315.00,      5315.00,      5300.01,      5300.01,                    42490.02,8, ,2,      5400.00,      4601.00
N,N5,IIFL,SEC RED NCD 10.20 % SR.IV,      1100.00,      1102.50,      1102.50,      1099.00,      1099.00,                  7883612.50,7172, ,109,      1105.00,       831.00
N,N5,IREDA,IREDA 8.80NCDTR I SR II B,      1345.99,      1346.00,      1346.00,      1346.00,      1346.00,                    67300.00,50, ,2,      1449.00,      1132.01
N,N5,L&TINFRA,BOND 8.20% PA S1,      1057.06,      1057.01,      1070.00,      1057.01,      1060.00,                   571461.60,540, ,11,      1149.00,       942.00
N,N5,PFC,8.30% TAX FREE NCD,      1225.00,      1226.00,      1226.00,      1215.00,      1221.99,                  2449886.25,2005, ,23,      1286.85,      1142.00
N,N5,SBIN,BOND 9.95% PA RET. S4,     10945.91,     10950.00,     10974.99,     10930.00,     10956.59,                  8936614.41,816, ,111,     12299.00,     10200.00
N,N6,DHANILOANS,DHANI LOANS & SERV LTD,       990.00,       985.00,       985.00,       985.00,       985.00,                   143810.00,146, ,6,      1029.00,       760.00
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       309.22,       310.00,       328.20,       309.20,       328.20,                    89862.95,281, ,9,       380.00,       166.60
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,       900.00,       899.00,       909.65,       899.00,       909.65,                   513071.50,570, ,37,       948.00,       562.00
N,N6,IBUCCREDIT,SERENCD8.90%SRIIICIII&IV,       959.20,       959.20,       970.00,       959.20,       970.00,                   179116.00,186, ,9,      1010.90,       701.05
