SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.4,1.35,H
BERGER PAINTS (I) LTD,679.8,673.65,H
EDEL ETF NIFTY 100 QUAL30,397,390,H
GOODYEAR INDIA LIMITED,1040,887.95,H
MAJESCO LIMITED,986.2,983.6,H
MIRAEAMC - MAN50ETF,136.46,135.04,H
MOLD TEK PACKAGING LTD,137.15,114.3,H
ORCHID PHARMA LIMITED,54.1,51.55,H
RELIANCE POWER LTD.,3.5,3.45,H
SBIAMC - SBIETFPB,168.9,167.99,H
SBI-ETF NIFTY 50,149.8,143.9,H
SEC RED NCD 9.40% SR. V,1072,1065,H
TATA INVESTMENT CORP LTD,1075,1024.9,H
GLAND PHARMA LIMITED,2438.85,2239,H
GLOBE TEXTILES (I) LTD.,63.05,60.45,H
GVK POW. & INFRA LTD.,3.05,3,H
HDFCAMC - HDFCNIFETF,1650,1485,H
MENON BEARINGS LIMITED,50.95,50,H
NIP IND ETF NIFTY 100,144,136.99,H
PRIVI SPECIALITY CHE LTD,567.95,566,H
SBIAMC - SETF10GILT,241.7,240.42,H
VIDEOCON INDUSTRIES LIMIT,7.55,7.2,H
APL APOLLO TUBES LTD,3919,3790.4,H
DEV INFO TECHNOLOGY LTD,136.45,135.5,H
DHANI RS.1.10 PPD UP,151.35,147.8,H
ICE MAKE REFRIGERAT LTD,103.05,98.15,H
ICICIPRAMC - ICICIALPLV,147.25,140,H
NITIN SPINNERS LIMITED,64.5,62,H
SHAKTI PUMPS (I) LTD,291.45,277.6,H
SUMITOMO CHEM INDIA LTD,321.9,317,H
TECHNOFAB ENG LTD,10.6,10.15,H
ANGEL BROKING LIMITED,408,379,H
HATSUN AGRO PRODUCT LTD.,1055,1029.8,H
HOUSING DEV & INFRA LTD,6.65,6.5,H
THE HI-TECH GEARS LIMITED,165,161.75,H
JSW ISPAT SPE PRO LTD,26.7,25.45,H
SRF LTD,5424,5367.2,H
UTIAMC - UTIBANKETF,304.11,303.05,H
GREENPANEL INDUSTRIES LTD,98.15,93.8,H
8.91% TAX FREE NCD,1494,1493,H
SEC RED NCD SR. III,1132.25,1131.1,H
BOND 9.01%PA TF TR-I S 3B,7605,7599,H
RUDRABHISHEK ENTERP LTD,109.35,106.4,H
SAKAR HEALTHCARE LIMITED,107.3,96,H
SBIAMC - SBIETFQLTY,119.7,118.9,H
SHARE IND. SECURITIES LTD,131,121.95,H
BIOFIL CHEM & PHARMA LTD.,279.05,265.8,H
FORCE MOTORS LIMITED,1513.8,1504,H
HDFCAMC - HBANKETF,302,300,H
BOND 0% 2021 TR-2 SR-II,10626,10620,H
MAX HEALTHCARE INS LTD,151.9,141,H
MOHIT INDUSTRIES LTD,5.25,5.05,H
SATIN RS.2.50 PPD UP,39.75,38.65,H
STERLITE TECHNOLOGIES LTD,169,166.9,H
SUUMAYA LIFESTYLE LIMITED,112.2,110,H
TANTIA CONST LTD,1.5,1.45,H
ADF FOODS LIMITED,631.5,526.25,H
BOROSIL LIMITED,181,175.8,H
ICICIPRAMC - ICICIM150,78.77,77.9,H
TATAAML - NETF,161.19,160,H
EDELWEISS ETF - NIFTY 50,17095,17068,H
RAJ OIL MILLS LIMITED,21.35,20.35,H
ROSSARI BIOTECH LIMITED,877,867,H
SEC RED NCD SR.IX,1123.05,1105,H
SYNCOM HEALTHCARE LTD,1.9,1.85,H
ADANI PORT & SEZ LTD,474.9,458.3,H
BIGBLOC CONSTRUCTION LTD,114.45,109,H
DHANI SERVICES LIMITED,303.5,299,H
DHANI LOANS & SERV LTD,1000,995,H
MOST SHARES M50 ETF,134.3,131,H
MIRAEAMC - MAESGETF,23.97,23,H
MUSIC BROADCAST LIMITED,23.95,23.9,H
REFEX INDUSTRIES LIMITED,121.4,116.85,H
ROUTE MOBILE LIMITED,1275,1216.8,H
SOLARA ACTIVE PHA SCI LTD,1323.7,1295,H
SHRENIK LIMITED,5.15,5.25,L
SHYAM TELECOM LIMITED,4.7,4.75,L
JUMP NETWORKS LIMITED,18.1,18.45,L
2.5%GOLDBONDS2028SR-VIII,4374.51,4700,L
UNSERENCD8.85%SRIVCIII&IV,952.4,987,L
TIRUPATI FORGE LIMITED,24.1,24.15,L
UNIPLY INDUSTRIES LIMITED,3.3,3.35,L
MOLDTEK RS.1.25 PPD UP,130,150,L
VASCON ENGINEERS LTD,13,13.55,L
AYM SYNTEX LIMITED,42.75,43,L
BOMBAY SUPER HYBRID SEEDS,75.2,78.05,L
SANGINITA CHEMICALS LTD,24.45,25.7,L
SILLY MONKS ENTERTAIN LTD,19.9,19.95,L
VISHAL FABRICS LIMITED,101.7,103.75,L

