SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
STATE BANK OF INDIA,       263.50,       269.60,76053084,              20331616535.05
ICICI BANK LTD.,       502.05,       510.45,37778332,              19267280817.70
HDFC BANK LTD,      1385.60,      1372.25,12158159,              16633921187.35
RELIANCE INDUSTRIES LTD,      1946.75,      1958.20,8418767,              16463893633.45
TATA CHEMICALS LTD,       490.90,       509.05,31264646,              16084800397.40
AXIS BANK LIMITED,       614.50,       619.25,24658169,              15242722330.70
BAJAJ FINANCE LIMITED,      4875.35,      4829.45,3115124,              15141843499.90
INDUSIND BANK LIMITED,       913.65,       935.15,15479752,              14485087851.10
INDIAN RAIL TOUR CORP LTD,      1570.60,      1691.55,7808616,              13188244170.70
SUN PHARMACEUTICAL IND L,       569.05,       582.30,21232768,              12363786659.00
DR. REDDY'S LABORATORIES,      4908.55,      5029.10,2405904,              12070078324.20
HDFC LTD,      2245.90,      2303.80,4910736,              11205315397.90
BHARTI AIRTEL LIMITED,       493.75,       508.95,22125752,              11134639555.00
KOTAK MAHINDRA BANK LTD,      1846.25,      1820.55,6032173,              10996315497.95
TATA STEEL LIMITED,       622.70,       614.55,15588321,               9647130590.15
HINDUSTAN UNILEVER LTD.,      2184.20,      2256.15,4147649,               9267992123.15
INFOSYS LIMITED,      1134.65,      1143.50,7792141,               8899186636.30
MARUTI SUZUKI INDIA LTD.,      7803.15,      7743.40,1037296,               8055989987.25
ADANI PORT & SEZ LTD,       453.70,       471.50,16140936,               7573053470.15
SHRIRAM TRANSPORT FIN CO.,      1003.10,      1063.40,6926188,               7380537812.85
ITC LTD,       198.20,       203.15,35693450,               7195968368.10
RBL BANK LIMITED,       237.20,       242.95,29622343,               7050727521.60
BAJAJ FINSERV LTD.,      9052.45,      9051.95,707405,               6393287076.85
LARSEN & TOUBRO LTD.,      1149.50,      1169.70,5484461,               6372878166.90
INDIABULLS HSG FIN LTD,       194.05,       203.10,30482313,               6175460270.10

