GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ULTRATECH CEMENT LIMITED,      5217.75,      5056.50,3.19
G,TATA CONSULTANCY SERV LT,      2797.30,      2737.70,2.18
G,RELIANCE INDUSTRIES LTD,      1993.75,      1958.20,1.82
G,WIPRO LTD,       363.70,       358.45,1.46
G,HCL TECHNOLOGIES LTD,       863.80,       855.30,.99
G,INFOSYS LIMITED,      1153.35,      1143.50,.86
G,STATE BANK OF INDIA,       271.90,       269.60,.85
G,KOTAK MAHINDRA BANK LTD,      1833.80,      1820.55,.73
G,BRITANNIA INDUSTRIES LTD,      3645.40,      3628.95,.45
G,HDFC LIFE INS CO LTD,       651.50,       649.55,.3
G,HDFC BANK LTD,      1376.30,      1372.25,.3
G,HDFC LTD,      2309.75,      2303.80,.26
G,MARUTI SUZUKI INDIA LTD.,      7762.70,      7743.40,.25
G,SBI LIFE INSURANCE CO LTD,       853.80,       851.75,.24
G,AXIS BANK LIMITED,       620.65,       619.25,.23
G,MAHINDRA & MAHINDRA LTD,       754.00,       752.30,.23
G,BAJAJ AUTO LIMITED,      3326.20,      3319.55,.2
G,TITAN COMPANY LIMITED,      1427.85,      1425.30,.18
G,HINDUSTAN UNILEVER LTD.,      2260.00,      2256.15,.17
G,LARSEN & TOUBRO LTD.,      1171.40,      1169.70,.15
 , , , , 
L,SUN PHARMACEUTICAL IND L,       568.70,       582.30,-2.34
L,HINDALCO  INDUSTRIES  LTD,       245.70,       251.25,-2.21
L,INDUSIND BANK LIMITED,       916.70,       935.15,-1.97
L,COAL INDIA LTD,       134.25,       136.80,-1.86
L,ADANI PORT & SEZ LTD,       463.35,       471.50,-1.73
L,NTPC LTD,        98.20,        99.75,-1.55
L,ASIAN PAINTS LIMITED,      2438.90,      2472.55,-1.36
L,TECH MAHINDRA LIMITED,       932.30,       944.30,-1.27
L,GRASIM INDUSTRIES LTD,       925.80,       937.70,-1.27
L,BHARAT PETROLEUM CORP  LT,       390.45,       395.00,-1.15
L,BHARTI AIRTEL LIMITED,       503.60,       508.95,-1.05
L,POWER GRID CORP. LTD.,       191.60,       193.50,-0.98
L,TATA MOTORS LIMITED,       181.80,       183.55,-0.95
L,CIPLA LTD,       766.00,       773.15,-0.92
L,BAJAJ FINSERV LTD.,      8969.40,      9051.95,-0.91
L,OIL AND NATURAL GAS CORP.,        90.75,        91.55,-0.87
L,BAJAJ FINANCE LIMITED,      4792.15,      4829.45,-0.77
L,DIVI'S LABORATORIES LTD,      3690.00,      3717.55,-0.74
L,SHREE CEMENT LIMITED,     24775.75,     24954.15,-0.71
L,INDIAN OIL CORP LTD,        91.05,        91.70,-0.71
L,UPL LIMITED,       472.80,       475.95,-0.66
L,JSW STEEL LIMITED,       362.65,       365.00,-0.64
L,GAIL (INDIA) LTD,       121.75,       122.40,-0.53
L,EICHER MOTORS LTD,      2548.20,      2561.15,-0.51
L,ICICI BANK LTD.,       508.40,       510.45,-0.4
L,ITC LTD,       202.45,       203.15,-0.34
L,DR. REDDY'S LABORATORIES,      5015.20,      5029.10,-0.28
L,NESTLE INDIA LIMITED,     17519.45,     17562.55,-0.25
L,HERO MOTOCORP LIMITED,      3167.95,      3174.05,-0.19
L,TATA STEEL LIMITED,       613.45,       614.55,-0.18
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,PUNJAB NATIONAL BANK,        40.60,        35.75,13.57
G,BANK OF BARODA,        65.20,        60.15,8.4
G,AVENUE SUPERMARTS LIMITED,      2652.10,      2526.45,4.97
G,HDFC AMC LIMITED,      2829.40,      2711.00,4.37
G,ORACLE FIN SERV SOFT LTD.,      3118.05,      3051.10,2.19
G,UNITED BREWERIES LTD,      1112.65,      1094.75,1.64
G,MUTHOOT FINANCE LIMITED,      1195.20,      1176.05,1.63
G,AMBUJA CEMENTS LTD,       257.10,       253.10,1.58
G,ICICI LOMBARD GIC LIMITED,      1464.40,      1442.75,1.5
G,ACC LIMITED,      1684.50,      1660.55,1.44
G,COLGATE PALMOLIVE LTD.,      1564.65,      1543.70,1.36
G,INDRAPRASTHA GAS LTD,       487.30,       480.80,1.35
G,SBI CARDS & PAY SER LTD,       855.65,       846.90,1.03
G,GENERAL INS CORP OF INDIA,       142.65,       141.45,0.85
G,ABBOTT INDIA LIMITED,     15389.85,     15293.05,0.63
G,INTERGLOBE AVIATION LTD,      1747.65,      1740.30,0.42
G,ICICI PRU LIFE INS CO LTD,       483.30,       482.25,0.22
G,DABUR INDIA LTD,       502.60,       502.05,0.11
G,SIEMENS LTD,      1538.25,      1536.70,0.1
 , , , , 
