SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.45,1.4,H
EDEL ETF NIFTY 100 QUAL30,400,397,H
GOODYEAR INDIA LIMITED,1178.8,1040,H
SEC RED NCD 10.20 % SR.IV,1120,1105,H
MIRAEAMC - MAN50ETF,137.19,136.46,H
MOLD TEK PACKAGING LTD,159,137.15,H
ORCHID PHARMA LIMITED,56.8,54.1,H
RELIANCE POWER LTD.,3.65,3.5,H
SBIAMC - SBIETFPB,170,168.9,H
TATA INVESTMENT CORP LTD,1100,1075,H
GVK POW. & INFRA LTD.,3.15,3.05,H
BOND 0% 2021 TR-1 SR-II,10895,10875,H
SE RE NCD SR.II OPII,1179,1152.11,H
MENON BEARINGS LIMITED,51.5,50.95,H
PRINCE PIPES FITTINGS LTD,283,281.05,H
PRIVI SPECIALITY CHE LTD,574.9,567.95,H
THE RAMCO CEMENTS LIMITED,903.3,900,H
SUBEX LTD,35,32.75,H
VIDEOCON INDUSTRIES LIMIT,7.9,7.55,H
DEV INFO TECHNOLOGY LTD,137.05,136.45,H
DHANI RS.1.10 PPD UP,151.4,151.35,H
EDELAMC - EMOFSR1RGG,11.44,11.15,H
ICE MAKE REFRIGERAT LTD,107.9,103.05,H
NITIN SPINNERS LIMITED,67.7,64.5,H
SHAKTI PUMPS (I) LTD,306,291.45,H
BKM INDUSTRIES LIMITED,0.95,0.9,H
DHANI LOANS & SERV LTD,1120,1110,H
HATSUN AGRO PRODUCT LTD.,1072.3,1055,H
HOUSING DEV & INFRA LTD,6.95,6.65,H
JSW ISPAT SPE PRO LTD,28,26.7,H
8.72% UNSECURED NCD,1370.8,1143,H
SRF LTD,5427.95,5424,H
UTIAMC - UTIBANKETF,304.44,304.11,H
BIL ENERGY SYSTEMS LTD,0.85,0.8,H
ADITYBIRLA SL NIF ETF-GR,148.12,147.99,H
CHAMBAL FERTILIZERS LTD,214,209.35,H
AVENUE SUPERMARTS LIMITED,2689,2560,H
GREENPANEL INDUSTRIES LTD,103.05,98.15,H
PI INDUSTRIES LTD,2650,2517,H
SBIAMC - SBIETFQLTY,119.99,119.7,H
TATA TELESERV(MAHARASTRA),8.25,8.15,H
ULTRATECH CEMENT LIMITED,5237,5199,H
BIOFIL CHEM & PHARMA LTD.,293,279.05,H
FORCE MOTORS LIMITED,1559.95,1513.8,H
HDFCAMC - HBANKETF,302.52,302,H
HOUSING DVPT FIN CORP LTD,588,578,H
SERENCD 9.25% SR.III OPII,1185,1180,H
MOHIT INDUSTRIES LTD,5.5,5.25,H
VAIBHAV GLOBAL LIMITED,2188,2180,H
GODREJ PROPERTIES LTD,1262,1223.2,H
HEMISPHERE PROP IND LTD,82,80.5,H
ICICIPRAMC - ICICI500,182.05,182,H
TATAAML - NETF,162.72,161.19,H
EDELWEISS ETF - NIFTY 50,17150,17095,H
PROLIFE INDUSTRIES LTD,52.6,52.1,H
RAJ OIL MILLS LIMITED,22.4,21.35,H
SEC RED NCD SR. VI,1245,1231,H
SYNCOM HEALTHCARE LTD,1.95,1.9,H
WELSPUN INV & COMM LTD,353.1,317.8,H
ASSO ALCOHOLS & BREW LTD,310.2,309,H
BANKA BIOLOO LIMITED,44.65,44.2,H
BIGBLOC CONSTRUCTION LTD,120.15,114.45,H
DHANI SERVICES LIMITED,305.9,303.5,H
DHANI LOANS & SERV LTD,876,875,H
GLOBAL EDUCATION LIMITED,52.65,50.15,H
SEC RED NCD 9.85 % SR. IV,1073.6,1070,H
SERENCD8.65%SR.IIICIII&IV,1326,1180,H
UTIAMC - UTISENSETF,492.5,487.4,H
EUROTEX INDUSTRIES LTD,7.8,7.95,L
JUMP NETWORKS LIMITED,17.75,18.1,L
SANGINITA CHEMICALS LTD,23.25,24.45,L
MARINE ELECTRICAL (I) LTD,190,190.1,L
VISHAL FABRICS LIMITED,99.7,101.7,L

