MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       301.37,       302.90,       310.41,       296.70,       301.09,                    12022.39,40,15,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       304.41,       295.70,       309.90,       293.50,       307.89,                    53622.42,175,23,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       302.01,       302.52,       303.01,       298.56,       299.25,                   505579.40,1679,28,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.78,        43.65,        43.80,        43.05,        43.14,                  6163961.60,142454,2240,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       137.02,       138.22,       138.56,       137.00,       137.73,                   429357.14,3121,186,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       303.13,       305.00,       309.00,       301.37,       303.45,                202169021.87,666544,6981,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4520.70,      4535.00,      4599.00,      4535.00,      4571.15,                  5787448.45,1261,104,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       146.13,       147.30,       148.12,       146.48,       146.78,                    28800.72,196,19,       148.12,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        20.21,        20.35,        20.35,        19.81,        19.95,                237807772.60,11850515,4385,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3267.22,      3021.11,      3334.11,      3021.11,      3334.11,                    31776.10,10,3,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1108.77,      1108.00,      1109.74,      1108.00,      1109.74,                  1010367.95,911,50,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1023.91,      1022.25,      1024.00,      1022.25,      1023.92,                 15935733.81,15574,110,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1132.55,      1130.00,      1133.48,      1129.60,      1133.33,                 11624550.42,10266,83,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1017.97,      1017.05,      1018.95,      1017.00,      1018.00,                  8627044.28,8472,90,      1029.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       397.00,       400.00,       400.00,       386.05,       398.99,                    26461.76,68,22,       400.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        42.76,        43.68,        43.68,        43.16,        43.34,                204490232.07,4706278,11071,      3370.10,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4446.25,      4468.00,      4501.05,      4468.00,      4496.95,                  5886619.90,1310,360,      5374.80,      3333.60,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       298.57,       297.84,       302.52,       297.84,       300.65,                  1814899.77,6038,135,       302.52,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4380.55,      4413.30,      4458.95,      4413.30,      4447.60,                 44602131.20,10020,858,      5338.50,      3385.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1404.26,      1405.00,      1415.80,      1400.90,      1408.18,                   779856.30,554,79,      1650.00,       850.00,NIFTY
