SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      1958.20,      1993.75,20030506,              39963227133.60
STATE BANK OF INDIA,       269.60,       271.90,65617502,              17711550023.25
MARUTI SUZUKI INDIA LTD.,      7743.40,      7762.70,1885285,              14758358263.90
BAJAJ FINANCE LIMITED,      4829.45,      4792.15,2971076,              14302377702.85
INFOSYS LIMITED,      1143.50,      1153.35,12308330,              14206387606.60
HDFC BANK LTD,      1372.25,      1376.30,9728948,              13400035184.90
HDFC LTD,      2303.80,      2309.75,5262959,              12186668785.10
INDUSIND BANK LIMITED,       935.15,       916.70,13141739,              12083720525.35
TATA CONSULTANCY SERV LT,      2737.70,      2797.30,4277818,              11854914854.55
INDIAN RAIL TOUR CORP LTD,      1691.55,      1648.50,6108179,              10441277135.25
TATA STEEL LIMITED,       614.55,       613.45,17015853,              10416360254.60
AXIS BANK LIMITED,       619.25,       620.65,16005349,               9918157440.40
ICICI BANK LTD.,       510.45,       508.40,19339943,               9828479088.60
BHARTI AIRTEL LIMITED,       508.95,       503.60,19298806,               9776155721.95
YES BANK LIMITED,        15.75,        17.30,562741066,               9570230822.90
CANARA BANK,       117.40,       137.00,72592455,               9232721451.30
TATA CHEMICALS LTD,       509.05,       510.45,17221399,               8784060362.90
PUNJAB NATIONAL BANK,        35.75,        40.60,227310533,               8717100079.55
ULTRATECH CEMENT LIMITED,      5056.50,      5217.75,1652861,               8568167349.60
BANK OF BARODA,        60.15,        65.20,134428758,               8414780522.95
TATA MOTORS LIMITED,       183.55,       181.80,42143391,               7679876271.05
HCL TECHNOLOGIES LTD,       855.30,       863.80,8722526,               7550238411.20
UPL LIMITED,       475.95,       472.80,15624166,               7487804596.90
KOTAK MAHINDRA BANK LTD,      1820.55,      1833.80,3953436,               7241877253.20
DR. REDDY'S LABORATORIES,      5029.10,      5015.20,1327701,               6675738681.80

