SECURITY,NEW,PREVIOUS,NEW_STATUS
EDEL ETF NIFTY 100 QUAL30,413.1,412.8,H
ONE POINT ONE SOL LTD,16.7,16.15,H
ORCHID PHARMA LIMITED,87.75,83.6,H
RUDRABHISHEK ENTERP LTD,115.9,111.85,H
V2 RETAIL LIMITED,107.9,106.15,H
VERTOZ ADVERTISING LTD,222,221,H
DHANI LOANS & SERV LTD,1029,1022,H
EQUITAS SMALL FIN BNK LTD,40,39.8,H
GLAND PHARMA LIMITED,2440,2438.85,H
BOND 0% 2021 TR-1 SR-II,10951,10945,H
AAKASH EXPLORATION SER L,65.7,65.2,H
AGC NETWORKS LIMITED,716.15,682.05,H
GODHA CABCON INSULAT LTD,35,34.95,H
SEC RED NCD SR. IV,1423,1395.45,H
ICE MAKE REFRIGERAT LTD,120.2,118.9,H
MADHAV COPPER LIMITED,116,115.95,H
BKM INDUSTRIES LIMITED,1.3,1.25,H
GOLDIAM INTERNATIONAL LTD,234.5,211.95,H
ICICI PRUDENTIAL NV20 ETF,72.7,71.75,H
MAX FINANCIAL SERV LTD,689.7,683.95,H
NIP IND ETF DIV OPP,39.65,37.7,H
NARAYANA HRUDAYALAYA LTD.,449.9,425.95,H
BOND 8.88%PA TF TR-I S 2B,8000,7195,H
PENTA GOLD LIMITED,50.4,48.6,H
SEC RED NCD SR. VII,1367,1250,H
HB STOCKHOLDINGS LIMITED,6.75,6.7,H
INDIA GRID TRUST,118.5,117.5,H
SBIAMC - SBIETFQLTY,127.68,123.49,H
SHRADHA INFRAPROJECTS LTD,76.75,73.8,H
BIRLASOFT LIMITED,226,217.95,H
COMPUTER AGE MNGT SER LTD,1752,1624,H
ICICI PRUD NIFTY ETF,168,166.6,H
BOND 0% 2021 TR-2 SR-II,10648.05,10645.05,H
INDIAMART INTERMESH LTD,6350,6149,H
JET AIRWAYS (INDIA) LTD.,116.1,110.6,H
SE RE NCD SR.II OPT 4,1191.11,1149,H
MARINE ELECTRICAL (I) LTD,226.3,225,H
NOVARTIS INDIA LIMITED,744.5,738,H
RKEC PROJECTS LIMITED,50.3,43.05,H
NIP IND ETF SHARIAH BEES,357,347,H
SILLY MONKS ENTERTAIN LTD,26.65,26.55,H
TANTIA CONST LTD,1.65,1.6,H
ANANT RAJ GLOBAL LIMITED,23.15,22.05,H
SEC RED NCD SR. IV,1200,1197,H
INDUS TOWERS LIMITED,247.3,242.9,H
KHAITAN CHEM & FERT LTD,28.2,26.5,H
TATAAML - NETF,168.62,167.89,H
EDELWEISS ETF - NIFTY 50,17885,17601.66,H
RAJ OIL MILLS LIMITED,34.45,32.85,H
SINTERCOM INDIA LIMITED,88,84.7,H
TCI EXPRESS LIMITED,979.8,949,H
DIGISPICE TECHNOLOGIES LT,16.85,16.05,H
SEC RED NCD 9.85 % SR. IV,1077.2,1073.6,H
MOST SHARES M50 ETF,135.5,135.4,H
PARABOLIC DRUGS LTD,3.75,3.6,H
UTIAMC - UTISENSETF,505,501,H
SHEMAROO ENTER. LTD.,73.65,75.3,L
SHRENIK LIMITED,4.3,4.5,L
A B INFRABUILD LIMITED,5.9,6.05,L
HUHTAMAKI INDIA LIMITED,270.1,294,L
JUMP NETWORKS LIMITED,16.15,16.45,L
LOVABLE LINGERIE LTD,101.45,106.75,L
CMI LIMITED,38.9,40.75,L
DILIGENT MEDIA CORP LTD.,0.6,0.65,L
AYM SYNTEX LIMITED,36.4,36.75,L
SPML INFRA LIMITED,12.35,12.95,L
HB STOCKHOLDINGS LIMITED,6.4,6.7,L
TRANS & RECTI. LTD,20.3,21.15,L
B.C. POWER CONTROLS LTD,6.4,6.65,L
OSIA HYPER RETAIL LTD,164,185.05,L
MOTILALAMC - G5,47.66,47.69,L
INDUS TOWERS LIMITED,227.75,230,L
RAVINDER HEIGHTS LIMITED,28.1,29.55,L
THE BYKE HOSPITALITY LTD,19,19.95,L

