MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     13760.55,     13741.90,     13777.50,     13131.45,     13328.40,762080928200.27,3776149762,Y, ,23668231,     13777.50,      7511.10
Y,NIFTY50 EQL Wgt,     14480.60,     14424.25,     14435.05,     13636.50,     13883.20,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     15399.85,     15350.45,     15375.15,     14471.05,     14777.65,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     10775.85,     10763.40,     10787.85,     10257.75,     10443.35,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     19577.80,     19571.95,     19593.30,     18388.70,     18873.05,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,      7831.75,      7812.40,      7823.65,      7359.55,      7492.05,0,0,Y, ,0,      7914.15,      4088.05
Y,NIFTY SMLCAP 50,      3480.90,      3485.40,      3493.45,      3223.35,      3308.85,0,0,Y, ,0,      3503.35,      1545.45
Y,NIFTY SMLCAP 250,      5957.85,      5962.50,      5985.95,      5560.30,      5665.45,0,0,Y, ,0,      6034.15,      2867.40
Y,NIFTY MIDSML 400,      7161.05,      7150.50,      7165.45,      6720.45,      6837.90,0,0,Y, ,0,      7239.40,      3650.20
Y,NIFTY200 QUALTY30,     12038.35,     12018.30,     12046.45,     11486.55,     11680.05,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     14419.25,     14363.45,     14376.10,     13770.10,     13907.90,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     13591.30,     13574.50,     13594.00,     12902.85,     13152.15,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     13481.80,     13473.30,     13505.45,     12774.70,     13055.05,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      2368.00,      2365.15,      2376.65,      2268.50,      2304.40,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     23256.55,     23233.50,     23506.70,     22458.15,     22844.60,0,0,Y, ,0,     23506.70,     10991.25
Y,Nifty Next 50,     32082.75,     32017.00,     32098.65,     30165.00,     30971.50,0,0,Y, ,0,     32303.90,     18384.05
Y,Nifty Bank,     30714.65,     30595.80,     30607.50,     29201.20,     29456.45,0,0,Y, ,0,     32613.10,     16116.25
Y,NIFTY MIDCAP 100,     20797.45,     20739.20,     20762.40,     19390.45,     19797.35,0,0,Y, ,0,     21064.35,     10749.95
Y,Nifty 500,     11355.00,     11338.40,     11365.55,     10787.50,     10964.25,0,0,Y, ,0,     11385.60,      6151.60
Y,Nifty 100,     13872.80,     13852.75,     13887.40,     13214.00,     13431.30,0,0,Y, ,0,     13890.10,      7624.85
Y,Nifty Midcap 50,      5861.50,      5836.55,      5856.15,      5427.50,      5536.65,0,0,Y, ,0,      5954.55,      2855.35
Y,Nifty Realty,       303.80,       301.90,       306.25,       281.75,       287.85,0,0,Y, ,0,       336.35,       160.85
Y,Nifty Infra,      3666.90,      3663.70,      3681.65,      3402.65,      3511.50,0,0,Y, ,0,      3698.85,      2072.60
Y,Nifty Energy,     17231.95,     17223.05,     17223.05,     15989.80,     16377.45,0,0,Y, ,0,     17484.10,      9750.00
Y,Nifty FMCG,     34102.70,     34121.75,     34121.75,     32570.75,     33151.10,0,0,Y, ,0,     34596.05,     22699.05
Y,Nifty MNC,     15549.50,     15552.75,     15560.70,     14922.65,     15137.05,0,0,Y, ,0,     15653.00,      9648.20
Y,Nifty Pharma,     12762.35,     12752.00,     12869.70,     11949.60,     12278.15,0,0,Y, ,0,     12869.70,      6242.85
Y,Nifty PSE,      2870.10,      2860.50,      2860.50,      2635.35,      2681.05,0,0,Y, ,0,      3286.05,      1952.20
Y,Nifty PSU Bank,      1765.55,      1742.05,      1759.05,      1616.90,      1643.25,0,0,Y, ,0,      2582.70,      1078.45
Y,Nifty Serv Sector,     19180.10,     19127.25,     19184.20,     18427.20,     18597.75,0,0,Y, ,0,     19243.80,     10401.30
Y,India VIX,18.6225,18.6225,23.6800,18.6225,23.1900,0,0,Y, ,0,86.6350,9.6175
Y,Nifty Auto,      9168.65,      9128.35,      9132.65,      8560.20,      8745.00,0,0,Y, ,0,      9456.65,      4452.20
Y,Nifty Metal,      3216.60,      3188.85,      3214.75,      2981.15,      3038.25,0,0,Y, ,0,      3289.30,      1480.70
Y,Nifty Media,      1691.75,      1695.35,      1700.60,      1543.20,      1586.85,0,0,Y, ,0,      1918.50,       972.95
Y,NIFTY SMLCAP 100,      6957.70,      6959.30,      6981.20,      6464.90,      6608.05,0,0,Y, ,0,      7030.95,      3202.90
Y,Nifty 200,      7130.90,      7119.45,      7136.10,      6777.40,      6890.60,0,0,Y, ,0,      7146.75,      3893.05
Y,Nifty Div Opps 50,      2852.85,      2847.25,      2847.25,      2698.40,      2744.20,0,0,Y, ,0,      2863.90,      1712.30
Y,Nifty Commodities,      3821.80,      3811.55,      3813.35,      3558.95,      3640.55,0,0,Y, ,0,      3868.90,      2068.80
Y,Nifty Consumption,      5850.50,      5841.95,      5843.10,      5566.85,      5669.25,0,0,Y, ,0,      5866.50,      3614.85
Y,Nifty Fin Service,     14879.15,     14830.85,     14847.55,     14250.80,     14392.60,0,0,Y, ,0,     14988.90,      7984.20
Y,Nifty50 Div Point,        82.51,        82.51,        82.51,        82.51,        82.51,0,0,Y, ,0,          .00,          .00
Y,Nifty100 Liq 15,      3322.10,      3315.50,      3316.85,      3138.00,      3187.30,0,0,Y, ,0,      3894.15,      1878.95
Y,Nifty CPSE,      1687.85,      1684.25,      1684.25,      1557.05,      1577.85,0,0,Y, ,0,      1965.85,      1136.65
Y,Nifty GrowSect 15,      6937.45,      6925.70,      6925.70,      6663.20,      6729.15,0,0,Y, ,0,      6961.40,      3949.25
Y,Nifty50 PR 2x Lev,      5893.75,      5875.95,      5906.05,      5356.20,      5521.80,0,0,Y, ,0,      5906.05,      1883.80
Y,Nifty50 PR 1x Inv,       319.55,       320.05,       334.15,       319.25,       329.65,0,0,Y, ,0,       600.80,       319.20
Y,Nifty50 TR 2x Lev,      7830.05,      7806.45,      7846.40,      7115.90,      7335.90,0,0,Y, ,0,      7846.40,      2465.75
Y,Nifty50 TR 1x Inv,       277.35,       277.80,       290.05,       277.10,       286.15,0,0,Y, ,0,       525.50,       277.10
Y,Nifty50 Value 20,      6755.50,      6744.35,      6785.90,      6401.25,      6537.45,0,0,Y, ,0,      6785.90,      3821.10
Y,Nifty Mid Liq 15,      5167.70,      5145.85,      5165.30,      4809.15,      4906.60,0,0,Y, ,0,      5255.55,      2448.20
Y,Nifty Pvt Bank,     16961.70,     16906.95,     16914.45,     16119.10,     16265.15,0,0,Y, ,0,     18030.20,      8487.25
Y,NIFTY100 Qualty30,      3250.85,      3247.05,      3253.95,      3102.95,      3153.90,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 8 13Yr,      2244.18,      2244.56,      2245.59,      2244.40,      2245.10,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 10Yr,      2021.21,      2021.54,      2021.54,      2019.80,      2019.80,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 10Yr Cln,       963.92,       963.92,       963.92,       963.09,       963.09,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 4 8Yr,      2400.74,      2401.13,      2401.13,      2399.28,      2399.71,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 11 15Yr,      2429.82,      2430.24,      2430.47,      2429.86,      2429.91,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 15YrPlus,      2670.98,      2671.47,      2671.47,      2671.47,      2671.47,0,0,Y, ,0,          .00,          .00
Y,Nifty GS Compsite,      2291.84,      2292.22,      2292.22,      2291.53,      2291.79,0,0,Y, ,0,          .00,          .00
 , , , , , , , , ,Y, , , , , , 
 , , , , , , , , ,Y, , , , , , 
 ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,ADANI PORT & SEZ LTD,       463.30,       459.00,       467.00,       427.20,       444.25,               3760329399.10,8223842,Y, ,89880,       480.45,       203.00
N,ASIAN PAINTS LIMITED,      2601.50,      2595.45,      2602.30,      2539.10,      2554.65,               3559921964.90,1383048,Y, ,72383,      2636.00,      1431.20
N,AXIS BANK LIMITED,       609.50,       605.25,       607.25,       573.40,       582.50,              11035605505.40,18580262,Y, ,233959,       765.85,       286.00
N,BAJAJ AUTO LIMITED,      3347.55,      3352.50,      3355.00,      3198.50,      3238.25,               2636124543.70,797760,Y, ,47575,      3384.75,      1788.65
N,BAJAJ FINSERV LTD.,      9215.60,      9189.00,      9245.00,      8569.65,      8846.75,               6424221745.10,713285,Y, ,68185,      9950.00,      3985.30
N,BAJAJ FINANCE LIMITED,      5252.50,      5228.00,      5234.70,      4905.20,      5041.85,              18160514796.60,3551570,Y, ,166006,      5303.15,      1783.00
N,BHARTI AIRTEL LIMITED,       510.65,       507.50,       511.20,       480.15,       490.90,               7577547767.05,15253094,Y, ,175878,       612.00,       361.75
N,BHARAT PETROLEUM CORP  LT,       393.85,       393.00,       393.00,       357.65,       367.35,               4806020630.35,12723300,Y, ,144111,       510.00,       252.00
N,BRITANNIA INDUSTRIES LTD,      3720.50,      3719.00,      3727.05,      3534.85,      3624.05,               2455146412.95,670146,Y, ,48877,      4010.00,      2100.00
N,CIPLA LTD,       793.45,       793.00,       816.90,       760.00,       778.50,              11567698357.95,14465355,Y, ,204383,       829.05,       355.30
N,COAL INDIA LTD,       141.70,       141.40,       141.50,       129.35,       132.95,               2744853624.90,20132655,Y, ,81246,       214.60,       109.55
N,DIVI'S LABORATORIES LTD,      3832.90,      3789.00,      3803.95,      3543.80,      3634.15,               6825405537.70,1845053,Y, ,111052,      3859.00,      1626.00
N,DR. REDDY'S LABORATORIES,      5228.75,      5243.00,      5274.20,      4962.05,      5068.55,               9373040723.65,1812257,Y, ,127585,      5512.65,      2495.05
N,EICHER MOTORS LTD,      2480.95,      2460.00,      2497.35,      2340.60,      2396.40,               2892653142.10,1194154,Y, ,62683,     22876.60,      2015.20
N,GAIL (INDIA) LTD,       125.05,       125.00,       125.00,       112.55,       114.70,               3305496488.05,28013714,Y, ,100679,       133.35,        65.00
N,GRASIM INDUSTRIES LTD,       909.65,       909.60,       909.95,       868.30,       877.35,               1695468617.60,1905028,Y, ,32316,       954.00,       385.05
N,HCL TECHNOLOGIES LTD,       890.65,       886.65,       910.50,       850.00,       870.45,               7921082596.25,8875855,Y, ,201257,       910.70,       375.25
N,HDFC LTD,      2479.40,      2468.00,      2478.95,      2370.45,      2414.80,               8729453775.40,3573982,Y, ,136935,      2509.00,      1473.45
N,HDFC BANK LTD,      1411.35,      1417.50,      1423.85,      1366.70,      1372.65,              16660066426.30,11880912,Y, ,245182,      1464.40,       738.75
N,HDFC LIFE INS CO LTD,       654.10,       646.00,       653.15,       617.40,       629.20,               1913617599.95,3004002,Y, ,92680,       688.50,       340.00
N,HERO MOTOCORP LIMITED,      3135.30,      3148.00,      3152.85,      2944.95,      2994.10,               4276779294.85,1397172,Y, ,72500,      3394.90,      1475.00
N,HINDALCO  INDUSTRIES  LTD,       249.90,       246.00,       249.75,       228.65,       232.30,               3899013560.50,16278713,Y, ,114541,       255.95,        84.90
N,HINDUSTAN UNILEVER LTD.,      2333.45,      2343.00,      2350.00,      2265.10,      2305.95,               4652295347.85,2003069,Y, ,112679,      2614.30,      1757.30
N,ICICI BANK LTD.,       517.15,       514.60,       514.70,       488.20,       494.50,              14657894000.45,29157759,Y, ,282306,       552.20,       268.30
N,INDUSIND BANK LIMITED,       905.20,       905.20,       906.00,       814.70,       842.70,              15634009948.05,18106992,Y, ,323247,      1585.00,       235.55
N,INFOSYS LIMITED,      1189.80,      1188.00,      1209.75,      1152.05,      1177.30,              12953347754.60,10858352,Y, ,246658,      1209.75,       509.25
N,INDIAN OIL CORP LTD,        93.95,        93.40,        93.40,        84.60,        87.10,               4384441617.60,49215350,Y, ,111851,       129.00,        71.15
N,ITC LTD,       214.50,       214.50,       214.70,       199.15,       202.95,               8689854710.35,41834797,Y, ,229386,       243.90,       134.60
