MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       305.89,       304.88,       304.88,       287.68,       294.77,                    38614.41,130,20,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       306.86,       315.15,       315.15,       290.00,       291.00,                    19736.30,64,14,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       305.95,       302.00,       303.63,       291.63,       292.22,                   991316.35,3315,116,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        43.62,        43.70,        44.40,        43.70,        44.13,                 15283298.94,346341,1804,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       142.73,       143.00,       143.00,       137.00,       138.11,                   935035.33,6651,213,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       309.17,       307.88,       309.11,       294.25,       296.22,                347550863.78,1152653,18772,       332.95,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4569.00,      4600.00,      4650.00,      4586.00,      4635.20,                  1826427.10,395,97,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       151.48,       152.90,       152.90,       146.53,       147.49,                   220621.39,1482,57,       152.90,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        21.04,        21.09,        21.10,        19.52,        19.72,                 87094964.62,4306225,4340,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3200.00,      3296.00,      3418.00,      3103.13,      3417.95,                    32677.20,10,6,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1108.20,      1105.55,      1109.49,      1105.55,      1108.67,                  8668231.29,7818,92,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1027.05,      1027.48,      1027.99,      1025.01,      1025.84,                  5504673.21,5359,46,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1134.08,      1133.00,      1134.99,      1132.05,      1132.47,                  7834613.71,6908,72,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1018.64,      1020.00,      1020.00,      1017.50,      1017.70,                 15480602.05,15205,107,      1036.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       412.80,       394.05,       413.10,       345.70,       380.13,                    87814.63,229,75,       413.10,       238.00,NIFTY QUALITY 30
