SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      1991.55,      1939.70,20368545,              40264899448.00
LARSEN & TOUBRO LTD.,      1281.55,      1234.85,21153346,              27060555787.40
BAJAJ FINANCE LIMITED,      5252.50,      5041.85,3551570,              18160514796.60
HDFC BANK LTD,      1411.35,      1372.65,11880912,              16660066426.30
INDUSIND BANK LIMITED,       905.20,       842.70,18106992,              15634009948.05
ICICI BANK LTD.,       517.15,       494.50,29157759,              14657894000.45
STATE BANK OF INDIA,       271.45,       254.70,55160758,              14358884778.05
INFOSYS LIMITED,      1189.80,      1177.30,10858352,              12953347754.60
TATA MOTORS LIMITED,       180.55,       164.55,75582907,              12914314394.40
TATA STEEL LIMITED,       631.25,       595.85,19076654,              11610936188.35
CIPLA LTD,       793.45,       778.50,14465355,              11567698357.95
AXIS BANK LIMITED,       609.50,       582.50,18580262,              11035605505.40
BURGER KING INDIA LIMITED,       157.50,       158.30,65599552,              10667255031.50
MAX FINANCIAL SERV LTD,       648.25,       643.15,14312298,               9533936324.05
DR. REDDY'S LABORATORIES,      5228.75,      5068.55,1812257,               9373040723.65
HDFC LTD,      2479.40,      2414.80,3573982,               8729453775.40
ITC LTD,       214.50,       202.95,41834797,               8689854710.35
HCL TECHNOLOGIES LTD,       890.65,       870.45,8875855,               7921082596.25
TATA CONSULTANCY SERV LT,      2861.00,      2820.15,2705195,               7718476165.55
KOTAK MAHINDRA BANK LTD,      1949.35,      1920.85,3941511,               7642582748.70
BHARTI AIRTEL LIMITED,       510.65,       490.90,15253094,               7577547767.05
LUPIN LIMITED,       972.10,       931.70,7855180,               7496964203.15
MARUTI SUZUKI INDIA LTD.,      7559.75,      7376.10,970306,               7274622541.95
SUN PHARMACEUTICAL IND L,       575.00,       552.55,12715463,               7259055407.35
DIVI'S LABORATORIES LTD,      3832.90,      3634.15,1845053,               6825405537.70

