SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
719GS2060,GS,GOI LOAN 7.19% 2060,H
ABINFRA,SM,A B INFRABUILD LIMITED,H
ABMINTLTD,BE,ABM INTERNATIONAL LTD,H
ADL,BE,ARCHIDPLY DECOR LIMITED,H
ADROITINFO,BE,ADROIT INFOTECH LIMITED,H
ADSL,EQ,ALLIED DIGITAL SERV. LTD,H
AGCNET,BE,AGC NETWORKS LIMITED,H
ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD,H
ANSALAPI,BE,ANSAL PROP & INFRA LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
ARCOTECH,BE,ARCOTECH LIMITED,H
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,H
ASHAPURMIN,EQ,ASHAPURA MINECHEM LTD,H
AURIONPRO,EQ,AURIONPRO SOLN LTD,H
BALKRISHNA,BE,BALKRISHNA PAPER MILLS L,H
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BCP,BE,B.C. POWER CONTROLS LTD,H
BEARDSELL,EQ,BEARDSELL LIMITED,H
BHAGYANGR,EQ,BHAGYANAGAR INDIA LIMITED,H
BILENERGY,BZ,BIL ENERGY SYSTEMS LTD,H
BLKASHYAP,EQ,B.L.KASHYAP & SON LTD,H
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,H
BOHRA,SM,BOHRA INDUSTRIES LIMITED,H
BRFL,EQ,BOMBAY RAYON FASHIONS LTD,H
BSELINFRA,EQ,BSEL INFRASTRUCTURE REALT,H
BURGERKING,EQ,BURGER KING INDIA LIMITED,H
CANDC,BZ,C&C CONST. LTD,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CHROMATIC,BE,CHROMATIC INDIA LTD,H
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,H
COX&KINGS,BZ,COX & KINGS LIMITED,H
CREATIVEYE,EQ,CREATIVE EYE LIMITED,H
CYBERTECH,EQ,CYBERTECH SYSTEMS & SOFTW,H
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LT,H
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,H
DIGISPICE,BE,DIGISPICE TECHNOLOGIES LT,H
DIGJAMLTD,BZ,DIGJAM LIMITED,H
DQE,EQ,DQ ENTERTAINMENT INT LTD,H
E2E,SM,E2E NETWORKS LIMITED,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EC2RG,MF,SUNDARMAMC - EC2RG,H
EMAMIREAL,EQ,EMAMI REALTY LIMITED,H
EMCO,BZ,EMCO LIMITED,H
EUROMULTI,EQ,EURO MULTIVISION LTD,H
EXCEL,BE,EXCEL REALTY N INFRA LTD,H
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,H
FCSSOFT,BE,FCS SOFTWARE SOLN. LTD.,H
FEL,EQ,FUTURE ENTERPRISES LTD,H
FELDVR,EQ,FUTURE ENTERPRISES LTD,H
FLFL,EQ,FUT LIFESTYLE FASH LTD,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
FRETAIL,EQ,FUTURE RETAIL LIMITED,H
FSC,EQ,FUTURE SUPP CHAIN SOL LTD,H
GAMMNINFRA,EQ,GAMMON INFRA PROJ LTD.,H
GARDENSILK,EQ,GARDEN SILK MILLS LTD,H
GBGLOBAL,BE,GB GLOBAL LIMITED,H
GENUSPAPER,EQ,GENUS P&B LIMITED,H
GISOLUTION,EQ,GI ENGINEERING SOLNS LTD,H
GLOBOFFS,EQ,GLOBAL OFFSHORE SERV LTD,H
GTLINFRA,EQ,GTL INFRA.LTD,H
GUJRAFFIA,BE,GUJARAT RAFFIA INDUST LTD,H
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,H
HCC,EQ,HINDUSTAN CONSTRUCTION CO,H
ICEMAKE,EQ,ICE MAKE REFRIGERAT LTD,H
IFCI,EQ,IFCI LTD,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
IMPEXFERRO,EQ,IMPEX FERRO TECH LIMITED,H
INDLMETER,BE,IMP POWERS LTD,H
INDORAMA,EQ,INDO RAMA SYNTHETICS LTD,H
INDOSOLAR,BZ,INDOSOLAR LIMITED,H
INNOVATIVE,SM,INNOVATIVE TYRES & TUBES,H
INTEGRA,BE,INTEGRA GARMENT & TEX LTD,H
INTELLECT,EQ,INTELLECT DESIGN ARENA,H
INTENTECH,EQ,INTENSE TECHNOLOGIES LTD,H
JAIHINDPRO,BZ,JAIHIND PROJECTS LTD,H
JBFIND,BE,JBF INDUS LTD -DEP-LS ML,H
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,H
JETKNIT,SM,JET KNITWEARS LTD.,H
JIKIND,BE,JIK INDUSTRIES LTD,H
JITFINFRA,BE,JITF INFRALOGISTICS LTD,H
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,H
KALYANIFRG,BE,KALYANI FORGE LIMITED,H
KAUSHALYA,BE,KAUSHALYA INFRA DEV LTD.,H
KECL,EQ,KIRLOSKAR ELECTRIC CO LTD,H
KHANDSE,EQ,KHANDWALA SECURITIES LTD,H
KILITCH,BE,KILITCH DRUGS INDIA LTD,H
KSERASERA,BZ,KSS LIMITED,H
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,H
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,H
MADHUCON,BE,MADHUCON PROJECTS LTD.,H
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,H
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,H
MARSHALL,SM,MARSHALL MACHINES LTD,H
MASKINVEST,BE,MASK INVESTMENTS LIMITED,H
MBLINFRA,EQ,MBL INFRASTRUCTURES LTD,H
METKORE,BZ,METKORE ALLOYS & IND LTD,H
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,H
MIC,BE,MIC ELECTRONICS LIMITED,H
MINDTECK,EQ,MINDTECK (INDIA) LIMITED,H
MODIRUBBER,BE,MODI RUBBER LTD,H
MORARJEE,BE,MORARJEE TEXTILES LIMITED,H
MTNL,EQ,MAHANAGAR TELEPHONE NIGAM,H
MUKANDENGG,EQ,MUKAND ENGINEERS LIMITED,H
NATNLSTEEL,BE,NATIONAL STEEL & AGRO IND,H
NETF,EQ,TATAAML - NETF,H
NEXTMEDIA,BE,NEXT MEDIAWORKS LIMITED,H
NILASPACES,BE,NILA SPACES LIMITED,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
OPTIEMUS,BE,OPTIEMUS INFRACOM LTD,H
ORCHPHARMA,BZ,ORCHID PHARMA LIMITED,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PALREDTEC,BE,PALRED TECHNOLOGIES LTD,H
PARABDRUGS,BZ,PARABOLIC DRUGS LTD,H
PATSPINLTD,BE,PATSPIN INDIALTD.,H
PRAENG,BE,PRAJAY ENG. SYN. LTD.,H
PRECOT,BE,PRECOT MERIDIAN LIMITED,H
RADAAN,EQ,RADAAN MEDIAWORKS (I) LTD,H
RAMSARUP,BZ,RAMSARUP INDUSTRIES LTD,H
RHFL,BE,RELIANCE HOME FINANCE LTD,H
RKEC,EQ,RKEC PROJECTS LIMITED,H
ROHITFERRO,BE,ROHIT FERRO-TECH LIMITED,H
ROML,EQ,RAJ OIL MILLS LIMITED,H
SAKUMA,EQ,SAKUMA EXPORTS LIMITED,H
SALSTEEL,EQ,S.A.L. STEEL LTD.,H
SATHAISPAT,BE,SATHAVAHANA ISPAT LTD,H
SELMCL,BZ,SEL MANU. CO. LTD.,H
SEZAL,BZ,SEZAL GLASS LIMITED,H
SHUBHLAXMI,SM,SHUBHLAXMI JEWEL ART LTD,H
SILLYMONKS,BE,SILLY MONKS ENTERTAIN LTD,H
SINTEX,BE,SINTEX INDUSTRIES LTD,H
SITINET,BE,SITI NETWORKS LIMITED,H
SKIL,EQ,SKIL INFRASTRUCTURE LTD.,H
SMPL,BZ,SPLENDID METAL PRODUCTS L,H
SPENTEX,BZ,SPENTEX IND. LTD,H
SPTL,BE,SINTEX PLASTICS TECH LTD,H
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,H
STAMPEDE,BE,STAMPEDE CAPITAL LTD,H
SURANI,SM,SURANI STEEL TUBES LTD.,H
SURYALAXMI,EQ,SURYALAKSHMI COT MIL LTD,H
SUZLON,BE,SUZLON ENERGY LIMITED,H
TALWALKARS,BZ,TALWALKAR FITNESS LTD,H
TALWGYM,BZ,TALWALKARS HEALTHCLUB LTD,H
TANTIACONS,BZ,TANTIA CONST LTD,H
TARC,BE,ANANT RAJ GLOBAL LIMITED,H
TERASOFT,EQ,TERA SOFTWARE LIMITED,H
THIRUSUGAR,BZ,THIRU AROORAN SUGARS LTD,H
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LTD,H
TIRUPATI,SM,SHREE TIRUPATI BALAJEE,H
TNTELE,BE,TAMILNADU TELECOMMUNICATI,H
TREEHOUSE,EQ,TREE HOUSE EDU LTD,H
TTML,BE,TATA TELESERV(MAHARASTRA),H
TVVISION,BE,TV VISION LIMITED,H
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,H
UNIPLY,BZ,UNIPLY INDUSTRIES LIMITED,H
UNITEDPOLY,SM,UNITED POLYFAB GUJ. LTD.,H
UNITY,BZ,UNITY INFRAPROJECTS LTD,H
URJA,BE,URJA GLOBAL LIMITED,H
VAKRANGEE,EQ,VAKRANGEE LIMITED,H
VASA,SM,VASA RETAIL & OVERSEA LTD,H
VICEROY,BE,VICEROY HOTELS LIMITED,H
VIKASPROP,EQ,VIKAS PROP & GRANITE LTD,H
VISHAL,EQ,VISHAL FABRICS LIMITED,H
VIVIDHA,BE,VISAGAR POLYTEX LTD,H
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,H
WEBELSOLAR,EQ,WEBSOL ENERGY SYSTEM LTD,H
WFL,SM,WONDER FIBROMATS LIMITED,H
WSI,BE,W.S.INDUSTRIES (I) LTD.,H
ZENITHSTL,BE,ZENITH STEEL PIP IND LTD,H
3IINFOTECH,EQ,3I INFOTECH LTD.,L
3PLAND,EQ,3P LAND HOLDINGS LIMITED,L
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,L
AARTISURF,EQ,AARTI SURFACTANTS LIMITED,L
AARVEEDEN,EQ,AARVEE DEN. & EXP. LTD,L
ABAN,BE,ABAN OFFSHORE LTD.,L
ABINFRA,SM,A B INFRABUILD LIMITED,L
ABMINTLTD,BE,ABM INTERNATIONAL LTD,L
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,L
ADANIPOWER,EQ,ADANI POWER LTD,L
ADHUNIKIND,BE,ADHUNIK INDUSTRIES LTD,L
ADL,BE,ARCHIDPLY DECOR LIMITED,L
ADSL,EQ,ALLIED DIGITAL SERV. LTD,L
ADVANIHOTR,BE,ADVANI HOT.& RES.(I) LTD,L
ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD,L
AGRITECH,BE,AGRI-TECH (INDIA) LIMITED,L
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,L
AHLADA,SM,AHLADA ENGINEERS LIMITED,L
AJOONI,SM,AJOONI BIOTECH LIMITED,L
AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED,L
ALCHEM,BE,ALCHEMIST LTD,L
ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD,L
ALPA,BE,ALPA LABORATORIES LTD,L
ALPHAGEO,BE,ALPHAGEO (INDIA) LIMITED,L
ANDHRACEMT,EQ,ANDHRA CEMENTS LIMITED,L
ANIKINDS,BE,ANIK INDUSTRIES LTD,L
ANKITMETAL,EQ,ANKIT MET & POW LTD,L
ANSALHSG,EQ,ANSAL HOUSING LIMITED,L
ARCHIES,EQ,ARCHIES LTD,L
ARCOTECH,BE,ARCOTECH LIMITED,L
ARIES,EQ,ARIES AGRO LTD.,L
ARIHANT,EQ,ARIHANT FOUN & HOU LTD,L
ARIHANTSUP,EQ,ARIHANT SUPERSTRUCT LTD,L
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,L
ARSHIYA,EQ,ARSHIYA LIMITED,L
ARSSINFRA,EQ,ARSS INFRA PROJ. LTD,L
ASAL,EQ,AUTOMOTIVE STAMPINGS & AS,L
ASHIMASYN,BE,ASHIMA LTD,L
ATLANTA,EQ,ATLANTA LIMITED,L
AUTOIND,EQ,AUTOLINE INDUSTRIES LTD,L
AXISCADES,EQ,AXISCADES TECH LTD,L
AYMSYNTEX,BE,AYM SYNTEX LIMITED,L
BAFNAPH,BE,BAFNA PHARMACEUTICALS LTD,L
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,L
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LT,L
BALAXI,EQ,BALAXI PHARMA LTD,L
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,L
BANG,EQ,BANG OVERSEAS LTD.,L
BANKA,EQ,BANKA BIOLOO LIMITED,L
BANSWRAS,EQ,BANSWARA SYNTEX LIMITED,L
BGRENERGY,BE,BGR ENERGY SYSTEMS LTD,L
BHARATGEAR,BE,BHARAT GEARS LTD,L
BIGBLOC,BE,BIGBLOC CONSTRUCTION LTD,L
BILENERGY,BZ,BIL ENERGY SYSTEMS LTD,L
BIOFILCHEM,BE,BIOFIL CHEM & PHARMA LTD.,L
BIRLATYRE,EQ,BIRLA TYRES LIMITED,L
BLKASHYAP,EQ,B.L.KASHYAP & SON LTD,L
BPL,EQ,BPL LTD,L
BRFL,EQ,BOMBAY RAYON FASHIONS LTD,L
BRIGHT,SM,BRIGHT SOLAR LIMITED,L
BROOKS,EQ,BROOKS LAB LIMITED,L
BSELINFRA,EQ,BSEL INFRASTRUCTURE REALT,L
BSL,BE,BSL LTD,L
BURNPUR,BE,BURNPUR CEMENT LTD.,L
BVCL,BE,BARAK VALLEY CEM. LTD.,L
BYKE,BE,THE BYKE HOSPITALITY LTD,L
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,L
CANDC,BZ,C&C CONST. LTD,L
CASTEXTECH,BE,CASTEX TECHNOLOGIES LTD.,L
CCHHL,BE,COUNTRY CLUB HOSP HOL LTD,L
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,L
CENTEXT,BE,CENTURY EXTRUSIONS LTD,L
CGPOWER,EQ,CG POWER AND IND SOL LTD,L
CHROMATIC,BE,CHROMATIC INDIA LTD,L
CKFSL,BZ,COX & KINGS FIN SERV LTD,L
CMICABLES,BE,CMI LIMITED,L
CNOVAPETRO,BE,CIL NOVA PETROCHEM LTD,L
COMPUSOFT,BE,COMPUCOM SOFTWARE LTD,L
CORALFINAC,EQ,CORAL INDIA FIN & HOUS LT,L
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,L
COX&KINGS,BZ,COX & KINGS LIMITED,L
CTE,EQ,CAMBRIDGE TECH ENTER LTD,L
CUBEXTUB,BE,CUBEXTUBINGS-ROLLSETT,L
DANGEE,EQ,DANGEE DUMS LIMITED,L
DBREALTY,BE,D B REALTY LIMITED,L
DCM,BE,DCM LIMITED,L
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LT,L
DCMNVL,BE,DCM NOUVELLE LIMITED,L
DELTAMAGNT,BE,DELTA MANUFACTURING LTD,L
DGCONTENT,EQ,DIGICONTENT LIMITED,L
DHARSUGAR,BE,DHARANISUGARS &CHEMICALS,L
DHFL,EQ,DEWAN HOUSING FIN CORP LT,L
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,L
DIGISPICE,BE,DIGISPICE TECHNOLOGIES LT,L
DIGJAMLTD,BZ,DIGJAM LIMITED,L
DSSL,EQ,DYNACONS SYS & SOLN LTD,L
DUCON,BE,DUCON INFRATECHNOLOGIES L,L
EDELWEISS,EQ,EDELWEISS FIN SERV LTD,L
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,L
EKC,EQ,EVEREST KANTO CYLINDERLTD,L
ELECON,EQ,ELECON ENG. CO. LTD,L
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,L
EQUITAS,EQ,EQUITAS HOLDINGS LIMITED,L
EUROCERA,BZ,EURO CERAMICS LTD.,L
EUROMULTI,EQ,EURO MULTIVISION LTD,L
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,L
FEL,EQ,FUTURE ENTERPRISES LTD,L
FELDVR,EQ,FUTURE ENTERPRISES LTD,L
FELIX,SM,FELIX INDUSTRIES LTD.,L
FLFL,EQ,FUT LIFESTYLE FASH LTD,L
FMGOETZE,EQ,FEDERAL-MOGUL GOETZE (IND,L
FRETAIL,EQ,FUTURE RETAIL LIMITED,L
FSC,EQ,FUTURE SUPP CHAIN SOL LTD,L
GAL,EQ,GYSCOAL ALLOYS LTD,L
GANESHHOUC,EQ,GANESH HOUSING CORP LTD,L
GARDENSILK,EQ,GARDEN SILK MILLS LTD,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GAYAPROJ,EQ,GAYATRI PROJECTS LTD,L
GENESYS,EQ,GENESYS INTL CORPN LTD,L
GEOJITFSL,EQ,GEOJIT FINANCIAL SER L,L
GEPIL,EQ,GE POWER INDIA LIMITED,L
GILLANDERS,EQ,GILLANDERS ARBUTHNOT LTD,L
GINNIFILA,EQ,GINNI FILAMENTS LTD,L
GLFL,EQ,GUJARAT LEASE FINANCING L,L
GLOBAL,EQ,GLOBAL EDUCATION LIMITED,L
GOACARBON,BE,GOA CARBON LIMITED,L
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,L
GOKUL,EQ,GOKUL REFOILS & SOLV LTD,L
GPIL,EQ,GODAWARI POW & ISP LTD,L
GRAPHITE,EQ,GRAPHITE INDIA LTD,L
GREENPANEL,EQ,GREENPANEL INDUSTRIES LTD,L
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,L
GTL,EQ,GTL LTD,L
GTLINFRA,EQ,GTL INFRA.LTD,L
GTNIND,BE,GTN INDUSTRIES LIMITED,L
GUJRAFFIA,BE,GUJARAT RAFFIA INDUST LTD,L
GVKPIL,BZ,GVK POW. & INFRA LTD.,L
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,L
HBLPOWER,EQ,HBL POWER SYSTEMS LTD.,L
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,L
HDIL,BZ,HOUSING DEV & INFRA LTD,L
HEXATRADEX,EQ,HEXA TRADEX LIMITED,L
HILTON,EQ,HILTON METAL FORGING LTD,L
HINDCOPPER,EQ,HINDUSTAN COPPER LTD,L
HITECHCORP,EQ,HITECH CORPORATION LTD,L
HITECHGEAR,BE,THE HI-TECH GEARS LIMITED,L
HMT,BZ,HMT LTD -,L
HOVS,BE,HOV SERVICES LTD,L
ICEMAKE,EQ,ICE MAKE REFRIGERAT LTD,L
ICIL,EQ,INDO COUNT INDUSTRIES LTD,L
IGPL,EQ,I G PETROCHEMICALS LTD,L
IITL,BE,INDUSTRIAL INV TRUST LTD,L
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,L
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,L
IMAGICAA,BE,IMAGICAAWORLD ENT LTD,L
INDBANK,EQ,INDBANK MERCH BANK,L
INDLMETER,BE,IMP POWERS LTD,L
INDOSOLAR,BZ,INDOSOLAR LIMITED,L
INDOWIND,BE,INDOWIND ENERGY LTD,L
INDSWFTLAB,EQ,IND SWIFT LABORATORIES LT,L
INDSWFTLTD,BE,IND-SWIFT LIMITED,L
INFOBEAN,EQ,INFOBEANS TECHNO. LTD.,L
INFOMEDIA,BE,INFOMEDIA PRESS LIMITED,L
INNOVANA,SM,INNOVANA THINKLABS LTD.,L
INOXWIND,EQ,INOX WIND LIMITED,L
INTEGRA,BE,INTEGRA GARMENT & TEX LTD,L
ISMTLTD,EQ,ISMT LIMITED,L
IVC,BE,IL&FS INVESTMENT MANAGERS,L
IVP,BE,IVP LIMITED,L
IZMO,EQ,IZMO LIMITED,L
JAINSTUDIO,BZ,JAIN STUDIOS LIMITED,L
JAYNECOIND,BE,JAYASWAL NECO INDUSTR LTD,L
JBFIND,BE,JBF INDUS LTD -DEP-LS ML,L
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,L
JHS,EQ,JHS SVEND. LAB. LTD,L
JIKIND,BE,JIK INDUSTRIES LTD,L
JINDALPHOT,BE,JINDAL PHOTO LIMITED,L
JINDRILL,EQ,JINDAL DRILLING IND. LTD,L
JISLJALEQS,EQ,JAIN IRRIGATION SYSTEMS,L
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,L
JPINFRATEC,BE,JAYPEE INFRATECH LTD,L
JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,L
JSWISPL,EQ,JSW ISPAT SPE PRO LTD,L
JUBLINDS,EQ,JUBILANT INDUSTRIES LTD,L
JUMPNET,EQ,JUMP NETWORKS LIMITED,L
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,L
KANANIIND,EQ,KANANI INDUSTRIES LTD,L
KAUSHALYA,BE,KAUSHALYA INFRA DEV LTD.,L
KECL,EQ,KIRLOSKAR ELECTRIC CO LTD,L
KELLTONTEC,EQ,KELLTON TECH SOL LTD,L
KERNEX,BE,KERNEX MICROSYS(I) LTD,L
KEYFINSERV,EQ,KEYNOTE FIN SERV LTD.,L
KGL,BZ,KARUTURI GLOBAL LIMITED,L
KIOCL,EQ,KIOCL LIMITED,L
KOHINOOR,BZ,KOHINOOR FOODS LIMITED,L
KOPRAN,EQ,KOPRAN LTD,L
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,L
KSERASERA,BZ,KSS LIMITED,L
KSK,BZ,KSK ENERGY VENTURES LTD,L
KWALITY,EQ,KWALITY LIMITED,L
LAGNAM,SM,LAGNAM SPINTEX LIMITED,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
LAMBODHARA,EQ,LAMBODHARA TEXTILES LTD.,L
LAXMICOT,SM,LAXMI COTSPIN LIMITED,L
LGBFORGE,BE,LGB FORGE LIMITED,L
LOVABLE,BE,LOVABLE LINGERIE LTD,L
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,L
LSIL,BE,LLOYDS STEELS IND. LTD.,L
LYKALABS,EQ,LYKA LABS LTD,L
LYPSAGEMS,BE,LYPSA GEMS & JEWEL LTD,L
MACPOWER,EQ,MACPOWER CNC MACHINES LTD,L
MADHUCON,BE,MADHUCON PROJECTS LTD.,L
MAHAPEXLTD,BE,MAHA RASHTRA APEX COPR. L,L
MALUPAPER,BE,MALU PAPER MILLS LIMITED,L
MANAKALUCO,EQ,MANAK ALUMINIUM CO. LTD.,L
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,L
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,L
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,L
MARALOVER,BE,MARAL OVERSEAS LTD,L
MARATHON,EQ,MARATHON NXTGEN REALT LTD,L
MAWANASUG,BE,MAWANA SUGARS LIMITED,L
MBAPL,BE,MADHYA BHARAT AGRO P. LTD,L
MBECL,BE,MCNALLY BH. ENG. CO.LTD,L
MCDHOLDING,BE,MCDOWELL HOLDINGS LTD.,L
MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LTD.,L
MENONBE,BE,MENON BEARINGS LIMITED,L
