MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       304.70,       300.00,       306.60,       293.60,       304.09,                   120697.01,404,31,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       313.00,       310.00,       314.90,       310.00,       314.90,                     6605.62,21,6,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       306.10,       305.24,       306.33,       300.22,       306.11,                   369453.66,1216,39,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        42.54,        42.98,        42.99,        42.50,        42.75,                  2344091.92,54779,2232,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       139.51,       138.25,       140.64,       138.00,       140.28,                   347717.60,2502,154,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       309.22,       309.22,       310.00,       305.20,       308.43,                162250325.02,528202,6631,      3291.00,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4482.50,      4475.05,      4530.00,      4475.00,      4524.00,                   370138.10,82,34,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       148.20,       147.95,       149.63,       147.43,       149.00,                    18482.19,125,15,       149.63,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        21.10,        21.10,        21.25,        20.81,        21.15,                 91469532.29,4339263,4295,        23.88,        11.54,NIFTY CPSE
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1109.20,      1108.00,      1108.99,      1107.51,      1107.95,                 15852236.33,14309,72,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1024.75,      1025.00,      1026.49,      1024.06,      1025.22,                  5823129.72,5676,59,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1132.85,      1131.50,      1132.98,      1131.00,      1131.24,                 13875073.77,12254,114,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1017.80,      1017.00,      1017.45,      1015.00,      1015.10,                 30057536.47,29563,142,      1036.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       400.00,       401.00,       406.00,       400.00,       404.01,                    75376.03,186,6,       406.00,       238.00,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        42.56,        42.78,        42.89,        42.62,        42.82,                144099881.67,3368073,9257,      3370.10,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4424.70,      4424.70,      4448.95,      4421.05,      4429.60,                  3999633.50,902,260,      5374.80,      3353.50,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       305.75,       305.26,       305.90,       300.97,       305.90,                  1597927.89,5279,265,       306.40,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4360.35,      4377.45,      4395.00,      4371.50,      4389.85,                 23097872.80,5270,491,      5338.50,      3396.50,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1419.55,      1422.45,      1430.00,      1412.00,      1424.55,                   809450.83,570,70,      1650.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      4915.00,      4900.00,      4926.98,      4880.04,      4920.00,                   823639.28,168,48,      5000.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       351.49,       350.70,       351.00,       344.00,       345.85,                   522862.86,1507,75,      3250.00,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       134.98,       135.00,       135.00,       128.83,       131.83,                   250550.27,1905,132,       144.87,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       183.00,       183.00,       185.02,       181.90,       183.28,                   202885.16,1111,86,       216.90,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       135.10,       133.01,       137.00,       133.01,       134.70,                   142943.04,1060,27,       147.25,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        32.35,        32.35,        32.45,        31.72,        31.97,                  9151471.95,286586,5986,        35.05,        20.70,S&P BSE BHARAT 22 INDEX
