MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1047.00,      1047.00,      1060.00,      1047.00,      1055.20,                    87442.00,83, ,7,      1078.65,       721.00
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1064.39,      1064.00,      1064.00,      1061.00,      1061.69,                   558191.00,525, ,13,      1194.00,      1025.00
N,N1,M&MFIN,8.72% UNSECURED NCD,      1070.05,      1075.00,      1075.00,      1045.00,      1045.50,                   576032.50,550, ,10,      1370.80,       850.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1062.96,      1062.01,      1064.98,      1062.00,      1063.47,                  2022595.88,1902, ,44,      1178.00,      1045.00
N,N1,NTPC,8.41%S-R-NCD SERIES 1A,      1160.00,      1104.05,      1104.05,      1104.05,      1104.05,                   110405.00,100, ,1,      1340.00,       921.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.96,        31.84,        32.20,        31.84,        31.93,                   161938.03,5072, ,60,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1170.00,      1165.00,      1175.00,      1165.00,      1175.00,                    83890.00,72, ,4,      1180.65,       732.00
N,N2,ERFLNCDI,SEC RED NCD 8.75% SR. II,      1055.94,      1055.00,      1055.00,      1055.00,      1055.00,                    10550.00,10, ,1,      1055.95,       611.05
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1290.00,      1290.00,      1292.20,      1290.00,      1290.00,                   477422.00,370, ,6,      1369.90,      1051.60
N,N2,M&MFIN,9.00% UNSECURED NCD,      1115.59,      1106.70,      1120.00,      1100.00,      1114.30,                  1511800.60,1364, ,30,      1199.00,       845.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1253.71,      1250.30,      1254.70,      1250.25,      1254.67,                   296424.30,237, ,7,      1300.00,      1029.85
N,N2,NTPC,8.48%S-R-NCD SERIES 2A,      1292.01,      1225.10,      1255.00,      1225.00,      1255.00,                  1413270.00,1150, ,3,      1540.00,      1223.00
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1177.01,      1175.00,      1180.00,      1175.00,      1179.99,                  1132049.80,960, ,8,      1254.90,      1043.10
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       990.00,       990.00,       990.00,       987.99,       987.99,                   336189.00,340, ,7,       999.00,       705.00
