MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13558.15,     13547.20,     13589.65,     13447.05,     13567.85,616232704862.42,3456575803,Y, ,18248678,     13597.50,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14320.30,     14319.40,     14387.20,     14219.65,     14370.65,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15319.80,     15327.10,     15351.75,     15189.70,     15335.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10641.05,     10629.45,     10650.25,     10572.75,     10633.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19257.10,     19296.25,     19313.95,     19173.25,     19300.30,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7749.10,      7751.50,      7778.40,      7689.65,      7771.35,0,0,Y, ,0,      7779.35,      4088.05
Y, , ,NIFTY SMLCAP 50,      3427.75,      3435.50,      3438.25,      3408.20,      3429.60,0,0,Y, ,0,      3441.65,      1545.45
Y, , ,NIFTY SMLCAP 250,      5912.60,      5927.75,      5935.35,      5875.95,      5925.10,0,0,Y, ,0,      5935.35,      2867.40
Y, , ,NIFTY MIDSML 400,      7091.95,      7099.05,      7115.35,      7040.90,      7110.65,0,0,Y, ,0,      7115.35,      3650.20
Y, , ,NIFTY200 QUALTY30,     11833.40,     11812.45,     11844.10,     11769.05,     11834.20,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14177.90,     14175.15,     14306.45,     14048.05,     14282.40,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13411.40,     13423.45,     13438.10,     13360.05,     13387.90,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13306.05,     13317.85,     13322.65,     13216.00,     13240.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2323.95,      2321.65,      2328.65,      2307.55,      2325.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     22746.70,     22656.35,     22779.70,     22608.35,     22715.10,0,0,Y, ,0,     22901.75,     10991.25
Y, , ,Nifty Next 50,     32043.45,     32079.05,     32083.35,     31759.05,     31972.70,0,0,Y, ,0,     32142.10,     18384.05
Y, , ,Nifty Bank,     30745.90,     30805.40,     30805.85,     30345.75,     30691.05,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     20571.25,     20569.55,     20692.15,     20388.35,     20668.05,0,0,Y, ,0,     20692.15,     10749.95
Y, , ,Nifty 500,     11215.25,     11212.35,     11234.45,     11128.40,     11223.90,0,0,Y, ,0,     11240.40,      6151.60
Y, , ,Nifty 100,     13693.20,     13685.65,     13716.15,     13583.55,     13697.70,0,0,Y, ,0,     13731.05,      7624.85
Y, , ,Nifty Midcap 50,      5789.90,      5792.30,      5845.75,      5726.75,      5834.75,0,0,Y, ,0,      5845.75,      2855.35
Y, , ,Nifty Realty,       289.90,       289.75,       290.05,       285.15,       289.00,0,0,Y, ,0,       336.35,       160.85
Y, , ,Nifty Infra,      3652.00,      3660.50,      3660.50,      3615.65,      3652.45,0,0,Y, ,0,      3660.50,      2072.60
Y, , ,Nifty Energy,     17351.35,     17393.00,     17393.00,     17101.80,     17281.35,0,0,Y, ,0,     17400.80,      9750.00
Y, , ,Nifty FMCG,     34411.65,     34329.50,     34360.80,     33906.10,     33967.90,0,0,Y, ,0,     34596.05,     22699.05
Y, , ,Nifty MNC,     15611.45,     15607.70,     15617.30,     15465.85,     15520.40,0,0,Y, ,0,     15633.10,      9648.20
Y, , ,Nifty Pharma,     12459.90,     12498.35,     12556.35,     12400.70,     12432.60,0,0,Y, ,0,     12636.90,      6242.85
Y, , ,Nifty PSE,      2905.20,      2913.25,      2913.25,      2858.40,      2895.45,0,0,Y, ,0,      3286.05,      1952.20
Y, , ,Nifty PSU Bank,      1860.75,      1855.30,      1855.30,      1804.85,      1833.60,0,0,Y, ,0,      2587.20,      1078.45
Y, , ,Nifty Serv Sector,     18807.30,     18800.10,     18908.45,     18662.30,     18887.15,0,0,Y, ,0,     18908.45,     10401.30
Y, , ,India VIX,19.4025,19.4025,19.8275,15.6925,19.3450,0,0,Y, ,0,86.6350,9.6175
Y, , ,Nifty Auto,      9093.10,      9078.25,      9168.70,      9052.05,      9149.75,0,0,Y, ,0,      9456.65,      4452.20
Y, , ,Nifty Metal,      3189.50,      3188.70,      3219.55,      3150.60,      3214.15,0,0,Y, ,0,      3220.65,      1480.70
Y, , ,Nifty Media,      1691.85,      1690.15,      1729.20,      1667.80,      1722.15,0,0,Y, ,0,      1918.50,       972.95
Y, , ,NIFTY SMLCAP 100,      6879.75,      6896.25,      6905.80,      6840.15,      6892.70,0,0,Y, ,0,      6906.05,      3202.90
Y, , ,Nifty 200,      7040.30,      7036.75,      7052.45,      6983.55,      7046.15,0,0,Y, ,0,      7056.10,      3893.05
Y, , ,Nifty Div Opps 50,      2853.75,      2847.85,      2849.55,      2820.60,      2835.65,0,0,Y, ,0,      2856.00,      1712.30
Y, , ,Nifty Commodities,      3801.35,      3805.75,      3819.20,      3766.65,      3815.30,0,0,Y, ,0,      3825.35,      2068.80
Y, , ,Nifty Consumption,      5801.90,      5793.45,      5796.05,      5757.50,      5787.35,0,0,Y, ,0,      5838.55,      3614.85
Y, , ,Nifty Fin Service,     14561.50,     14569.65,     14695.15,     14437.60,     14673.00,0,0,Y, ,0,     14747.70,      7984.20
Y, , ,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0,0,Y, ,0,          .00,          .00
