SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.7,1.65,H
EDEL ETF NIFTY 100 QUAL30,406,402,H
INTELLECT DESIGN ARENA,315.75,302.45,H
LTAMC - LTMFEOF2R,12.3,11.35,H
MAJESCO LIMITED,1009.9,1001,H
ONE POINT ONE SOL LTD,15.9,15.8,H
ORCHID PHARMA LIMITED,72.3,68.9,H
RUDRABHISHEK ENTERP LTD,104.45,100.8,H
RELIANCE POWER LTD.,4.25,4.1,H
AAKASH EXPLORATION SER L,59.5,58.95,H
ACCURACY SHIPPING LIMITED,34.4,32.8,H
KSK ENERGY VENTURES LTD,0.6,0.55,H
SEC RED NCD 10.04% SR.III,1020,1010,H
NITIN SPINNERS LIMITED,74,73.9,H
SEC RED NCD SR. VII,1206,1200,H
TECHNOFAB ENG LTD,10.9,10.7,H
BKM INDUSTRIES LIMITED,1.1,1.05,H
DCM NOUVELLE LIMITED,43.4,42.15,H
ESAB INDIA LTD,1784.85,1780.25,H
GALAXY SURFACTANTS LTD,2050,2039.85,H
GOLDIAM INTERNATIONAL LTD,211.95,199.2,H
HOUSING DEV & INFRA LTD,8.7,8.3,H
ICICI PRUDENTIAL NV20 ETF,71.7,70.7,H
BOND 0% 2021 TR-3 SR-II,11768.99,10810,H
NIP IND ETF DIV OPP,37.7,34.6,H
NARAYANA HRUDAYALAYA LTD.,419.5,399.5,H
URJA GLOBAL LIMITED,5.6,5.35,H
ZICOM ELECT SEC SYS LTD,2.2,2.15,H
BIL ENERGY SYSTEMS LTD,0.95,0.9,H
ADITYBIRLA SL NIF ETF-GR,149.63,149.34,H
DILIGENT MEDIA CORP LTD.,0.6,0.55,H
GREENPANEL INDUSTRIES LTD,123.5,119.2,H
INDIA GRID TRUST,114.15,114,H
SHARE IND. SECURITIES LTD,181.2,151.05,H
SHRADHA INFRAPROJECTS LTD,66.15,64.5,H
CROMPT GREA CON ELEC LTD,342,341.8,H
HINDUJA GLOBAL SOLS. LTD.,1253,1249.9,H
JET AIRWAYS (INDIA) LTD.,95.6,91.05,H
KOTAK MAHINDRA BANK LTD,1958,1948.4,H
MOHIT INDUSTRIES LTD,6.9,6.6,H
NOVARTIS INDIA LIMITED,738,708.95,H
ABB POWER PRO N SYS IND L,1400.4,1371,H
SILLY MONKS ENTERTAIN LTD,26.55,26,H
BOROSIL LIMITED,204.35,185.8,H
JSW HOLDINGS LIMITED,4119,4038.5,H
LTAMC - LTMFEOFR,11.67,11.55,H
PROLIFE INDUSTRIES LTD,58.35,55.8,H
RAJ OIL MILLS LIMITED,28.45,27.1,H
SUPREME INDUSTRIES LTD,1775,1772,H
SYNCOM HEALTHCARE LTD,2.4,2.3,H
ADANI PORT & SEZ LTD,479.65,475,H
ARCHIDPLY DECOR LIMITED,29.9,28.5,H
BANKA BIOLOO LIMITED,54.05,49.15,H
BIGBLOC CONSTRUCTION LTD,153.3,146,H
BURGER KING INDIA LIMITED,162,135,H
DIGISPICE TECHNOLOGIES LT,13.95,13.3,H
GLOBAL EDUCATION LIMITED,67.05,63.9,H
ICICI PRUD NIFTY 100 ETF,160.4,160.2,H
MOST SHARES M50 ETF,135.4,135,H
SEC RED NCD SR. V,1040,1090,L
RUDRABHISHEK ENTERP LTD,97.05,97.55,L
UNSEC RED NCD SR. VI,921,952,L
AYM SYNTEX LIMITED,40.05,41.5,L
SHREE RAM PROTEINS LTD.,29.1,29.75,L
GOI LOAN  3.96% 2022,85.82,90.32,L
GOI LOAN 6.01% 2028,64.06,67.4,L
VISHAL FABRICS LIMITED,90.25,92.05,L

