SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BAJAJ FINANCE LIMITED,      4898.65,      5122.50,5936796,              29859700799.45
RELIANCE INDUSTRIES LTD,      1991.30,      1974.35,8561406,              16896273508.60
HDFC BANK LTD,      1372.15,      1391.30,10780718,              14887141542.75
ICICI BANK LTD.,       525.80,       518.05,26969145,              13943853862.10
AXIS BANK LIMITED,       615.90,       607.10,22311290,              13534765730.25
HDFC LTD,      2302.65,      2350.35,5056502,              11791167409.15
ZEE ENTERTAINMENT ENT LTD,       215.40,       232.00,47532503,              10672658103.40
MAJESCO LIMITED,       972.00,       982.35,10653434,              10542218588.30
CANARA BANK,       127.40,       122.00,87386007,              10464958799.15
BAJAJ FINSERV LTD.,      8933.50,      9296.95,1124527,              10279627140.85
STATE BANK OF INDIA,       274.20,       270.65,34890948,               9434599246.05
BURGER KING INDIA LIMITED,       135.00,       162.00,60070880,               9404245931.35
LARSEN & TOUBRO LTD.,      1249.65,      1246.25,6953407,               8585122626.45
ULTRATECH CEMENT LIMITED,      5073.75,      5156.85,1629308,               8414960930.50
TATA STEEL LIMITED,       626.75,       635.35,13226312,               8284281425.40
KOTAK MAHINDRA BANK LTD,      1939.35,      1951.15,4141898,               8044408631.85
YES BANK LIMITED,        18.50,        18.30,446734713,               8001875641.20
INFOSYS LIMITED,      1164.55,      1154.60,6905926,               7988669803.50
INDIAN RAIL TOUR CORP LTD,      1479.00,      1441.00,5273914,               7663246595.45
TATA MOTORS LIMITED,       177.65,       178.90,41190341,               7237031319.90
EICHER MOTORS LTD,      2400.45,      2475.20,2907490,               7160409924.20
INDUSIND BANK LIMITED,       921.25,       926.75,7646858,               7037348472.05
MARUTI SUZUKI INDIA LTD.,      7696.80,      7765.25,891801,               6885495987.85
HCL TECHNOLOGIES LTD,       873.00,       886.00,7527270,               6647642107.80
BHARTI AIRTEL LIMITED,       503.05,       504.20,13074733,               6572013086.15

