GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,BAJAJ FINANCE LIMITED,      5122.50,      4898.65,4.57
G,BAJAJ FINSERV LTD.,      9296.95,      8933.50,4.07
G,EICHER MOTORS LTD,      2475.20,      2400.45,3.11
G,JSW STEEL LIMITED,       365.90,       357.50,2.35
G,SHREE CEMENT LIMITED,     24259.65,     23722.20,2.27
G,HDFC LTD,      2350.35,      2302.65,2.07
G,TECH MAHINDRA LIMITED,       927.05,       909.40,1.94
G,ADANI PORT & SEZ LTD,       475.75,       467.00,1.87
G,ULTRATECH CEMENT LIMITED,      5156.85,      5073.75,1.64
G,UPL LIMITED,       448.80,       442.15,1.5
G,HCL TECHNOLOGIES LTD,       886.00,       873.00,1.49
G,HDFC BANK LTD,      1391.30,      1372.15,1.4
G,TATA STEEL LIMITED,       635.35,       626.75,1.37
G,NTPC LTD,       105.85,       104.60,1.2
G,WIPRO LTD,       352.70,       349.35,.96
G,MARUTI SUZUKI INDIA LTD.,      7765.25,      7696.80,.89
G,MAHINDRA & MAHINDRA LTD,       717.95,       711.70,.88
G,DIVI'S LABORATORIES LTD,      3628.40,      3599.80,.79
G,SBI LIFE INSURANCE CO LTD,       856.20,       850.20,.71
G,TATA MOTORS LIMITED,       178.90,       177.65,.7
G,KOTAK MAHINDRA BANK LTD,      1951.15,      1939.35,.61
G,INDUSIND BANK LIMITED,       926.75,       921.25,.6
G,TITAN COMPANY LIMITED,      1468.75,      1463.45,.36
G,BHARTI AIRTEL LIMITED,       504.20,       503.05,.23
G,DR. REDDY'S LABORATORIES,      5031.35,      5022.80,.17
G,GRASIM INDUSTRIES LTD,       912.00,       911.45,.06
 , , , , 
L,NESTLE INDIA LIMITED,     18189.90,     18591.80,-2.16
L,HINDUSTAN UNILEVER LTD.,      2320.05,      2370.75,-2.14
L,BHARAT PETROLEUM CORP  LT,       398.60,       405.45,-1.69
L,ICICI BANK LTD.,       518.05,       525.80,-1.47
L,AXIS BANK LIMITED,       607.10,       615.90,-1.43
L,STATE BANK OF INDIA,       270.65,       274.20,-1.29
L,TATA CONSULTANCY SERV LT,      2761.55,      2797.70,-1.29
L,ITC LTD,       213.55,       215.90,-1.09
L,OIL AND NATURAL GAS CORP.,       100.45,       101.50,-1.03
L,CIPLA LTD,       781.65,       789.30,-0.97
L,INFOSYS LIMITED,      1154.60,      1164.55,-0.85
L,RELIANCE INDUSTRIES LTD,      1974.35,      1991.30,-0.85
L,ASIAN PAINTS LIMITED,      2527.45,      2548.15,-0.81
L,SUN PHARMACEUTICAL IND L,       571.65,       576.25,-0.8
L,INDIAN OIL CORP LTD,        95.45,        96.20,-0.78
L,POWER GRID CORP. LTD.,       192.80,       194.30,-0.77
L,HINDALCO  INDUSTRIES  LTD,       244.55,       246.35,-0.73
L,HDFC LIFE INS CO LTD,       651.45,       655.75,-0.66
L,BAJAJ AUTO LIMITED,      3271.65,      3289.00,-0.53
L,BRITANNIA INDUSTRIES LTD,      3765.55,      3776.95,-0.3
L,LARSEN & TOUBRO LTD.,      1246.25,      1249.65,-0.27
L,COAL INDIA LTD,       143.10,       143.35,-0.17
L,GAIL (INDIA) LTD,       125.25,       125.45,-0.16
L,HERO MOTOCORP LIMITED,      3112.35,      3113.65,-0.04
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,HAVELLS INDIA LIMITED,       864.80,       826.95,4.58
G,CONTAINER CORP OF IND LTD,       412.90,       404.00,2.2
G,BAJAJ HOLDINGS & INVS LTD,      3118.85,      3059.35,1.94
G,PIRAMAL ENTERPRISES LTD,      1448.65,      1422.55,1.83
G,TORRENT PHARMACEUTICALS L,      2749.20,      2703.80,1.68
G,ADANI TRANSMISSION LTD,       431.10,       425.25,1.38
G,ACC LIMITED,      1634.45,      1615.05,1.2
G,MUTHOOT FINANCE LIMITED,      1202.10,      1191.30,0.91
G,L&T INFOTECH LIMITED,      3263.15,      3234.95,0.87
G,SBI CARDS & PAY SER LTD,       820.85,       814.90,0.73
G,MOTHERSON SUMI SYSTEMS LT,       157.30,       156.50,0.51
G,DLF LIMITED,       214.55,       213.50,0.49
G,AMBUJA CEMENTS LTD,       247.60,       246.45,0.47
G,BERGER PAINTS (I) LTD,       684.25,       681.15,0.46
G,BANDHAN BANK LIMITED,       412.15,       410.30,0.45
G,BOSCH LIMITED,     13236.95,     13189.45,0.36
G,LUPIN LIMITED,       944.40,       941.45,0.31
G,HINDUSTAN ZINC LIMITED,       243.25,       242.55,0.29
G,BIOCON LIMITED.,       455.30,       454.00,0.29
G,ADANI GREEN ENERGY LTD,      1013.65,      1010.80,0.28
