MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       990.00,       990.00,       990.00,       990.00,       990.00,                   108900.00,110, ,2,      1134.00,       701.05
N,N1,IIFCL,7.40% TAX FREETRI SRIII,      1305.00,      1320.00,      1320.00,      1320.00,      1320.00,                     1320.00,1, ,1,      1375.00,      1053.00
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1060.40,      1060.00,      1064.00,      1060.00,      1062.00,                   748000.00,705, ,6,      1194.00,      1025.00
N,N1,MAGMA,SEC RED NCD 10.25% SR. I,      1042.00,      1042.00,      1042.00,      1042.00,      1042.00,                    41680.00,40, ,1,      1139.00,       950.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1060.16,      1061.99,      1063.00,      1060.00,      1061.95,                  5034060.79,4743, ,78,      1178.00,      1045.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1060.00,      1059.50,      1059.50,      1059.50,      1059.50,                    21190.00,20, ,1,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.97,        31.95,        32.19,        31.95,        32.11,                   258292.94,8081, ,44,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1170.00,      1178.90,      1179.00,      1178.90,      1179.00,                    58946.90,50, ,2,      1180.65,       732.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1290.50,      1290.00,      1291.00,      1290.00,      1291.00,                   748280.00,580, ,4,      1369.90,      1051.60
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1152.00,      1132.00,      1132.00,      1084.20,      1084.20,                    66071.00,59, ,2,      1178.65,       970.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1258.10,      1230.00,      1265.00,      1230.00,      1265.00,                   623855.00,507, ,2,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1125.00,      1132.50,      1140.00,      1126.00,      1129.53,                   725453.09,640, ,14,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1298.50,      1296.00,      1296.00,      1294.01,      1294.05,                   650198.88,502, ,5,      1298.50,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1255.00,      1252.00,      1253.00,      1252.00,      1252.99,                  1811398.64,1446, ,18,      1300.00,      1029.85
N,N2,PFC,7.36% TAX FREE NCD,      1226.05,      1175.00,      1208.20,      1175.00,      1207.00,                   654284.40,544,XI,14,      1238.50,      1060.00
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1173.00,      1179.99,      1179.99,      1179.99,      1179.99,                    58999.50,50, ,1,      1254.90,      1043.10
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       925.00,       945.00,       989.90,       945.00,       989.90,                   216144.50,220, ,5,       999.00,       705.00
N,N3,EHFLNCD,SEC RED NCD 9.75% SR. III,      1018.00,       992.10,      1030.00,       992.10,      1020.13,                    91503.60,90, ,5,      1049.99,       810.10
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1120.15,      1120.15,      1122.00,      1120.00,      1122.00,                  1159470.50,1035, ,13,      1277.50,      1010.00
N,N3,PFC,7.60% TAX FREE NCD,      1318.00,      1315.17,      1315.17,      1315.16,      1315.16,                   182808.24,139, ,2,      1370.00,      1031.00
N,N4,DHANILOANS,DHANI LOANS & SERV LTD,      1014.90,      1000.00,      1014.90,      1000.00,      1014.90,                   282396.10,280, ,17,      1022.00,       701.00
N,N4,DHFL,SEC RED NCD 8.88% SR. 2B,       345.00,       325.10,       375.00,       325.00,       375.00,                    20527.50,63, ,3,       375.00,       158.25
N,N4,IIFCL,8.91% TAX FREE NCD,      1484.00,      1488.00,      1490.00,      1485.11,      1485.11,                    81734.40,55, ,3,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1035.00,      1029.00,      1039.80,      1029.00,      1034.50,                   446243.63,430, ,13,      1057.80,       980.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1175.00,      1177.05,      1177.05,      1177.05,      1177.05,                   117705.00,100, ,1,      1349.90,      1095.00
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1140.00,      1142.00,      1142.00,      1142.00,      1142.00,                   114200.00,100, ,2,      1512.00,      1090.00
N,N4,PFC,8.20% TAX FREE NCD,      1060.23,      1061.00,      1061.00,      1061.00,      1061.00,                   878508.00,828, ,5,      1148.99,      1015.00
N,N4,RECLTD,BOND 7.04% PA TAX FREE S2,      1139.00,      1139.00,      1141.00,      1139.00,      1140.00,                   114000.00,100, ,2,      1500.00,      1003.10
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       198.00,       159.00,       193.90,       159.00,       185.20,                   106926.50,620, ,15,       517.20,       112.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1090.00,      1097.00,      1198.00,      1090.00,      1090.00,                   385700.00,324, ,12,      1225.00,       925.30
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1098.00,      1085.00,      1085.00,      1085.00,      1085.00,                     1085.00,1, ,1,      1120.00,       720.08
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       965.00,       970.00,       971.00,       970.00,       970.00,                   184340.00,190, ,4,      1098.99,       702.00
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       872.77,       875.00,       880.00,       875.00,       880.00,                   252485.00,288, ,11,       900.75,       650.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1257.00,      1257.00,      1265.00,      1257.00,      1265.00,                    56685.00,45, ,3,      1269.00,       905.15
N,N5,IDFCFIRSTB,BOND 8% 2021 TR-2 SR-I,      5315.00,      5250.00,      5315.00,      5250.00,      5315.00,                    31630.00,6, ,3,      5400.00,      4601.00
N,N5,L&TINFRA,BOND 8.20% PA S1,      1065.00,      1067.00,      1067.00,      1060.07,      1060.07,                    65795.42,62, ,7,      1149.00,       942.00
N,N5,NHBTF2014,BOND 8.88%PA TF TR-I S 2B,      6699.00,      7050.00,      7050.00,      7050.00,      7050.00,                    42300.00,6, ,2,      7195.00,      5841.00
N,N5,PFC,8.30% TAX FREE NCD,      1235.00,      1220.00,      1220.00,      1220.00,      1220.00,                   488000.00,400, ,1,      1286.85,      1142.00
N,N5,SBIN,BOND 9.95% PA RET. S4,     10961.06,     10950.02,     10960.00,     10890.00,     10908.22,                  8763027.26,802, ,153,     12299.00,     10200.00
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       340.00,       352.06,       352.06,       325.15,       340.00,                     4919.01,15, ,4,       390.00,       166.60
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,       908.95,       910.00,       910.00,       905.00,       906.53,                   160070.00,176, ,6,       948.00,       562.00
N,N6,ERFLNCDI,SEC RED NCD 9.25% SR. VI,       899.00,       899.90,       900.00,       899.90,       900.00,                   192598.60,214, ,4,       948.40,       587.01
N,N6,IBUCCREDIT,SERENCD8.90%SRIIICIII&IV,       956.68,       979.35,       979.35,       975.80,       979.00,                   161389.35,165, ,5,      1010.90,       701.05
