SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
DR. REDDY'S LABORATORIES,      5072.85,      5228.75,3705133,              19256108513.85
INFOSYS LIMITED,      1159.20,      1189.80,15995676,              19002082921.70
TATA CONSULTANCY SERV LT,      2838.20,      2861.00,6076692,              17462837839.65
BAJAJ FINANCE LIMITED,      5286.70,      5252.50,3255043,              17044373087.10
RELIANCE INDUSTRIES LTD,      1985.60,      1991.55,8522215,              16887433569.45
HDFC BANK LTD,      1441.80,      1411.35,11497959,              16281519676.25
TATA STEEL LIMITED,       635.30,       631.25,25351506,              16051691583.90
INDUSIND BANK LIMITED,       935.80,       905.20,14605713,              13259849964.25
LARSEN & TOUBRO LTD.,      1278.80,      1281.55,10315248,              13255719126.15
PIDILITE INDUSTRIES LTD,      1629.65,      1731.80,7057251,              12089399345.20
ASIAN PAINTS LIMITED,      2575.05,      2601.50,4402604,              11456634032.00
ICICI BANK LTD.,       510.40,       517.15,21735833,              11165404700.70
AXIS BANK LIMITED,       605.40,       609.50,17301814,              10459330379.85
HCL TECHNOLOGIES LTD,       879.35,       890.65,11568187,              10380782845.00
HDFC LTD,      2494.60,      2479.40,4189517,              10305009812.60
TATA MOTORS LIMITED,       181.70,       180.55,46065197,               8272922292.35
MARUTI SUZUKI INDIA LTD.,      7694.00,      7559.75,1078328,               8197185519.25
STATE BANK OF INDIA,       267.70,       271.45,29816205,               7999717685.90
L&T TECHNOLOGY SER. LTD.,      1962.45,      2203.65,3490757,               7579464256.35
JUBILANT FOODWORKS LTD,      2805.00,      2758.25,2496073,               6975109151.50
KOTAK MAHINDRA BANK LTD,      1965.45,      1949.35,3371676,               6548128656.20
PAGE INDUSTRIES LTD,     27244.00,     28217.50,232758,               6498792214.05
WIPRO LTD,       356.90,       363.55,17398081,               6314387808.55
AFFLE (INDIA) LIMITED,      3951.65,      3779.15,1528241,               5755966744.55
BHARTI AIRTEL LIMITED,       515.10,       510.65,10797760,               5510041413.30

