GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,DR. REDDY'S LABORATORIES,      5228.75,      5072.85,3.07
G,INFOSYS LIMITED,      1189.80,      1159.20,2.64
G,BAJAJ AUTO LIMITED,      3347.55,      3270.45,2.36
G,WIPRO LTD,       363.55,       356.90,1.86
G,HINDALCO  INDUSTRIES  LTD,       249.90,       245.85,1.65
G,STATE BANK OF INDIA,       271.45,       267.70,1.4
G,ICICI BANK LTD.,       517.15,       510.40,1.32
G,CIPLA LTD,       793.45,       783.20,1.31
G,HCL TECHNOLOGIES LTD,       890.65,       879.35,1.29
G,TITAN COMPANY LIMITED,      1519.35,      1501.95,1.16
G,UPL LIMITED,       460.30,       455.40,1.08
G,ASIAN PAINTS LIMITED,      2601.50,      2575.05,1.03
G,GAIL (INDIA) LTD,       125.05,       123.90,.93
G,TATA CONSULTANCY SERV LT,      2861.00,      2838.20,.8
G,HINDUSTAN UNILEVER LTD.,      2333.45,      2315.30,.78
G,HERO MOTOCORP LIMITED,      3135.30,      3112.65,.73
G,ITC LTD,       214.50,       213.05,.68
G,AXIS BANK LIMITED,       609.50,       605.40,.68
G,SUN PHARMACEUTICAL IND L,       575.00,       571.35,.64
G,EICHER MOTORS LTD,      2480.95,      2466.60,.58
G,MAHINDRA & MAHINDRA LTD,       733.60,       730.65,.4
G,TECH MAHINDRA LIMITED,       933.80,       930.10,.4
G,NESTLE INDIA LIMITED,     18362.75,     18305.35,.31
G,POWER GRID CORP. LTD.,       193.90,       193.30,.31
G,RELIANCE INDUSTRIES LTD,      1991.55,      1985.60,.3
G,SHREE CEMENT LIMITED,     24574.40,     24510.40,.26
G,LARSEN & TOUBRO LTD.,      1281.55,      1278.80,.22
G,DIVI'S LABORATORIES LTD,      3832.90,      3824.70,.21
G,SBI LIFE INSURANCE CO LTD,       857.15,       856.35,.09
 , , , , 
L,INDUSIND BANK LIMITED,       905.20,       935.80,-3.27
L,OIL AND NATURAL GAS CORP.,        99.00,       101.50,-2.46
L,HDFC BANK LTD,      1411.35,      1441.80,-2.11
L,MARUTI SUZUKI INDIA LTD.,      7559.75,      7694.00,-1.74
L,INDIAN OIL CORP LTD,        93.95,        95.40,-1.52
L,COAL INDIA LTD,       141.70,       143.45,-1.22
L,ADANI PORT & SEZ LTD,       463.30,       467.75,-0.95
L,BHARTI AIRTEL LIMITED,       510.65,       515.10,-0.86
L,BAJAJ FINSERV LTD.,      9215.60,      9294.10,-0.84
L,KOTAK MAHINDRA BANK LTD,      1949.35,      1965.45,-0.82
L,NTPC LTD,       103.75,       104.45,-0.67
L,BAJAJ FINANCE LIMITED,      5252.50,      5286.70,-0.65
L,TATA STEEL LIMITED,       631.25,       635.30,-0.64
L,TATA MOTORS LIMITED,       180.55,       181.70,-0.63
L,HDFC LTD,      2479.40,      2494.60,-0.61
L,JSW STEEL LIMITED,       364.20,       366.20,-0.55
L,BHARAT PETROLEUM CORP  LT,       393.85,       395.40,-0.39
L,ULTRATECH CEMENT LIMITED,      5152.50,      5171.80,-0.37
L,GRASIM INDUSTRIES LTD,       909.65,       912.70,-0.33
L,BRITANNIA INDUSTRIES LTD,      3720.50,      3729.75,-0.25
L,HDFC LIFE INS CO LTD,       654.10,       654.55,-0.07
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,PIDILITE INDUSTRIES LTD,      1731.80,      1629.65,6.27
G,AVENUE SUPERMARTS LIMITED,      2637.05,      2556.05,3.17
G,BIOCON LIMITED.,       471.95,       460.90,2.4
G,INFO EDGE (I) LTD,      4644.25,      4560.75,1.83
G,AMBUJA CEMENTS LTD,       251.05,       246.75,1.74
G,AUROBINDO PHARMA LTD,       886.00,       872.00,1.61
G,L&T INFOTECH LIMITED,      3356.40,      3306.00,1.52
G,ORACLE FIN SERV SOFT LTD.,      3167.60,      3134.35,1.06
G,HAVELLS INDIA LIMITED,       919.35,       911.05,0.91
G,UNITED SPIRITS LIMITED,       588.45,       583.55,0.84
G,HDFC AMC LIMITED,      2862.00,      2838.25,0.84
G,SIEMENS LTD,      1539.00,      1526.30,0.83
G,TORRENT PHARMACEUTICALS L,      2779.10,      2760.55,0.67
G,ALKEM LABORATORIES LTD.,      2953.80,      2937.00,0.57
G,ACC LIMITED,      1648.30,      1639.30,0.55
G,INTERGLOBE AVIATION LTD,      1651.05,      1642.55,0.52
G,ABBOTT INDIA LIMITED,     16178.10,     16096.25,0.51
G,BANDHAN BANK LIMITED,       408.20,       406.35,0.46
G,CADILA HEALTHCARE LIMITED,       476.60,       475.05,0.33
G,PIRAMAL ENTERPRISES LTD,      1445.15,      1441.60,0.25
