SECURITY,NEW,PREVIOUS,NEW_STATUS
BERGER PAINTS (I) LTD,719.95,712,H
EDEL ETF NIFTY 100 QUAL30,412.8,409.21,H
MIRAEAMC - MAN50ETF,150.27,143.8,H
NIP IND ETF MIDCAP 150,79.96,79.93,H
ONE POINT ONE SOL LTD,16.15,15.9,H
ORCHID PHARMA LIMITED,83.6,79.65,H
RUDRABHISHEK ENTERP LTD,111.85,106.65,H
VERTOZ ADVERTISING LTD,221,220.3,H
EQUITAS SMALL FIN BNK LTD,39.8,39.6,H
BOND 0% 2021 TR-1 SR-II,10945,10942,H
LOVABLE LINGERIE LTD,114,112.35,H
ACCURACY SHIPPING LIMITED,39.75,37.9,H
AGC NETWORKS LIMITED,682.05,659,H
DHANI RS.1.10 PPD UP,153,152.5,H
DILIGENT MEDIA CORP LTD.,0.7,0.65,H
SEC RED NCD SR. IV,1395.45,1360.65,H
KSK ENERGY VENTURES LTD,0.75,0.7,H
MADHAV COPPER LIMITED,115.95,97.2,H
NITIN SPINNERS LIMITED,76.95,76.2,H
SEC RED NCD SR. VI,1210,1203.55,H
BAFNA PHARMACEUTICALS LTD,233.55,222.45,H
BKM INDUSTRIES LIMITED,1.25,1.2,H
DIXON TECHNO (INDIA) LTD,13909.85,13768.9,H
ESAB INDIA LTD,1975,1930,H
ICICI PRUDENTIAL NV20 ETF,71.75,71.7,H
KOTAKMAMC - KTKNV20ETF,72.5,72.45,H
NARAYANA HRUDAYALAYA LTD.,425.95,420,H
PENTA GOLD LIMITED,48.6,47,H
SRF LTD,5614.65,5584,H
UTIAMC - UTIBANKETF,320.96,310.31,H
BOND 9.01%PA TF TR-I S 3B,7650,7645,H
SBIAMC - SBIETFQLTY,123.49,122.9,H
SHRADHA INFRAPROJECTS LTD,73.8,70.35,H
BIRLASOFT LIMITED,217.95,210.4,H
COMPUTER AGE MNGT SER LTD,1624,1538,H
BOND 0% 2021 TR-2 SR-II,10645.05,10643.05,H
INDIAMART INTERMESH LTD,6149,5780,H
JET AIRWAYS (INDIA) LTD.,110.6,105.35,H
L&T TECHNOLOGY SER. LTD.,2348,2000,H
MARINE ELECTRICAL (I) LTD,225,224.95,H
SPENTEX IND. LTD,0.85,0.8,H
SEC RED NCD 9.40% SR. III,1088.4,1088,H
TANTIA CONST LTD,1.6,1.55,H
KHAITAN CHEM & FERT LTD,26.5,26.2,H
TATAAML - NETF,167.89,166.48,H
PIDILITE INDUSTRIES LTD,1742.95,1709.9,H
PROLIFE INDUSTRIES LTD,63.55,60.75,H
RAJ OIL MILLS LIMITED,32.85,31.3,H
SYNCOM HEALTHCARE LTD,2.7,2.6,H
BIGBLOC CONSTRUCTION LTD,177.35,168.95,H
DIGISPICE TECHNOLOGIES LT,16.05,15.3,H
DIGJAM LIMITED,4.45,4.25,H
GLOBAL EDUCATION LIMITED,77.5,73.9,H
PARABOLIC DRUGS LTD,3.6,3.45,H
SPACENET ENTERS IND LTD,1.6,1.55,H
SEC RED NCD SR.X,1200,1160,H
TATASTEEL RS.2.50 PPD UP,196.05,195.85,H
SHEMAROO ENTER. LTD.,75.3,79.25,L
SHRENIK LIMITED,4.5,4.55,L
JUMP NETWORKS LIMITED,16.45,16.75,L
LOVABLE LINGERIE LTD,106.75,109.5,L
CMI LIMITED,40.75,42.85,L
AYM SYNTEX LIMITED,36.75,38.45,L
SPML INFRA LIMITED,12.95,13.55,L
SEC RED NCD ZC SR. VIII,650,676,L
NILA SPACES LIMITED,1.5,1.55,L
TRANS & RECTI. LTD,21.15,22,L
B.C. POWER CONTROLS LTD,6.65,6.85,L
UNS RED NCD SR. III,622.01,643,L
MOTILALAMC - G5,47.69,47.7,L
THE BYKE HOSPITALITY LTD,19.95,21,L

