SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.35,1.3,H
GOODYEAR INDIA LIMITED,887.95,879.8,H
BOND 8.25% 2021 TR-3 SR-I,5900,5295,H
BOND 0% 2022 TR-2 SR-II,10765.05,10500,H
KIRLOSKAR FERROUS IND LTD,145.15,140.9,H
MAJESCO LIMITED,983.6,976.25,H
MIRAEAMC - MAN50ETF,135.04,135,H
MOLD TEK PACKAGING LTD,114.3,95.25,H
ORCHID PHARMA LIMITED,51.55,49.1,H
V2 RETAIL LIMITED,99,50.5,H
GOI LOAN 7.72% 2049,120.3,120.25,H
GVK POW. & INFRA LTD.,3,2.9,H
BOND 0% 2021 TR-1 SR-II,10875,10850,H
MENON BEARINGS LIMITED,50,49.7,H
VIDEOCON INDUSTRIES LIMIT,7.2,6.9,H
ADANI TRANSMISSION LTD,445,438.35,H
APL APOLLO TUBES LTD,3790.4,3575.05,H
EDELAMC - EMOFSR1RGG,11.15,11,H
HEIDELBERGCEMENT (I) LTD,218,217.75,H
ICE MAKE REFRIGERAT LTD,98.15,93.5,H
SEC RED NCD 10.04% SR.III,1010,1000,H
MADHAV COPPER LIMITED,87.7,85.7,H
SHAKTI PUMPS (I) LTD,277.6,264.4,H
SEC RED NCD SR. VII,1196,1178.78,H
TECHNOFAB ENG LTD,10.15,9.7,H
BKM INDUSTRIES LIMITED,0.9,0.45,H
THE HI-TECH GEARS LIMITED,161.75,155.9,H
JSW ISPAT SPE PRO LTD,25.45,24.25,H
8.72% UNSECURED NCD,1143,1132.8,H
UTIAMC - UTIBANKETF,303.05,303,H
VINYL CHEMICALS (I) LTD.,137,135.95,H
CENTRAL DEPO SER (I) LTD,566.4,528.95,H
8.91% TAX FREE NCD,1493,1487,H
PRAKASH PIPES LIMITED,108,98.85,H
SBIAMC - SBIETFQLTY,118.9,117.49,H
SEC RED NCD 8.85% SR.IV,1050,1049,H
ULTRATECH CEMENT LIMITED,5199,4997.25,H
BIOFIL CHEM & PHARMA LTD.,265.8,253.15,H
DHANI LOANS & SERV LTD,1000,959,H
ESCORTS INDIA LTD,1452.65,1446.8,H
MARINE ELECTRICAL (I) LTD,207,201.05,H
MAX HEALTHCARE INS LTD,141,133.95,H
SATIN RS.2.50 PPD UP,38.65,38.5,H
STERLITE TECHNOLOGIES LTD,166.9,164.7,H
TANTIA CONST LTD,1.45,1.4,H
ADF FOODS LIMITED,526.25,501.2,H
GODREJ PROPERTIES LTD,1223.2,1210,H
ICICIPRAMC - ICICIM150,77.9,77.27,H
TATAAML - NETF,160,159.15,H
EDELWEISS ETF - NIFTY 50,17068,16912,H
RAJ OIL MILLS LIMITED,20.35,19.4,H
SEC RED NCD 8.52% SR.I,1076.5,1000,H
SYNCOM HEALTHCARE LTD,1.85,1.8,H
ADANI PORT & SEZ LTD,458.3,452.35,H
ASSO ALCOHOLS & BREW LTD,309,304.75,H
BANKA BIOLOO LIMITED,44.2,43.95,H
BIGBLOC CONSTRUCTION LTD,109,103.85,H
DIGISPICE TECHNOLOGIES LT,12.35,10.15,H
JK CEMENT LIMITED,2235,2110,H
REFEX INDUSTRIES LIMITED,116.85,111.3,H
ROUTE MOBILE LIMITED,1216.8,1162.25,H
SOLARA ACTIVE PHA SCI LTD,1295,1255,H
TATASTEEL RS.2.50 PPD UP,175.65,168.8,H
SHRENIK LIMITED,5.25,5.4,L
SHYAM TELECOM LIMITED,4.75,5,L
JUMP NETWORKS LIMITED,18.45,18.8,L
2.50%GOLDBONDS2028SR-VI,4447.2,4568.9,L
TIRUPATI FORGE LIMITED,24.15,24.2,L
PRICOL RE,13.5,15.2,L
VASCON ENGINEERS LTD,13.55,19.7,L
LEXUS GRANITO (INDIA) LTD,16.05,16.5,L
ZICOM ELECT SEC SYS LTD,1.9,1.95,L
DEEP ENE RESOURCES LTD,39.5,40.5,L
SANGINITA CHEMICALS LTD,25.7,25.8,L
VISHAL FABRICS LIMITED,103.75,105.85,L

