SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
STATE BANK OF INDIA,       256.30,       263.50,79252024,              20540875199.50
ICICI BANK LTD.,       481.85,       502.05,39547014,              19573338156.20
HDFC BANK LTD,      1377.20,      1385.60,13456161,              18660621784.30
MARUTI SUZUKI INDIA LTD.,      7739.10,      7803.15,2393536,              18632382682.95
BAJAJ FINANCE LIMITED,      4867.45,      4875.35,3679378,              17976515345.65
RELIANCE INDUSTRIES LTD,      1964.05,      1946.75,8521388,              16605763758.95
INDIAN RAIL TOUR CORP LTD,      1378.05,      1570.60,10432630,              15967737433.35
BHARTI AIRTEL LIMITED,       479.90,       493.75,31039563,              15274968845.15
ULTRATECH CEMENT LIMITED,      4893.50,      5091.40,2996248,              15251795939.50
TATA STEEL LIMITED,       620.90,       622.70,20153552,              12590042591.05
AXIS BANK LIMITED,       602.70,       614.50,20019707,              12218847109.60
INFOSYS LIMITED,      1126.45,      1134.65,10564055,              11914725948.45
INDUSIND BANK LIMITED,       896.25,       913.65,12658012,              11457596767.55
TATA CHEMICALS LTD,       455.40,       490.90,23777698,              11240303450.90
HINDALCO  INDUSTRIES  LTD,       242.00,       252.70,41978766,              10552775187.80
BAJAJ FINSERV LTD.,      9114.05,      9052.45,1062443,               9678364709.00
SUN PHARMACEUTICAL IND L,       548.25,       569.05,16177536,               9060354080.00
TATA MOTORS LIMITED,       184.85,       184.15,47995639,               8900542774.70
INTERGLOBE AVIATION LTD,      1644.05,      1744.80,4860585,               8379650548.00
HINDUSTAN UNILEVER LTD.,      2127.75,      2184.20,3712143,               8042709753.15
ADANI POWER LTD,        54.15,        59.60,131879335,               7979264625.75
LARSEN & TOUBRO LTD.,      1125.15,      1149.50,6542918,               7513331868.35
TATA CONSULTANCY SERV LT,      2709.45,      2727.55,2686527,               7315291484.55
HDFC LTD,      2253.95,      2245.90,3245440,               7312486078.40
KOTAK MAHINDRA BANK LTD,      1821.00,      1846.25,3989431,               7296038745.20

