MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1052.01,      1050.11,      1053.00,      1050.11,      1053.00,                    31587.11,30, ,2,      1078.65,       721.00
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1059.75,      1060.00,      1060.00,      1057.50,      1059.54,                  2195938.36,2072, ,12,      1194.00,      1025.00
N,N1,M&MFIN,8.72% UNSECURED NCD,      1070.00,      1143.00,      1143.00,      1143.00,      1143.00,                    83439.00,73, ,5,      1143.00,       850.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1059.60,      1060.00,      1061.10,      1056.02,      1060.92,                  1676196.59,1581, ,30,      1178.00,      1045.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1060.00,      1059.70,      1059.70,      1041.00,      1059.70,                  1633515.86,1549, ,19,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.99,        31.84,        32.20,        31.84,        32.03,                   340576.61,10645, ,85,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1163.00,      1166.01,      1166.01,      1164.01,      1165.10,                   186407.45,160, ,5,      1180.65,       732.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1275.04,      1275.04,      1281.90,      1275.04,      1280.01,                   386315.80,302, ,5,      1369.90,      1051.60
N,N2,IIFCL,8.66% TAX FREE NCD,      1212.01,      1213.00,      1213.00,      1213.00,      1213.00,                    24260.00,20, ,1,      1390.00,      1078.50
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1221.48,      1204.01,      1204.01,      1204.01,      1204.01,                   602005.00,500, ,2,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1114.22,      1114.15,      1120.00,      1114.15,      1114.15,                   306537.50,275, ,6,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1290.45,      1291.10,      1295.00,      1291.10,      1293.30,                   411522.00,318, ,24,      1297.99,      1100.00
