SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
INDUSIND BANK LIMITED,       866.95,       912.90,20727636,              18680237101.80
RELIANCE INDUSTRIES LTD,      2003.30,      1990.05,8589407,              17118416326.30
TATA MOTORS LIMITED,       186.35,       183.45,71318085,              13159122342.40
STATE BANK OF INDIA,       275.20,       277.90,45032526,              12499251233.65
HDFC LTD,      2476.45,      2518.95,4490464,              11288129536.75
HDFC BANK LTD,      1412.85,      1427.20,7247673,              10350035824.15
BAJAJ FINANCE LIMITED,      5204.10,      5200.50,1969529,              10257936143.05
ICICI BANK LTD.,       520.10,       528.80,19092649,              10016116974.55
AXIS BANK LIMITED,       617.65,       630.20,13765454,               8632918951.70
INFOSYS LIMITED,      1240.30,      1250.30,6878105,               8572419679.20
INDIABULLS HSG FIN LTD,       216.90,       216.00,30622206,               6570262252.55
TATA STEEL LIMITED,       632.65,       632.20,10416326,               6558122778.40
HCL TECHNOLOGIES LTD,       921.80,       935.90,6760167,               6331637870.85
KOTAK MAHINDRA BANK LTD,      1988.90,      1999.30,3152865,               6324522841.00
TATA CONSULTANCY SERV LT,      2929.40,      2930.50,1994151,               5857996376.70
BHARTI AIRTEL LIMITED,       521.60,       520.25,11246474,               5853727837.45
ITC LTD,       209.50,       211.55,26546469,               5620085127.60
PUNJAB NATIONAL BANK,        32.40,        33.20,160162623,               5344526490.55
TATA CHEMICALS LTD,       478.25,       482.80,10626647,               5207676852.60
INDRAPRASTHA GAS LTD,       490.05,       511.10,9967382,               5032818207.10
RBL BANK LIMITED,       229.10,       232.80,21325726,               4975101625.15
LARSEN & TOUBRO LTD.,      1289.40,      1284.85,3778319,               4840862990.00
EICHER MOTORS LTD,      2451.35,      2460.55,1955329,               4824382366.60
DR. REDDY'S LABORATORIES,      5201.80,      5165.60,882433,               4587418828.50
WIPRO LTD,       382.90,       385.00,11459126,               4435100099.60

